CdS absorption index k, from R. Carron et. al. (2018) Refractive indices of layers and opticalsimulations of Cu(In,Ga)Se2 solar cells, Science and Technology of Advanced Materials, 19:1,396-410, DOI: 10.1080/14686996.2018.1458579
Wavelength [nm]	k CdS
300	0.692414
310	0.63557
320	0.589888
330	0.559974
340	0.531235
350	0.507351
360	0.483828
370	0.461943
380	0.439907
390	0.421204
400	0.402596
410	0.384281
420	0.368047
430	0.352253
440	0.338187
450	0.323507
460	0.308496
470	0.286073
480	0.260889
490	0.225304
500	0.170799
510	0.124492
520	0.0743567
530	0.0417075
540	0.0210721
550	0.0112509
560	0.00583695
570	0.00257225
580	0.000352575
590	0
5000	0
