label	Reflectance (specular) - 800	Reflectance (specular) - 875	Reflectance (diffuse)	Transmittance (diffuse)
details	grating 800nm, detector 900nm	grating 875nm, detector 875nm	Inverse of certified Spectralon	grating 875nm, detector 875nm
Wavelength [nm]	instr resp R_spec 800	instr resp R_spec 875	instr resp R_diff	instr resp T_diff
200	0.98	0.98	inf	inf
202	0.98	0.98		
204	0.98	0.98		
206	0.98	0.98		
208	0.98	0.98		
210	0.98	0.98		
212	0.98	0.98		
214	0.98	0.98		
216	0.98	0.98		
218	0.98	0.98		
220	0.98	0.98		
222	0.98	0.98		
224	0.98	0.98		
226	0.98	0.98		
228	0.98	0.98		
230	0.98	0.98		
232	0.98	0.98		
234	0.98	0.98		
236	0.98	0.98		
238	0.98	0.98		
240	0.98	0.98		
242	0.98	0.98		
244	0.98	0.98		
246	0.98	0.98		
248	0.98	0.98		
250	0.98	0.98	1.058948112	
252	0.98	0.98	1.05764146	
254	0.98	0.98	1.05764146	
256	0.98	0.98	1.056245049	
258	0.98	0.98	1.055966209	
260	0.98	0.98	1.05374078	
262	0.98	0.98	1.052077854	
264	0.98	0.98	1.049593283	
266	0.98	0.98	1.049042748	
268	0.98	0.98	1.047668937	
270	0.98	0.98	1.047120419	
272	0.98	0.98	1.046846375	
274	0.98	0.98	1.044932079	
276	0.98	0.98	1.04465918	
278	0.98	0.98	1.043024772	
280	0.98	0.98	1.042209484	
282	0.98	0.98	1.041124414	
284	0.98	0.98	1.037882719	
286	0.98	0.98	1.038691249	
288	0.98	0.98	1.035196687	
290	0.98	0.98	1.034661148	
292	0.98	0.98	1.033324722	
294	0.98	0.98	1.032258065	
296	0.98	0.98	1.030131342	
298	0.98	0.98	1.02960103	
300	0.979306776	0.979306776	1.028542042	0.973058113
302	0.980254025	0.980254025	1.028013364	0.972802941
304	0.980363806	0.980363806	1.028013364	0.972386036
306	0.980298122	0.980298122	1.026957638	0.970648845
308	0.979456232	0.979456232	1.026694045	0.969830937
310	0.979252083	0.979252083	1.026167265	0.969316126
312	0.978289444	0.978289444	1.025904078	0.968524256
314	0.979096431	0.979096431	1.024327785	0.967501292
316	0.978467785	0.978467785	1.02380343	0.96619551
318	0.977547102	0.977547102	1.02223358	0.965159017
320	0.976980231	0.976980231	1.02223358	0.964102198
322	0.97677353	0.97677353	1.020929045	0.963848068
324	0.976236432	0.976236432	1.020668538	0.962571366
326	0.975652869	0.975652869	1.020408163	0.962634891
328	0.975216651	0.975216651	1.020929045	0.961627938
330	0.975168728	0.975168728	1.019887812	0.961424961
332	0.974373142	0.974373142	1.018589254	0.960518045
334	0.97417624	0.97417624	1.01910828	0.959897917
336	0.973651929	0.973651929	1.017811705	0.958889526
338	0.973365514	0.973365514	1.018329939	0.958730818
340	0.974008368	0.974008368	1.017293998	0.957765845
342	0.973712669	0.973712669	1.017293998	0.957348724
344	0.973794841	0.973794841	1.018589254	0.95625749
346	0.974289877	0.974289877	1.016518424	0.955506952
348	0.974080662	0.974080662	1.016776817	0.955191287
350	0.973904702	0.973904702	1.016260163	0.954670373
352	0.973676366	0.973676366	1.016260163	0.9540068
354	0.973689266	0.973689266	1.016260163	0.953615741
356	0.973758966	0.973758966	1.015486164	0.953184184
358	0.974381913	0.974381913	1.016518424	0.952923738
360	0.974203358	0.974203358	1.015744033	0.952854137
362	0.973510859	0.973510859	1.016002032	0.952396259
364	0.972584076	0.972584076	1.015228426	0.952020192
366	0.973027163	0.973027163	1.014455998	0.951058938
368	0.97310342	0.97310342	1.013684744	0.950496731
370	0.97324216	0.97324216	1.014198783	0.950227782
372	0.973019456	0.973019456	1.014713343	0.949214841
374	0.97269136	0.97269136	1.013684744	0.948832576
376	0.972504757	0.972504757	1.014198783	0.948894033
378	0.972250436	0.972250436	1.013941698	0.948105292
380	0.972502777	0.972502777	1.013941698	0.947934329
382	0.972552688	0.972552688	1.014198783	0.947813533
384	0.972779111	0.972779111	1.013171226	0.947645277
386	0.972540816	0.972540816	1.012401924	0.946556139
388	0.972507776	0.972507776	1.013171226	0.946044881
390	0.972822685	0.972822685	1.012401924	0.945740318
392	0.972979767	0.972979767	1.012145749	0.945569365
394	0.973460822	0.973460822	1.011633789	0.945301685
396	0.974021404	0.974021404	1.010866818	0.944624688
398	0.973954354	0.973954354	1.011122346	0.944572578
400	0.974199152	0.974199152	1.011633789	0.944333124
402	0.974061755	0.974061755	1.011122346	0.943945789
404	0.973929158	0.973929158	1.011122346	0.943718215
406	0.973928281	0.973928281	1.01061142	0.943392663
408	0.974165857	0.974165857	1.010866818	0.943147816
410	0.974210794	0.974210794	1.010356151	0.942971415
412	0.974378002	0.974378002	1.011122346	0.942695028
414	0.974813239	0.974813239	1.011122346	0.942481243
416	0.974947192	0.974947192	1.011122346	0.942217776
418	0.975130464	0.975130464	1.011122346	0.941818467
420	0.975277202	0.975277202	1.010356151	0.941609025
422	0.975404435	0.975404435	1.010356151	0.941432454
424	0.975104002	0.975104002	1.011889704	0.940805077
426	0.975355291	0.975355291	1.011122346	0.940262911
428	0.975328843	0.975328843	1.01010101	0.940238821
430	0.975660965	0.975660965	1.010866818	0.939834446
