Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	213
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	27.82893	213.1	62121.59
239	27.64239	213.1	61545.46
278	27.60465	213.1	60652.17
317	27.64296	213.1	61434.71
356	27.62876	213.1	60742.57
394	27.52594	213	60136
433	27.5627	213	60590.13
472	27.57397	213	60348.65
511	27.55599	213	60544.13
550	27.52936	213	59904.24
589	27.51844	213.1	59539.7
628	27.50336	213.1	59458.27
667	27.54502	213.1	59005
706	27.48307	213.1	58981.6
744	27.52084	213	59204.88
783	27.50016	213	58333.07
822	27.45038	213	58482.94
861	27.46294	213.1	57447.81
1000	27.46383	213.1	57606.12
1421	27.42731	213.1	54695.07
1842	27.3828	213.1	52681.68
2263	27.35822	213	50444.79
2684	27.33583	213	47637.36
3105	27.31213	213	45393.11
3526	27.29294	213	43168.82
3947	27.27512	213	40906.62
4368	27.2681	213	38765.08
4789	27.25455	213.1	36677.14
5211	27.24332	213.1	34866.71
5632	27.22903	213.1	32999.84
6053	27.2196	213.1	31292.38
6474	27.20781	213	29687.77
6895	27.19734	213	28144.89
7316	27.18881	213	26670.16
7737	27.17856	213.1	25416.89
8158	27.1709	213.1	24118.57
8579	27.16168	213.1	22946.69
9000	27.15201	213	21898.81
10000	27.13267	213	19545.36
14210	27.05476	213	12768.59
18420	26.98545	213	8953.158
22630	26.92035	213	6624.876
26840	26.85922	213	5110.985
31050	26.80227	213.1	4067.26
35260	26.74482	213.1	3323.539
39470	26.69069	213.1	2771.085
43680	26.63767	213.1	2350.044
47890	26.58558	213	2021.133
52110	26.53547	213	1758.636
56320	26.48581	213.1	1546.382
60530	26.43635	213.1	1371.797
64740	26.38664	213.1	1226.183
68950	26.33817	213.1	1103.464
73160	26.2909	213.1	999.2553
77370	26.24324	213.1	909.6807
81580	26.19728	213	832.1956
85790	26.15095	213	764.6725
90000	26.10526	213	705.4993
100000	25.99742	213	590.598
142100	25.54957	213.1	326.0089
184200	25.10145	213.2	210.3748
226300	24.64694	213.2	149.0065
268400	24.18447	213.2	112.3081
310500	23.71646	213.1	88.52399
352600	23.24288	213.1	72.17165
394700	22.76494	213.1	60.41792
436800	22.29068	213.1	51.66202
478900	21.81825	213.1	44.94474
521100	21.3475	213.2	39.67189
563200	20.88338	213.2	35.45786
605300	20.42731	213.1	32.02605
647400	19.98081	213.1	29.1878
689500	19.54385	213.1	26.81439
731600	19.12336	213	24.79081
773700	18.70573	213.1	23.08111
815800	18.30204	213.2	21.59789
857900	17.90982	213.2	20.30484
900000	17.52867	213.2	19.17468
1000000	16.58899	213.2	17.20781
1250000	14.80022	213.2	13.40335
1500000	13.26219	213.1	11.28679
1750000	11.9895	213.1	9.914182
2000000	10.91326	213.2	8.92915
