CSU
1150-8-C3
Bias Light Off
.623
Eg = 1.495249E+0
0
56
23.807177E+0
Wavelength	QE
350.000000E+0	687.727349E-3
360.000000E+0	774.927801E-3
370.000000E+0	815.940240E-3
380.000000E+0	821.490875E-3
390.000000E+0	819.794771E-3
400.000000E+0	821.331140E-3
410.000000E+0	801.857727E-3
420.000000E+0	823.893459E-3
430.000000E+0	845.207201E-3
440.000000E+0	835.090604E-3
450.000000E+0	831.561112E-3
460.000000E+0	842.005290E-3
470.000000E+0	841.325267E-3
480.000000E+0	841.590979E-3
490.000000E+0	848.195216E-3
500.000000E+0	849.675750E-3
510.000000E+0	866.416765E-3
520.000000E+0	867.122317E-3
530.000000E+0	873.442870E-3
540.000000E+0	868.463836E-3
550.000000E+0	859.465604E-3
560.000000E+0	854.159161E-3
570.000000E+0	858.995004E-3
580.000000E+0	856.173096E-3
590.000000E+0	861.902343E-3
600.000000E+0	863.271499E-3
610.000000E+0	864.051237E-3
620.000000E+0	860.001378E-3
630.000000E+0	857.786122E-3
640.000000E+0	858.154223E-3
650.000000E+0	854.357179E-3
660.000000E+0	848.139734E-3
670.000000E+0	848.076339E-3
680.000000E+0	841.906967E-3
690.000000E+0	837.929000E-3
700.000000E+0	829.375384E-3
710.000000E+0	825.730858E-3
720.000000E+0	819.573656E-3
730.000000E+0	812.701968E-3
740.000000E+0	810.203568E-3
750.000000E+0	805.388186E-3
760.000000E+0	800.699746E-3
770.000000E+0	792.932990E-3
780.000000E+0	784.387839E-3
790.000000E+0	775.588214E-3
800.000000E+0	765.660828E-3
810.000000E+0	733.622439E-3
820.000000E+0	579.548094E-3
830.000000E+0	256.213253E-3
840.000000E+0	69.220549E-3
850.000000E+0	20.430130E-3
860.000000E+0	7.917199E-3
870.000000E+0	3.358999E-3
880.000000E+0	1.287885E-3
890.000000E+0	328.545009E-6
900.000000E+0	0.000000E+0
