"Time";"Temperature [°C]";"Illumination [mV]";"Humidity [%RH]"
05:01:30:26;83;5.764;0.2
"V [mV]";"J [mA/cm^2]"
-300;-42.6696776666667
-288;-42.6879883333333
-276;-42.6818848333333
-264;-42.5598145
-252;-42.6391601666667
-240;-42.5598145
-228;-42.6086425
-216;-42.5292968333333
-204;-42.5598145
-192;-42.4621581666667
-180;-42.388916
-168;-42.4072266666667
-156;-42.3461913333333
-144;-42.2546386666667
-132;-42.1813965
-120;-42.150879
-108;-42.0410155
-96;-41.9189453333333
-84;-41.6809081666667
-72;-41.63208
-60;-41.3940428333333
-48;-41.1193848333333
-36;-40.8569335
-24;-40.4785156666667
-12;-40.0817871666667
0;-39.5812988333333
12;-38.9648436666667
24;-38.3605958333333
36;-37.5122071666667
48;-36.6333008333333
60;-35.5895996666667
72;-34.3017578333333
84;-33.0017089833333
96;-31.4941406166667
108;-29.9621582
120;-28.2775879
132;-26.34887695
144;-24.2980957
156;-22.2900390666667
168;-20.1965332
180;-18.2006835833333
192;-16.1499023333333
204;-13.9526367166667
216;-12.2558593666667
228;-10.4003906333333
240;-8.8256836
252;-7.56225586666667
264;-6.25
276;-5.24902345
288;-4.41894531666667
300;-3.56445311666667
312;-3.021240235
324;-2.48413086
336;-2.11791992333333
348;-1.78833007833333
360;-1.44042968833333
372;-1.306152345
384;-1.03149414166667
396;-0.952148436666667
408;-0.787353516666667
420;-0.695800781666667
432;-0.62866211
444;-0.561523438333333
456;-0.457763671666667
468;-0.445556641666667
480;-0.384521483333333
492;-0.354003906666667
504;-0.311279297
516;-0.2197265625
528;-0.244140625
540;-0.2685546875
552;-0.231933593833333
564;-0.177001953166667
576;-0.158691406333333
588;-0.0854492186666667
600;-0.103759765666667
612;-0.03662109375
624;-0.0427246094166667
636;0.0732421874666667
648;0.0549316405833333
660;0.134277343666667
672;0.0671386718333333
684;0.1403808595
696;0.1953125
708;0.238037109333333
720;0.378417969
732;0.354003906666667
744;0.43334961
756;0.54321289
768;0.646972656666667
780;0.732421875
792;0.982666015
804;1.14746093833333
816;1.403808595
828;1.66015625
840;2.03857421833333
852;2.48413086
864;3.01513672
876;3.72314453333333
888;4.5288086
900;5.49316405
