"Time";"Temperature [°C]";"Illumination [mV]";"Humidity [%RH]"
07:05:30:37;82.963;5.773;0.193
"V [mV]";"J [mA/cm^2]"
-300;-42.7246093333333
-288;-42.6391601666667
-276;-42.6330566666667
-264;-42.6940918333333
-252;-42.6208496666667
-240;-42.553711
-228;-42.5842285
-216;-42.5537108333333
-204;-42.401123
-192;-42.4377441666667
-180;-42.3522948333333
-168;-42.352295
-156;-42.2302245
-144;-42.1875
-132;-42.1691895
-120;-42.0532226666667
-108;-41.8945311666667
-96;-41.7846678333333
-84;-41.6015625
-72;-41.4794921666667
-60;-41.241455
-48;-41.0095215
-36;-40.637207
-24;-40.2954101666667
-12;-39.7521973333333
0;-39.1296386666667
12;-38.5864258333333
24;-37.7929686666667
36;-36.9140625
48;-35.9802246666667
60;-34.8510741666667
72;-33.5144043
84;-32.1228027333333
96;-30.60302735
108;-28.9978027333333
120;-27.2644043
132;-25.2746582
144;-23.3825683666667
156;-21.2890625
168;-19.23828125
180;-17.2668457
192;-15.3503417833333
204;-13.2568359333333
216;-11.58447265
228;-9.87548828333333
240;-8.38012695
252;-7.12890625
264;-5.9020996
276;-4.98046875
288;-4.19311523333333
300;-3.46679688333333
312;-2.85644531166667
324;-2.40478515666667
336;-1.99584960833333
348;-1.696777345
360;-1.50146484333333
372;-1.23291015666667
384;-1.03759765666667
396;-0.98876953
408;-0.854492186666667
420;-0.653076171666667
432;-0.5859375
444;-0.57373047
456;-0.44555664
468;-0.341796875
480;-0.415039063333333
492;-0.360107423333333
504;-0.256347656333333
516;-0.280761718833333
528;-0.231933593833333
540;-0.244140625
552;-0.152587890666667
564;-0.177001953166667
576;-0.128173828
588;-0.0915527343333333
600;-0.128173828166667
612;-0.0549316406666667
624;-0.0305175781333333
636;-0.0488281250333333
648;0.0244140625
660;0.00610351561666667
672;0.122070312666667
684;0.134277343833333
696;0.1220703125
708;0.201416015666667
720;0.244140625
732;0.323486329
744;0.378417968333333
756;0.494384765
768;0.555419921666667
780;0.689697266666667
792;0.817871093333333
804;1.06201171833333
816;1.33056640666667
828;1.55029296833333
840;1.84936523333333
852;2.31323242166667
864;2.81372070333333
876;3.41186523333333
888;4.21142578333333
900;5.06591796666667
