SAMPLE_A_b2__V	SAMPLE_A_b2__J	SAMPLE_A_b2__I	SAMPLE_A_b2__Param	SAMPLE_A_b2__ParamDescr
-0.7500177	-0.2704752	-0.08655235	0	Voc (V)
-0.6999422	-0.2214792	-0.07087358	0	Jsc (mA/cm²)
-0.6499902	-0.1861806	-0.05957797	0	FF(%)
-0.6000285	-0.1576082	-0.05043478	0	Eff (%)
-0.5500358	-0.134683	-0.04309868	0.320001	Cell Area (cm²)
-0.499996	-0.1153478	-0.03691142	0	Vmpp (V)
-0.449929	-0.09918575	-0.03173954	0	Jmpp (mA/cm²)
-0.3999125	-0.08539823	-0.02732752	0	Pmpp (mW/cm²)
-0.3499459	-0.07373668	-0.02359581	2242.4	Rp (Ohmcm²)
-0.3000157	-0.06352858	-0.02032921	0	Rs (Ohmcm²)
-0.2499942	-0.0543558	-0.01739391	22.07.2016 10:09:12	Measurement date and time
-0.2000158	-0.04607714	-0.01474473	23	Approx. cell temperature (set: 22) (°C)
-0.1500073	-0.0382926	-0.01225367	1	Illumination correction factor
-0.1000411	-0.03050801	-0.009762594	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
-0.05003334	-0.02032033	-0.006502527		(Global Comment)
-1.215561E-05	-6.312283E-05	-2.019937E-05		
0.02000391	0.01629316	0.005213828		
0.03999338	0.04230874	0.01353884		
0.06000187	0.08263315	0.02644269		
0.08001532	0.1439546	0.04606563		
0.1000133	0.2331086	0.07459497		
0.1199993	0.3573873	0.1143643		
0.1400102	0.5181752	0.1658166		
0.1600055	0.7191281	0.2301217		
0.1799981	0.9595173	0.3070465		
0.2000085	1.238031	0.3961712		
0.2199517	1.550442	0.496143		
0.2399782	1.896393	0.6068475		
0.2600033	2.272516	0.7272074		
0.2799888	2.675566	0.8561839		
0.2999755	3.105682	0.9938214		
0.3199477	3.557951	1.138548		
0.3399291	4.041913	1.293416		
0.3599069	4.557192	1.458306		
0.3798927	5.108781	1.634815		
0.3998803	5.705357	1.82572		
0.4198775	6.35954	2.035059		
0.4398707	7.090634	2.26901		
0.4599012	7.929681	2.537506		
0.4799263	8.91761	2.853644		
0.4999482	10.11628	3.237221		
0.5199698	11.61468	3.71671		
0.5400006	13.53654	4.331706		
0.5600224	16.04669	5.134957		
0.5799794	19.3492	6.191762		
0.5999659	23.71895	7.590087		
0.6199561	29.4459	9.422718		
0.6399187	36.80926	11.779		
0.6599038	46.1742	14.77579		
0.679893	57.78969	18.49276		
0.699886	71.89584	23.00674		
0.7199188	88.71172	28.38784		
0.7399147	108.3163	34.66132		
0.7599393	130.8737	41.87972		
0.7799594	156.385	50.04335		
0.7999877	184.8759	59.16047		
0.8200171	216.3171	69.22168		
0.8400394	250.6262	80.20062		
0.8500369	269.0725	86.10348		
