SAMPLE_A_a2__V	SAMPLE_A_a2__J	SAMPLE_A_a2__I	SAMPLE_A_a2__Param	SAMPLE_A_a2__ParamDescr
-0.75	-33.36897	-10.67807	0.6215	Voc (V)
-0.73	-33.40178	-10.68857	33.17	Jsc (mA/cm²)
-0.71	-33.4026	-10.68883	69.3	FF(%)
-0.69	-33.42537	-10.69612	14.29	Eff (%)
-0.67	-33.41103	-10.69153	0.32	Cell Area (cm²)
-0.65	-33.39731	-10.68714	0.49	Vmpp (V)
-0.63	-33.40519	-10.68966	29.16	Jmpp (mA/cm²)
-0.61	-33.41844	-10.6939	14.29	Pmpp (mW/cm²)
-0.59	-33.41066	-10.69141	4752.8	Rp (Ohmcm²)
-0.57	-33.40188	-10.6886	0.59	Rs (Ohmcm²)
-0.55	-33.37034	-10.67851	22.07.2016 10:06:57	Measurement date and time
-0.53	-33.36862	-10.67796	23	Approx. cell temperature (set: 22) (°C)
-0.51	-33.35684	-10.67419	1	Illumination correction factor
-0.49	-33.36415	-10.67653		(Cell Comment)
-0.47	-33.37084	-10.67867		(Global Comment)
-0.45	-33.37244	-10.67918		
-0.43	-33.35838	-10.67468		
-0.41	-33.34175	-10.66936		
-0.39	-33.35447	-10.67343		
-0.37	-33.34103	-10.66913		
-0.35	-33.33694	-10.66782		
-0.33	-33.31819	-10.66182		
-0.31	-33.28941	-10.65261		
-0.29	-33.26662	-10.64532		
-0.27	-33.28309	-10.65059		
-0.25	-33.30197	-10.65663		
-0.23	-33.28291	-10.65053		
-0.21	-33.26538	-10.64492		
-0.19	-33.26543	-10.64494		
-0.17	-33.25606	-10.64194		
-0.15	-33.2535	-10.64112		
-0.13	-33.24209	-10.63747		
-0.11	-33.20791	-10.62653		
-0.09	-33.18284	-10.61851		
-0.07	-33.18562	-10.6194		
-0.05	-33.17584	-10.61627		
-0.03	-33.18766	-10.62005		
-0.01	-33.17263	-10.61524		
0.01	-33.15456	-10.60946		
0.03	-33.15225	-10.60872		
0.05	-33.11547	-10.59695		
0.07	-33.10981	-10.59514		
0.09	-33.09216	-10.58949		
0.11	-33.08872	-10.58839		
0.13	-33.06719	-10.5815		
0.15	-33.00975	-10.56312		
0.17	-32.98581	-10.55546		
0.19	-32.98569	-10.55542		
0.21	-32.96968	-10.5503		
0.23	-32.9325	-10.5384		
0.25	-32.88553	-10.52337		
0.27	-32.85747	-10.51439		
0.29	-32.79544	-10.49454		
0.31	-32.73606	-10.47554		
0.33	-32.64503	-10.44641		
0.35	-32.56416	-10.42053		
0.37	-32.43528	-10.37929		
0.39	-32.23931	-10.31658		
0.41	-31.95741	-10.22637		
0.43	-31.58422	-10.10695		
0.45	-31.06004	-9.939212		
0.47	-30.29633	-9.694826		
0.49	-29.15764	-9.330446		
0.51	-27.51653	-8.805288		
0.53	-25.20687	-8.066197		
0.55	-22.08196	-7.066226		
0.57	-17.84336	-5.709877		
0.59	-12.31079	-3.939453		
0.61	-5.181181	-1.657978		
0.63	3.836797	1.227775		
0.65	14.99076	4.797043		
0.67	28.5645	9.140639		
0.69	44.58969	14.2687		
0.71	63.73069	20.39382		
0.73	85.89678	27.48697		
0.75	111.3398	35.62875		
0.77	140.0648	44.82074		
0.79	172.2012	55.10439		
0.81	207.7406	66.47698		
0.83	246.6005	78.91215		
0.85	288.732	92.39423		
