SAMPLE_A_a2__V	SAMPLE_A_a2__J	SAMPLE_A_a2__I	SAMPLE_A_a2__Param	SAMPLE_A_a2__ParamDescr
-0.7500146	-0.02343978	-0.007500752	0	Voc (V)
-0.6999387	-0.02189841	-0.007007512	0	Jsc (mA/cm²)
-0.6499965	-0.02033109	-0.006505968	0	FF(%)
-0.60002	-0.01872578	-0.005992267	0	Eff (%)
-0.5500391	-0.01702096	-0.005446724	0.320001	Cell Area (cm²)
-0.5000002	-0.01538829	-0.004924267	0	Vmpp (V)
-0.4499365	-0.01375164	-0.004400538	0	Jmpp (mA/cm²)
-0.3999256	-0.01214604	-0.003886746	0	Pmpp (mW/cm²)
-0.3499522	-0.01058747	-0.003388002	30602.6	Rp (Ohmcm²)
-0.3000207	-0.009035322	-0.002891312	0	Rs (Ohmcm²)
-0.2499968	-0.007511639	-0.002403732	22.07.2016 10:07:16	Measurement date and time
-0.2000178	-0.006001722	-0.001920557	23	Approx. cell temperature (set: 22) (°C)
-0.1500079	-0.004525826	-0.001448269	1	Illumination correction factor
-0.1000446	-0.00316048	-0.001011357	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
-0.05003455	-0.001693554	-0.000541939		(Global Comment)
4.638139E-06	-0.0002234552	-7.150588E-05		
0.02000449	0.0004905026	0.0001569613		
0.03999337	0.001040152	0.0003328498		
0.0600155	0.001813415	0.0005802947		
0.08001833	0.002466481	0.0007892763		
0.1000104	0.003267337	0.001045551		
0.1200026	0.004352933	0.001392943		
0.1400099	0.005424405	0.001735815		
0.1600051	0.006993744	0.002238005		
0.1799959	0.008822272	0.002823136		
0.2000088	0.01146892	0.003670066		
0.2199442	0.0150248	0.00480795		
0.2399812	0.02004536	0.006414537		
0.260001	0.02745299	0.008784985		
0.279974	0.03820429	0.01222541		
0.2999579	0.05402352	0.01728758		
0.3199475	0.07755444	0.0248175		
0.3399344	0.1127393	0.03607667		
0.3599153	0.1657378	0.05303625		
0.379906	0.2455235	0.07856775		
0.399878	0.3700942	0.1184305		
0.4198788	0.5487779	0.1756095		
0.4398725	0.8173724	0.26156		
0.459904	1.218234	0.389836		
0.4799351	1.811247	0.579601		
0.4999558	2.680935	0.8579018		
0.5199668	3.982309	1.274343		
0.5399966	5.770713	1.846634		
0.5600185	8.289008	2.652491		
0.5799732	11.73025	3.753692		
0.5999618	16.3603	5.235314		
0.6199461	22.42952	7.177468		
0.639936	30.19703	9.663079		
0.6598995	39.91763	12.77368		
0.6798919	51.79502	16.57446		
0.6998879	66.04057	21.13305		
0.7199163	82.85221	26.51279		
0.7399098	102.3088	32.73892		
0.7599382	124.5799	39.86568		
0.7799585	149.7063	47.90617		
0.7999846	177.7419	56.87759		
0.8200119	208.7397	66.79691		
0.8400403	242.6785	77.65738		
0.8500343	260.9474	83.50343		
