SAMPLE_B_3LayerMo_a1_new_cont__V	SAMPLE_B_3LayerMo_a1_new_cont__J	SAMPLE_B_3LayerMo_a1_new_cont__I	SAMPLE_B_3LayerMo_a1_new_cont__Param	SAMPLE_B_3LayerMo_a1_new_cont__ParamDescr
-0.3	-32.08809	-18.29021	0.7212	Voc (V)
-0.2798	-32.10963	-18.30249	32.09	Jsc (mA/cm²)
-0.25965	-32.11432	-18.30516	73.88	FF(%)
-0.23945	-32.12268	-18.30993	17.1	Eff (%)
-0.2193	-32.14191	-18.32089	0.57	Cell Area (cm²)
-0.199125	-32.11191	-18.30379	0.5787	Vmpp (V)
-0.178945	-32.12425	-18.31082	29.55	Jmpp (mA/cm²)
-0.15877	-32.13286	-18.31573	17.1	Pmpp (mW/cm²)
-0.138595	-32.12119	-18.30908	-7168	Rp (Ohmcm²)
-0.11842	-32.10146	-18.29783	1.96	Rs (Ohmcm²)
-0.098245	-32.09186	-18.29236	03.10.2016 10:16:27	Measurement date and time
-0.07807	-32.10651	-18.30071	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.09761	-18.29564	1	Illumination correction factor
-0.03772	-32.0996	-18.29677		(Cell Comment)
-0.017545	-32.09098	-18.29186		(Global Comment)
0.00263	-32.07949	-18.28531		
0.022805	-32.08584	-18.28893		
0.04298	-32.07328	-18.28177		
0.06316	-32.09421	-18.2937		
0.083335	-32.06517	-18.27715		
0.10351	-32.05572	-18.27176		
0.123685	-32.05341	-18.27044		
0.14386	-32.04184	-18.26385		
0.164035	-32.03795	-18.26163		
0.18421	-32.01345	-18.24767		
0.204385	-32.00383	-18.24218		
0.22455	-32.01982	-18.2513		
0.24475	-32.01749	-18.24997		
0.2649	-31.98333	-18.2305		
0.2851	-31.94637	-18.20943		
0.30525	-31.94554	-18.20896		
0.32545	-31.95198	-18.21263		
0.3456	-31.92653	-18.19812		
0.3658	-31.899	-18.18243		
0.38595	-31.85793	-18.15902		
0.40615	-31.83516	-18.14604		
0.4263	-31.81498	-18.13454		
0.4465	-31.76468	-18.10587		
0.46665	-31.67596	-18.0553		
0.48685	-31.57191	-17.99599		
0.507	-31.43021	-17.91522		
0.5272	-31.17746	-17.77115		
0.54735	-30.77581	-17.54221		
0.56755	-30.11518	-17.16565		
0.5877	-29.08603	-16.57904		
0.6079	-27.46174	-15.65319		
0.62805	-25.09896	-14.30641		
0.64825	-21.7507	-12.3979		
0.6684	-17.4117	-9.924669		
0.6886	-11.71866	-6.679635		
0.70875	-4.894307	-2.789755		
0.72895	3.055907	1.741867		
0.7491	11.90374	6.785131		
0.7693	21.46272	12.23375		
0.78945	31.53468	17.97477		
0.80965	41.86202	23.86135		
0.8298	52.12665	29.71219		
0.85	62.20055	35.45431		
