SAMPLE_B_3LayerMo_a2__V	SAMPLE_B_3LayerMo_a2__J	SAMPLE_B_3LayerMo_a2__I	SAMPLE_B_3LayerMo_a2__Param	SAMPLE_B_3LayerMo_a2__ParamDescr
-0.3	-32.02547	-18.25452	0.7165	Voc (V)
-0.2798	-32.07362	-18.28196	32.06	Jsc (mA/cm²)
-0.25965	-32.07556	-18.28307	75.31	FF(%)
-0.23945	-32.08177	-18.28661	17.3	Eff (%)
-0.2193	-32.08216	-18.28683	0.57	Cell Area (cm²)
-0.199125	-32.07793	-18.28442	0.5877	Vmpp (V)
-0.178945	-32.08859	-18.2905	29.44	Jmpp (mA/cm²)
-0.15877	-32.08175	-18.2866	17.3	Pmpp (mW/cm²)
-0.138595	-32.08286	-18.28723	-12112.1	Rp (Ohmcm²)
-0.11842	-32.08479	-18.28833	1.68	Rs (Ohmcm²)
-0.098245	-32.07884	-18.28494	03.10.2016 10:06:34	Measurement date and time
-0.07807	-32.0837	-18.28771	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.0793	-18.2852	1	Illumination correction factor
-0.03772	-32.07	-18.2799		(Cell Comment)
-0.017545	-32.06247	-18.27561		(Global Comment)
0.00263	-32.07346	-18.28187		
0.022805	-32.04635	-18.26642		
0.04298	-32.0497	-18.26833		
0.06316	-32.02472	-18.25409		
0.083335	-32.04055	-18.26311		
0.10351	-32.04544	-18.2659		
0.123685	-32.01096	-18.24625		
0.14386	-32.01935	-18.25103		
0.164035	-32.00498	-18.24284		
0.18421	-32.00507	-18.24289		
0.204385	-31.98967	-18.23411		
0.22455	-31.98841	-18.23339		
0.24475	-31.99374	-18.23643		
0.2649	-31.96479	-18.21993		
0.2851	-31.94981	-18.21139		
0.30525	-31.92393	-18.19664		
0.32545	-31.91933	-18.19402		
0.3456	-31.91323	-18.19054		
0.3658	-31.87525	-18.16889		
0.38595	-31.85509	-18.1574		
0.40615	-31.82535	-18.14045		
0.4263	-31.80033	-18.12619		
0.4465	-31.76355	-18.10522		
0.46665	-31.69326	-18.06516		
0.48685	-31.60928	-18.01729		
0.507	-31.46323	-17.93404		
0.5272	-31.27279	-17.82549		
0.54735	-30.93779	-17.63454		
0.56755	-30.37418	-17.31328		
0.5877	-29.43902	-16.78024		
0.6079	-27.92553	-15.91755		
0.62805	-25.58447	-14.58315		
0.64825	-22.08616	-12.58911		
0.6684	-17.41523	-9.926683		
0.6886	-11.12643	-6.342063		
0.70875	-3.463291	-1.974076		
0.72895	5.534238	3.154516		
0.7491	15.6012	8.892681		
0.7693	26.54912	15.133		
0.78945	38.15505	21.74838		
0.80965	50.16377	28.59335		
0.8298	62.24207	35.47798		
0.85	74.22276	42.30697		
