SAMPLE_B_3LayerMo_b3__V	SAMPLE_B_3LayerMo_b3__J	SAMPLE_B_3LayerMo_b3__I	SAMPLE_B_3LayerMo_b3__Param	SAMPLE_B_3LayerMo_b3__ParamDescr
-0.3	-33.827	-19.28139	0.7137	Voc (V)
-0.2798	-33.83512	-19.28602	33.81	Jsc (mA/cm²)
-0.25965	-33.85765	-19.29886	75.19	FF(%)
-0.23945	-33.83916	-19.28832	18.14	Eff (%)
-0.2193	-33.85393	-19.29674	0.57	Cell Area (cm²)
-0.199125	-33.83953	-19.28853	0.5877	Vmpp (V)
-0.178945	-33.84103	-19.28939	30.87	Jmpp (mA/cm²)
-0.15877	-33.83714	-19.28717	18.14	Pmpp (mW/cm²)
-0.138595	-33.85128	-19.29523	21051.4	Rp (Ohmcm²)
-0.11842	-33.82914	-19.28261	1.47	Rs (Ohmcm²)
-0.098245	-33.83953	-19.28853	03.10.2016 10:08:54	Measurement date and time
-0.07807	-33.83526	-19.2861	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-33.82183	-19.27844	1	Illumination correction factor
-0.03772	-33.80579	-19.2693		(Cell Comment)
-0.017545	-33.80717	-19.27009		(Global Comment)
0.00263	-33.81521	-19.27467		
0.022805	-33.81728	-19.27585		
0.04298	-33.788	-19.25916		
0.06316	-33.79444	-19.26283		
0.083335	-33.78535	-19.25765		
0.10351	-33.77798	-19.25345		
0.123685	-33.77139	-19.24969		
0.14386	-33.76102	-19.24378		
0.164035	-33.75972	-19.24304		
0.18421	-33.75609	-19.24097		
0.204385	-33.74121	-19.23249		
0.22455	-33.75398	-19.23977		
0.24475	-33.72802	-19.22497		
0.2649	-33.72405	-19.22271		
0.2851	-33.71091	-19.21522		
0.30525	-33.68393	-19.19984		
0.32545	-33.64772	-19.1792		
0.3456	-33.63911	-19.17429		
0.3658	-33.62386	-19.1656		
0.38595	-33.5984	-19.15109		
0.40615	-33.56567	-19.13243		
0.4263	-33.52489	-19.10919		
0.4465	-33.4785	-19.08275		
0.46665	-33.4163	-19.04729		
0.48685	-33.29934	-18.98062		
0.507	-33.13874	-18.88908		
0.5272	-32.89651	-18.75101		
0.54735	-32.51626	-18.53427		
0.56755	-31.90558	-18.18618		
0.5877	-30.87209	-17.59709		
0.6079	-29.19237	-16.63965		
0.62805	-26.61537	-15.17076		
0.64825	-22.82451	-13.00997		
0.6684	-17.61335	-10.03961		
0.6886	-10.91932	-6.224011		
0.70875	-2.455572	-1.399676		
0.72895	7.505193	4.27796		
0.7491	18.66091	10.63672		
0.7693	31.06187	17.70527		
0.78945	44.20784	25.19847		
0.80965	57.90451	33.00557		
0.8298	71.78674	40.91844		
0.85	85.64316	48.8166		
