SAMPLE_B_3LayerMo_e2__V	SAMPLE_B_3LayerMo_e2__J	SAMPLE_B_3LayerMo_e2__I	SAMPLE_B_3LayerMo_e2__Param	SAMPLE_B_3LayerMo_e2__ParamDescr
-0.3	-32.3708	-18.45136	0.7131	Voc (V)
-0.2798	-32.38725	-18.46073	32.37	Jsc (mA/cm²)
-0.25965	-32.39642	-18.46596	75.94	FF(%)
-0.23945	-32.39523	-18.46528	17.53	Eff (%)
-0.2193	-32.40182	-18.46904	0.57	Cell Area (cm²)
-0.199125	-32.40451	-18.47057	0.5877	Vmpp (V)
-0.178945	-32.38985	-18.46221	29.82	Jmpp (mA/cm²)
-0.15877	-32.37563	-18.45411	17.53	Pmpp (mW/cm²)
-0.138595	-32.37702	-18.4549	14588	Rp (Ohmcm²)
-0.11842	-32.37339	-18.45283	1.5	Rs (Ohmcm²)
-0.098245	-32.39426	-18.46473	03.10.2016 10:07:50	Measurement date and time
-0.07807	-32.38421	-18.459	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.38211	-18.4578	1	Illumination correction factor
-0.03772	-32.37677	-18.45476		(Cell Comment)
-0.017545	-32.3687	-18.45016		(Global Comment)
0.00263	-32.37502	-18.45376		
0.022805	-32.36979	-18.45078		
0.04298	-32.36793	-18.44972		
0.06316	-32.33033	-18.42829		
0.083335	-32.33228	-18.4294		
0.10351	-32.34237	-18.43515		
0.123685	-32.32431	-18.42486		
0.14386	-32.30941	-18.41636		
0.164035	-32.29584	-18.40863		
0.18421	-32.29424	-18.40772		
0.204385	-32.29737	-18.4095		
0.22455	-32.28674	-18.40344		
0.24475	-32.27382	-18.39608		
0.2649	-32.2507	-18.3829		
0.2851	-32.23153	-18.37197		
0.30525	-32.22303	-18.36713		
0.32545	-32.20723	-18.35812		
0.3456	-32.18542	-18.34569		
0.3658	-32.16246	-18.3326		
0.38595	-32.1396	-18.31957		
0.40615	-32.12749	-18.31267		
0.4263	-32.08731	-18.28977		
0.4465	-32.03362	-18.25916		
0.46665	-31.97537	-18.22596		
0.48685	-31.88763	-18.17595		
0.507	-31.77545	-18.11201		
0.5272	-31.57111	-17.99553		
0.54735	-31.24193	-17.8079		
0.56755	-30.71151	-17.50556		
0.5877	-29.8226	-16.99888		
0.6079	-28.35974	-16.16505		
0.62805	-26.02709	-14.83544		
0.64825	-22.45958	-12.80196		
0.6684	-17.53667	-9.9959		
0.6886	-10.70336	-6.100916		
0.70875	-2.169767	-1.236767		
0.72895	7.998345	4.559057		
0.7491	19.40444	11.06053		
0.7693	32.01167	18.24665		
0.78945	45.21138	25.77049		
0.80965	58.70535	33.46205		
0.8298	72.0282	41.05607		
0.85	84.9142	48.40109		
