SAMPLE_B_3LayerMo_f1__V	SAMPLE_B_3LayerMo_f1__J	SAMPLE_B_3LayerMo_f1__I	SAMPLE_B_3LayerMo_f1__Param	SAMPLE_B_3LayerMo_f1__ParamDescr
-0.3	-32.86739	-18.73441	0.7153	Voc (V)
-0.2798	-32.89309	-18.74906	32.87	Jsc (mA/cm²)
-0.25965	-32.90572	-18.75626	74.92	FF(%)
-0.23945	-32.90412	-18.75535	17.62	Eff (%)
-0.2193	-32.90265	-18.75451	0.57	Cell Area (cm²)
-0.199125	-32.90434	-18.75547	0.5877	Vmpp (V)
-0.178945	-32.90814	-18.75764	29.98	Jmpp (mA/cm²)
-0.15877	-32.88895	-18.7467	17.62	Pmpp (mW/cm²)
-0.138595	-32.90279	-18.75459	76593.5	Rp (Ohmcm²)
-0.11842	-32.88761	-18.74594	1.82	Rs (Ohmcm²)
-0.098245	-32.89227	-18.74859	03.10.2016 10:06:10	Measurement date and time
-0.07807	-32.88546	-18.74471	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.87879	-18.74091	1	Illumination correction factor
-0.03772	-32.89341	-18.74924		(Cell Comment)
-0.017545	-32.87086	-18.73639		(Global Comment)
0.00263	-32.85881	-18.72952		
0.022805	-32.87804	-18.74048		
0.04298	-32.86607	-18.73366		
0.06316	-32.85074	-18.72492		
0.083335	-32.83829	-18.71783		
0.10351	-32.86616	-18.73371		
0.123685	-32.84312	-18.72058		
0.14386	-32.8341	-18.71544		
0.164035	-32.82446	-18.70994		
0.18421	-32.80719	-18.7001		
0.204385	-32.81606	-18.70515		
0.22455	-32.79467	-18.69296		
0.24475	-32.79284	-18.69192		
0.2649	-32.77919	-18.68414		
0.2851	-32.77177	-18.67991		
0.30525	-32.78016	-18.68469		
0.32545	-32.74751	-18.66608		
0.3456	-32.73612	-18.65959		
0.3658	-32.69745	-18.63755		
0.38595	-32.68093	-18.62813		
0.40615	-32.64632	-18.6084		
0.4263	-32.61493	-18.59051		
0.4465	-32.57309	-18.56666		
0.46665	-32.50886	-18.53005		
0.48685	-32.41616	-18.47721		
0.507	-32.26893	-18.39329		
0.5272	-32.03075	-18.25753		
0.54735	-31.65662	-18.04427		
0.56755	-31.00638	-17.67364		
0.5877	-29.97735	-17.08709		
0.6079	-28.28561	-16.1228		
0.62805	-25.74737	-14.676		
0.64825	-22.03475	-12.55981		
0.6684	-17.15554	-9.778656		
0.6886	-10.68825	-6.0923		
0.70875	-2.935707	-1.673353		
0.72895	6.0636	3.456252		
0.7491	15.97493	9.105711		
0.7693	26.58088	15.1511		
0.78945	37.58195	21.42171		
0.80965	48.69318	27.75511		
0.8298	59.53485	33.93487		
0.85	69.95071	39.8719		
