SAMPLE_B_3LayerMo_f3_new_cont__V	SAMPLE_B_3LayerMo_f3_new_cont__J	SAMPLE_B_3LayerMo_f3_new_cont__I	SAMPLE_B_3LayerMo_f3_new_cont__Param	SAMPLE_B_3LayerMo_f3_new_cont__ParamDescr
-0.3	-31.59588	-18.00965	0.7136	Voc (V)
-0.2798	-31.61586	-18.02104	31.58	Jsc (mA/cm²)
-0.25965	-31.60995	-18.01767	76.12	FF(%)
-0.23945	-31.63055	-18.02941	17.15	Eff (%)
-0.2193	-31.59935	-18.01163	0.57	Cell Area (cm²)
-0.199125	-31.62216	-18.02463	0.5877	Vmpp (V)
-0.178945	-31.61723	-18.02182	29.18	Jmpp (mA/cm²)
-0.15877	-31.61396	-18.01996	17.15	Pmpp (mW/cm²)
-0.138595	-31.60109	-18.01262	-1130500	Rp (Ohmcm²)
-0.11842	-31.60475	-18.01471	1.49	Rs (Ohmcm²)
-0.098245	-31.61598	-18.02111	03.10.2016 10:14:50	Measurement date and time
-0.07807	-31.61084	-18.01818	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-31.59531	-18.00933	1	Illumination correction factor
-0.03772	-31.59661	-18.01007		(Cell Comment)
-0.017545	-31.57702	-17.9989		(Global Comment)
0.00263	-31.58777	-18.00503		
0.022805	-31.57788	-17.99939		
0.04298	-31.57547	-17.99802		
0.06316	-31.57954	-18.00034		
0.083335	-31.56612	-17.99269		
0.10351	-31.5704	-17.99513		
0.123685	-31.56289	-17.99085		
0.14386	-31.55391	-17.98573		
0.164035	-31.54335	-17.97971		
0.18421	-31.54147	-17.97864		
0.204385	-31.53879	-17.97711		
0.22455	-31.51566	-17.96393		
0.24475	-31.50968	-17.96052		
0.2649	-31.50519	-17.95796		
0.2851	-31.49816	-17.95395		
0.30525	-31.48756	-17.94791		
0.32545	-31.46576	-17.93548		
0.3456	-31.46609	-17.93567		
0.3658	-31.44665	-17.92459		
0.38595	-31.4267	-17.91322		
0.40615	-31.39656	-17.89604		
0.4263	-31.34826	-17.86851		
0.4465	-31.32478	-17.85512		
0.46665	-31.27551	-17.82704		
0.48685	-31.20362	-17.78606		
0.507	-31.06856	-17.70908		
0.5272	-30.87926	-17.60118		
0.54735	-30.56707	-17.42323		
0.56755	-30.04395	-17.12505		
0.5877	-29.18444	-16.63513		
0.6079	-27.75639	-15.82114		
0.62805	-25.48184	-14.52465		
0.64825	-22.0584	-12.57329		
0.6684	-17.32908	-9.877576		
0.6886	-10.6915	-6.094156		
0.70875	-2.405819	-1.371317		
0.72895	7.583344	4.322506		
0.7491	18.83454	10.73569		
0.7693	31.4117	17.90467		
0.78945	44.63987	25.44473		
0.80965	58.23295	33.19278		
0.8298	71.69353	40.86531		
0.85	84.78648	48.32829		
