SAMPLE_B_3LayerMo_f3_dark__V	SAMPLE_B_3LayerMo_f3_dark__J	SAMPLE_B_3LayerMo_f3_dark__I	SAMPLE_B_3LayerMo_f3_dark__Param	SAMPLE_B_3LayerMo_f3_dark__ParamDescr
-0.3000208	-0.004458843	-0.002541545	0	Voc (V)
-0.2500005	-0.003715491	-0.002117834	0	Jsc (mA/cm²)
-0.200022	-0.003035856	-0.001730441	0	FF(%)
-0.1500144	-0.002366173	-0.001348721	0	Eff (%)
-0.09953345	-0.001793902	-0.001022526	0.570001	Cell Area (cm²)
-0.05001639	-0.001207658	-0.0006883662	0	Vmpp (V)
-7.788214E-06	-0.0005339017	-0.0003043245	0	Jmpp (mA/cm²)
0.02000914	-0.0002497619	-0.0001423645	0	Pmpp (mW/cm²)
0.04000186	5.960909E-05	3.397724E-05	74101.3	Rp (Ohmcm²)
0.06001136	0.0003742783	0.000213339	0	Rs (Ohmcm²)
0.08003145	0.0007043689	0.000401491	03.10.2016 10:10:52	Measurement date and time
0.1000237	0.001049608	0.0005982774	25	Approx. cell temperature (set: 24.0) (°C)
0.1200228	0.001423459	0.000811373	1	Illumination correction factor
0.1400079	0.001832476	0.001044513	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
0.1600049	0.002262205	0.001289459		(Global Comment)
0.1799982	0.002735851	0.001559438		
0.2000033	0.003238742	0.001846086		
0.2199468	0.003799118	0.002165501		
0.2399735	0.004412385	0.002515064		
0.2599973	0.005094468	0.002903852		
0.2799827	0.005862274	0.003341502		
0.2999648	0.006747485	0.003846073		
0.3199511	0.007832205	0.004464365		
0.3399403	0.009127785	0.005202847		
0.3599167	0.01078139	0.006145405		
0.3799117	0.0129522	0.007382766		
0.3999149	0.01603122	0.009137813		
0.4198873	0.02019612	0.01151181		
0.4398782	0.02691069	0.01533912		
0.4599062	0.03718411	0.02119498		
0.4799345	0.05357803	0.03053953		
0.4999573	0.08045133	0.04585734		
0.5199873	0.1257094	0.07165449		
0.5400007	0.1979275	0.1128189		
0.5600201	0.3307483	0.1885269		
0.5799794	0.5580278	0.3180764		
0.5999658	0.9501685	0.541597		
0.6199699	1.621912	0.9244917		
0.6399201	2.706792	1.542874		
0.6599066	4.555954	2.596898		
0.6799024	7.440489	4.241086		
0.6999004	11.69777	6.667741		
0.7199403	17.59799	10.03087		
0.7399096	25.15475	14.33823		
0.7599361	34.3889	19.60171		
0.7799558	44.92001	25.60445		
0.7999852	56.33506	32.11104		
0.8200099	68.16783	38.85573		
0.8400352	79.99013	45.59445		
0.8500279	85.97679	49.00686		
