SAMPLE_B_5LayerMo_a2__V	SAMPLE_B_5LayerMo_a2__J	SAMPLE_B_5LayerMo_a2__I	SAMPLE_B_5LayerMo_a2__Param	SAMPLE_B_5LayerMo_a2__ParamDescr
-0.3	-32.39262	-18.46379	0.7122	Voc (V)
-0.2798	-32.41755	-18.478	32.38	Jsc (mA/cm²)
-0.25965	-32.41351	-18.4757	76.29	FF(%)
-0.23945	-32.41988	-18.47933	17.59	Eff (%)
-0.2193	-32.40223	-18.46927	0.57	Cell Area (cm²)
-0.199125	-32.42635	-18.48302	0.5877	Vmpp (V)
-0.178945	-32.41995	-18.47937	29.93	Jmpp (mA/cm²)
-0.15877	-32.40474	-18.4707	17.59	Pmpp (mW/cm²)
-0.138595	-32.42256	-18.48086	29639.7	Rp (Ohmcm²)
-0.11842	-32.39582	-18.46562	1.18	Rs (Ohmcm²)
-0.098245	-32.39084	-18.46278	03.10.2016 10:20:11	Measurement date and time
-0.07807	-32.39481	-18.46504	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.39182	-18.46334	1	Illumination correction factor
-0.03772	-32.39248	-18.46371		(Cell Comment)
-0.017545	-32.37859	-18.4558		(Global Comment)
0.00263	-32.36758	-18.44952		
0.022805	-32.3783	-18.45563		
0.04298	-32.38777	-18.46103		
0.06316	-32.37603	-18.45434		
0.083335	-32.37465	-18.45355		
0.10351	-32.35342	-18.44145		
0.123685	-32.35435	-18.44198		
0.14386	-32.3396	-18.43357		
0.164035	-32.34626	-18.43737		
0.18421	-32.35163	-18.44043		
0.204385	-32.32256	-18.42386		
0.22455	-32.33002	-18.42811		
0.24475	-32.32421	-18.4248		
0.2649	-32.32784	-18.42687		
0.2851	-32.31549	-18.41983		
0.30525	-32.28168	-18.40056		
0.32545	-32.28849	-18.40444		
0.3456	-32.26012	-18.38827		
0.3658	-32.24374	-18.37893		
0.38595	-32.23544	-18.3742		
0.40615	-32.19972	-18.35384		
0.4263	-32.17647	-18.34059		
0.4465	-32.13826	-18.31881		
0.46665	-32.1083	-18.30173		
0.48685	-32.00058	-18.24033		
0.507	-31.85937	-18.15984		
0.5272	-31.69249	-18.06472		
0.54735	-31.36437	-17.87769		
0.56755	-30.83661	-17.57687		
0.5877	-29.93361	-17.06216		
0.6079	-28.49326	-16.24116		
0.62805	-26.20914	-14.93921		
0.64825	-22.69698	-12.93728		
0.6684	-17.65896	-10.06561		
0.6886	-10.85571	-6.187752		
0.70875	-1.871919	-1.066994		
0.72895	9.122825	5.20001		
0.7491	21.92758	12.49872		
0.7693	36.5934	20.85824		
0.78945	52.60839	29.98678		
0.80965	69.78201	39.77574		
0.8298	87.65063	49.96086		
0.85	105.9505	60.3918		
