SAMPLE_B_5LayerMo_b1__V	SAMPLE_B_5LayerMo_b1__J	SAMPLE_B_5LayerMo_b1__I	SAMPLE_B_5LayerMo_b1__Param	SAMPLE_B_5LayerMo_b1__ParamDescr
-0.3	-32.63823	-18.60379	0.7121	Voc (V)
-0.2798	-32.66642	-18.61986	32.64	Jsc (mA/cm²)
-0.25965	-32.64412	-18.60715	76.6	FF(%)
-0.23945	-32.64846	-18.60962	17.8	Eff (%)
-0.2193	-32.66267	-18.61772	0.57	Cell Area (cm²)
-0.199125	-32.66232	-18.61752	0.5877	Vmpp (V)
-0.178945	-32.66265	-18.61771	30.29	Jmpp (mA/cm²)
-0.15877	-32.65251	-18.61193	17.8	Pmpp (mW/cm²)
-0.138595	-32.64567	-18.60803	-61446.6	Rp (Ohmcm²)
-0.11842	-32.65172	-18.61148	1.14	Rs (Ohmcm²)
-0.098245	-32.63814	-18.60374	03.10.2016 10:18:38	Measurement date and time
-0.07807	-32.63961	-18.60458	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.6467	-18.60862	1	Illumination correction factor
-0.03772	-32.63198	-18.60023		(Cell Comment)
-0.017545	-32.63693	-18.60305		(Global Comment)
0.00263	-32.62633	-18.59701		
0.022805	-32.62907	-18.59857		
0.04298	-32.60065	-18.58237		
0.06316	-32.61493	-18.59051		
0.083335	-32.62098	-18.59396		
0.10351	-32.59509	-18.5792		
0.123685	-32.60675	-18.58585		
0.14386	-32.60958	-18.58746		
0.164035	-32.59628	-18.57988		
0.18421	-32.60589	-18.58536		
0.204385	-32.56261	-18.56069		
0.22455	-32.5532	-18.55532		
0.24475	-32.55968	-18.55902		
0.2649	-32.55272	-18.55505		
0.2851	-32.53923	-18.54736		
0.30525	-32.53617	-18.54562		
0.32545	-32.5274	-18.54062		
0.3456	-32.51052	-18.531		
0.3658	-32.49174	-18.52029		
0.38595	-32.4912	-18.51998		
0.40615	-32.46337	-18.50412		
0.4263	-32.43805	-18.48969		
0.4465	-32.40733	-18.47218		
0.46665	-32.32691	-18.42634		
0.48685	-32.27907	-18.39907		
0.507	-32.13689	-18.31803		
0.5272	-31.95975	-18.21706		
0.54735	-31.64912	-18.04		
0.56755	-31.13614	-17.7476		
0.5877	-30.28802	-17.26417		
0.6079	-28.86949	-16.45561		
0.62805	-26.57458	-15.14751		
0.64825	-23.02877	-13.1264		
0.6684	-17.89981	-10.20289		
0.6886	-10.98686	-6.262508		
0.70875	-1.83693	-1.04705		
0.72895	9.379847	5.346512		
0.7491	22.41269	12.77523		
0.7693	37.39603	21.31574		
0.78945	53.78783	30.65906		
0.80965	71.43463	40.71774		
0.8298	89.89281	51.2389		
0.85	108.9424	62.09719		
