SAMPLE_B_5LayerMo_b2_dark__V	SAMPLE_B_5LayerMo_b2_dark__J	SAMPLE_B_5LayerMo_b2_dark__I	SAMPLE_B_5LayerMo_b2_dark__Param	SAMPLE_B_5LayerMo_b2_dark__ParamDescr
-0.3000095	-0.00229604	-0.001308745	0	Voc (V)
-0.2499871	-0.001822309	-0.001038718	0	Jsc (mA/cm²)
-0.1999679	-0.001527894	-0.0008709013	0	FF(%)
-0.150016	-0.001305576	-0.0007441795	0	Eff (%)
-0.1000367	-0.0008807736	-0.0005020418	0.570001	Cell Area (cm²)
-0.05003295	-0.0005910154	-0.0003368794	0	Vmpp (V)
-2.52542E-05	-0.0002847525	-0.0001623092	0	Jmpp (mA/cm²)
0.02001043	-0.0002728976	-0.0001555519	0	Pmpp (mW/cm²)
0.03991088	-1.531236E-05	-8.72806E-06	193461.4	Rp (Ohmcm²)
0.06008065	9.323456E-05	5.314379E-05	0	Rs (Ohmcm²)
0.07998744	0.0002041375	0.0001163586	03.10.2016 10:25:45	Measurement date and time
0.100009	0.0005047809	0.0002877256	25	Approx. cell temperature (set: 24.0) (°C)
0.1200132	0.0005806846	0.0003309908	1	Illumination correction factor
0.1401116	0.0008571041	0.0004885502	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
0.160012	0.001193786	0.0006804592		(Global Comment)
0.1800289	0.001374022	0.0007831941		
0.2000052	0.001852065	0.001055679		
0.2199357	0.002138858	0.001219151		
0.2399694	0.002559844	0.001459114		
0.2599958	0.003210551	0.001830017		
0.2799965	0.003781821	0.002155642		
0.2999532	0.004619927	0.002633363		
0.3199625	0.005624322	0.003205869		
0.3399379	0.00683584	0.003896436		
0.3599204	0.008660507	0.004936498		
0.3799179	0.01093363	0.00623218		
0.399914	0.0140704	0.008020142		
0.4198871	0.01870583	0.01066234		
0.4398777	0.02557315	0.01457672		
0.4599077	0.03610158	0.02057794		
0.4799293	0.05278683	0.03008855		
0.4999593	0.08001953	0.04561121		
0.5199864	0.1253823	0.07146805		
0.540004	0.1994918	0.1137105		
0.5600243	0.332268	0.1893931		
0.579981	0.561506	0.320059		
0.599973	0.9605846	0.5475342		
0.6199691	1.651541	0.9413801		
0.6399221	2.796546	1.594034		
0.6599131	4.759625	2.712991		
0.6799034	7.891613	4.498227		
0.6999066	12.64458	7.207422		
0.7199161	19.36454	11.03781		
0.7399144	28.43628	16.20871		
0.7599413	39.8334	22.70508		
0.7799567	53.39305	30.43409		
0.7999861	68.83019	39.23328		
0.820011	85.76497	48.88612		
0.8400407	103.8022	59.16734		
0.8500339	113.2796	64.56948		
