SAMPLE_B_5LayerMo_c2__V	SAMPLE_B_5LayerMo_c2__J	SAMPLE_B_5LayerMo_c2__I	SAMPLE_B_5LayerMo_c2__Param	SAMPLE_B_5LayerMo_c2__ParamDescr
-0.3	-33.17514	-18.90983	0.7112	Voc (V)
-0.2798	-33.20255	-18.92545	33.17	Jsc (mA/cm²)
-0.25965	-33.1976	-18.92263	76.51	FF(%)
-0.23945	-33.20369	-18.9261	18.05	Eff (%)
-0.2193	-33.20277	-18.92558	0.57	Cell Area (cm²)
-0.199125	-33.2061	-18.92748	0.5877	Vmpp (V)
-0.178945	-33.18488	-18.91538	30.71	Jmpp (mA/cm²)
-0.15877	-33.1757	-18.91015	18.05	Pmpp (mW/cm²)
-0.138595	-33.18112	-18.91324	5454	Rp (Ohmcm²)
-0.11842	-33.18896	-18.91771	1.15	Rs (Ohmcm²)
-0.098245	-33.19679	-18.92217	03.10.2016 10:20:54	Measurement date and time
-0.07807	-33.18459	-18.91522	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-33.1893	-18.9179	1	Illumination correction factor
-0.03772	-33.18325	-18.91445		(Cell Comment)
-0.017545	-33.1683	-18.90593		(Global Comment)
0.00263	-33.16883	-18.90623		
0.022805	-33.15853	-18.90036		
0.04298	-33.15594	-18.89889		
0.06316	-33.16526	-18.9042		
0.083335	-33.154	-18.89778		
0.10351	-33.13563	-18.88731		
0.123685	-33.12686	-18.88231		
0.14386	-33.11793	-18.87722		
0.164035	-33.12293	-18.88007		
0.18421	-33.1072	-18.8711		
0.204385	-33.10435	-18.86948		
0.22455	-33.10393	-18.86924		
0.24475	-33.1046	-18.86962		
0.2649	-33.09026	-18.86145		
0.2851	-33.07761	-18.85424		
0.30525	-33.02879	-18.82641		
0.32545	-33.04602	-18.83623		
0.3456	-33.05284	-18.84012		
0.3658	-33.01011	-18.81576		
0.38595	-32.99937	-18.80964		
0.40615	-32.96387	-18.78941		
0.4263	-32.93125	-18.77081		
0.4465	-32.89144	-18.74812		
0.46665	-32.84486	-18.72157		
0.48685	-32.73807	-18.6607		
0.507	-32.59911	-18.58149		
0.5272	-32.41028	-18.47386		
0.54735	-32.10893	-18.30209		
0.56755	-31.56556	-17.99237		
0.5877	-30.70932	-17.50431		
0.6079	-29.23607	-16.66456		
0.62805	-26.89265	-15.32881		
0.64825	-23.26039	-13.25842		
0.6684	-17.98247	-10.25001		
0.6886	-10.78361	-6.146655		
0.70875	-1.381288	-0.7873342		
0.72895	10.2229	5.827055		
0.7491	23.84133	13.58956		
0.7693	39.2357	22.36435		
0.78945	55.88754	31.8559		
0.80965	73.50424	41.89742		
0.8298	91.62742	52.22763		
0.85	109.9379	62.66458		
