SAMPLE_B_5LayerMo_d2__V	SAMPLE_B_5LayerMo_d2__J	SAMPLE_B_5LayerMo_d2__I	SAMPLE_B_5LayerMo_d2__Param	SAMPLE_B_5LayerMo_d2__ParamDescr
-0.3	-31.81691	-18.13564	0.7112	Voc (V)
-0.2798	-31.83447	-18.14565	31.78	Jsc (mA/cm²)
-0.25965	-31.82428	-18.13984	76.3	FF(%)
-0.23945	-31.81251	-18.13313	17.24	Eff (%)
-0.2193	-31.81049	-18.13198	0.57	Cell Area (cm²)
-0.199125	-31.82909	-18.14258	0.5877	Vmpp (V)
-0.178945	-31.83425	-18.14552	29.34	Jmpp (mA/cm²)
-0.15877	-31.811	-18.13227	17.24	Pmpp (mW/cm²)
-0.138595	-31.82391	-18.13963	16655.5	Rp (Ohmcm²)
-0.11842	-31.80481	-18.12874	1.33	Rs (Ohmcm²)
-0.098245	-31.79686	-18.12421	03.10.2016 10:21:16	Measurement date and time
-0.07807	-31.8021	-18.1272	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-31.78895	-18.1197	1	Illumination correction factor
-0.03772	-31.79956	-18.12575		(Cell Comment)
-0.017545	-31.77935	-18.11423		(Global Comment)
0.00263	-31.77951	-18.11432		
0.022805	-31.79509	-18.1232		
0.04298	-31.77818	-18.11356		
0.06316	-31.7687	-18.10816		
0.083335	-31.74796	-18.09634		
0.10351	-31.74661	-18.09557		
0.123685	-31.75525	-18.10049		
0.14386	-31.72991	-18.08605		
0.164035	-31.72765	-18.08476		
0.18421	-31.72488	-18.08318		
0.204385	-31.73354	-18.08812		
0.22455	-31.71549	-18.07783		
0.24475	-31.68418	-18.05998		
0.2649	-31.67021	-18.05202		
0.2851	-31.66162	-18.04712		
0.30525	-31.67844	-18.05671		
0.32545	-31.64547	-18.03792		
0.3456	-31.62037	-18.02361		
0.3658	-31.6087	-18.01696		
0.38595	-31.60546	-18.01511		
0.40615	-31.57109	-17.99552		
0.4263	-31.54349	-17.97979		
0.4465	-31.50227	-17.95629		
0.46665	-31.43509	-17.918		
0.48685	-31.36118	-17.87587		
0.507	-31.23584	-17.80443		
0.5272	-31.04062	-17.69315		
0.54735	-30.71616	-17.50821		
0.56755	-30.1983	-17.21303		
0.5877	-29.34286	-16.72543		
0.6079	-27.91616	-15.91221		
0.62805	-25.62426	-14.60583		
0.64825	-22.10823	-12.60169		
0.6684	-17.13365	-9.766178		
0.6886	-10.14111	-5.780431		
0.70875	-1.296309	-0.738896		
0.72895	9.495251	5.412293		
0.7491	21.97589	12.52626		
0.7693	35.81888	20.41676		
0.78945	50.4796	28.77337		
0.80965	65.62273	37.40496		
0.8298	80.76974	46.03875		
0.85	95.72574	54.56367		
