SAMPLE_B_5LayerMo_e2__V	SAMPLE_B_5LayerMo_e2__J	SAMPLE_B_5LayerMo_e2__I	SAMPLE_B_5LayerMo_e2__Param	SAMPLE_B_5LayerMo_e2__ParamDescr
-0.3	-32.06491	-18.277	0.7125	Voc (V)
-0.2798	-32.08351	-18.2876	32.03	Jsc (mA/cm²)
-0.25965	-32.08216	-18.28683	72.31	FF(%)
-0.23945	-32.06253	-18.27564	16.5	Eff (%)
-0.2193	-32.0569	-18.27243	0.57	Cell Area (cm²)
-0.199125	-32.06642	-18.27786	0.5676	Vmpp (V)
-0.178945	-32.05883	-18.27353	29.08	Jmpp (mA/cm²)
-0.15877	-32.06744	-18.27844	16.5	Pmpp (mW/cm²)
-0.138595	-32.05732	-18.27267	6208.5	Rp (Ohmcm²)
-0.11842	-32.05231	-18.26982	1.91	Rs (Ohmcm²)
-0.098245	-32.05017	-18.2686	03.10.2016 10:21:34	Measurement date and time
-0.07807	-32.04309	-18.26456	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.05123	-18.2692	1	Illumination correction factor
-0.03772	-32.04115	-18.26346		(Cell Comment)
-0.017545	-32.02816	-18.25605		(Global Comment)
0.00263	-32.03682	-18.26099		
0.022805	-32.019	-18.25083		
0.04298	-32.00468	-18.24267		
0.06316	-32.00352	-18.24201		
0.083335	-31.99372	-18.23642		
0.10351	-31.9796	-18.22837		
0.123685	-31.97223	-18.22417		
0.14386	-31.95828	-18.21622		
0.164035	-31.96547	-18.22032		
0.18421	-31.96514	-18.22013		
0.204385	-31.94431	-18.20826		
0.22455	-31.9437	-18.20791		
0.24475	-31.91546	-18.19181		
0.2649	-31.91637	-18.19233		
0.2851	-31.91119	-18.18938		
0.30525	-31.87668	-18.16971		
0.32545	-31.87172	-18.16688		
0.3456	-31.84154	-18.14968		
0.3658	-31.8136	-18.13375		
0.38595	-31.7949	-18.12309		
0.40615	-31.7651	-18.10611		
0.4263	-31.68828	-18.06232		
0.4465	-31.62033	-18.02359		
0.46665	-31.49824	-17.954		
0.48685	-31.33916	-17.86332		
0.507	-31.07246	-17.7113		
0.5272	-30.65665	-17.47429		
0.54735	-30.02342	-17.11335		
0.56755	-29.07653	-16.57362		
0.5877	-27.69249	-15.78472		
0.6079	-25.76447	-14.68575		
0.62805	-23.09386	-13.1635		
0.64825	-19.45919	-11.09174		
0.6684	-14.79453	-8.432883		
0.6886	-8.77623	-5.002451		
0.70875	-1.568215	-0.8938824		
0.72895	6.863132	3.911985		
0.7491	16.30681	9.294881		
0.7693	26.4234	15.06134		
0.78945	36.88261	21.02309		
0.80965	47.45667	27.0503		
0.8298	57.8187	32.95666		
0.85	67.91817	38.71336		
