SAMPLE_B_5LayerMo_f1__V	SAMPLE_B_5LayerMo_f1__J	SAMPLE_B_5LayerMo_f1__I	SAMPLE_B_5LayerMo_f1__Param	SAMPLE_B_5LayerMo_f1__ParamDescr
-0.3	-33.00516	-18.81294	0.7159	Voc (V)
-0.2798	-33.00446	-18.81254	32.96	Jsc (mA/cm²)
-0.25965	-33.0018	-18.81103	75.4	FF(%)
-0.23945	-33.01479	-18.81843	17.79	Eff (%)
-0.2193	-33.00256	-18.81146	0.57	Cell Area (cm²)
-0.199125	-32.99209	-18.80549	0.5877	Vmpp (V)
-0.178945	-33.00072	-18.81041	30.27	Jmpp (mA/cm²)
-0.15877	-32.99686	-18.80821	17.79	Pmpp (mW/cm²)
-0.138595	-33.00198	-18.81113	11853.7	Rp (Ohmcm²)
-0.11842	-32.9817	-18.79957	1.78	Rs (Ohmcm²)
-0.098245	-32.97958	-18.79836	03.10.2016 10:19:51	Measurement date and time
-0.07807	-32.97697	-18.79687	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.9904	-18.80453	1	Illumination correction factor
-0.03772	-32.97039	-18.79312		(Cell Comment)
-0.017545	-32.95865	-18.78643		(Global Comment)
0.00263	-32.96935	-18.79253		
0.022805	-32.94938	-18.78115		
0.04298	-32.96319	-18.78902		
0.06316	-32.95426	-18.78393		
0.083335	-32.93937	-18.77544		
0.10351	-32.93909	-18.77528		
0.123685	-32.93119	-18.77078		
0.14386	-32.94069	-18.77619		
0.164035	-32.92026	-18.76455		
0.18421	-32.92516	-18.76734		
0.204385	-32.9104	-18.75893		
0.22455	-32.90326	-18.75486		
0.24475	-32.90365	-18.75508		
0.2649	-32.86435	-18.73268		
0.2851	-32.87837	-18.74067		
0.30525	-32.86391	-18.73243		
0.32545	-32.84061	-18.71915		
0.3456	-32.8387	-18.71806		
0.3658	-32.8346	-18.71572		
0.38595	-32.80434	-18.69847		
0.40615	-32.77174	-18.67989		
0.4263	-32.7437	-18.66391		
0.4465	-32.69745	-18.63755		
0.46665	-32.63872	-18.60407		
0.48685	-32.54535	-18.55085		
0.507	-32.40496	-18.47083		
0.5272	-32.19972	-18.35384		
0.54735	-31.83542	-18.14619		
0.56755	-31.25216	-17.81373		
0.5877	-30.27372	-17.25602		
0.6079	-28.69495	-16.35612		
0.62805	-26.32005	-15.00243		
0.64825	-22.73044	-12.95635		
0.6684	-17.75911	-10.12269		
0.6886	-11.35284	-6.471119		
0.70875	-3.323728	-1.894525		
0.72895	6.056337	3.452112		
0.7491	16.46225	9.383481		
0.7693	27.54565	15.70102		
0.78945	38.92046	22.18466		
0.80965	50.27102	28.65448		
0.8298	61.23491	34.9039		
0.85	71.69572	40.86656		
