Sample name: 	SAMPLE a3
Area [cm²]	0.3

Voc [V]	Jsc [mA/cm²]	Temp [K]

0.4486	0.1302626	263.1
0.6228	0.3010367	263.1
0.7284	0.417865	263
1.0066	0.919336	263
1.0263	1.274267	263.1
1.0437	1.864047	263
1.0574	2.58878	262.9
1.0688	3.538806	262.9
1.08	4.90898	263
1.0985	8.80357	263
1.1084	12.21777	263.1

0.471	0.1324697	273
0.6592	0.3065286	273
0.7962	0.4262147	273
0.9903	0.941704	273
1.0084	1.304358	273
1.0256	1.907813	273
1.0393	2.623134	273
1.0512	3.599173	273
1.0628	5.017617	273.1
1.0812	8.805973	273
1.092	12.47252	273

0.4697	0.1273283	283.2
0.6993	0.2935345	283.2
0.8428	0.408602	283.1
0.9671	0.9042533	283
0.9859	1.255118	283
1.0041	1.839843	283
1.0192	2.608133	283
1.0319	3.563777	282.9
1.0441	4.940204	282.9
1.0641	8.831634	283
1.0736	12.25358	282.8

0.4537	0.1243391	293
0.7356	0.2865632	292.9
0.855	0.3983857	292.9
0.9439	0.8804053	293
0.9628	1.221101	292.9
0.9818	1.784109	292.8
0.9967	2.476225	292.9
1.0097	3.378603	292.8
1.0226	4.68227	292.8
1.0433	8.348249	292.9
1.0528	11.61345	292.9

0.4181	0.1215389	303.1
0.7245	0.2805865	303
0.8295	0.3902013	303
0.9164	0.863633	303.1
0.9368	1.198131	303
0.9572	1.750601	302.9
0.9731	2.429419	302.8
0.987	3.292478	302.9
1.0007	4.59278	302.8
1.022	8.213853	302.7
1.0327	11.38326	302.9

0.4091	0.1186698	313.2
0.7292	0.2741536	313.2
0.8123	0.38112	313.2
0.8911	0.845054	313.2
0.9117	1.172424	313.2
0.9327	1.713316	313
0.9491	2.377555	312.9
0.9635	3.226177	312.9
0.9776	4.501153	313
1.0006	8.023706	313
1.0117	11.1128	312.9

0.4116	0.1156689	323.1
0.72	0.2676689	323.1
0.7894	0.3724373	323.1
0.865	0.825957	323.2
0.8855	1.146085	323.2
0.9071	1.675615	323.2
0.9238	2.325847	323.2
0.9389	3.158021	323.2
0.9535	4.40218	323.1
0.9774	7.837427	323.2
0.9889	10.84908	323.3

0.3846	0.1115997	333.3
0.6856	0.2588687	333.2
0.7565	0.3602317	333.2
0.8353	0.799367	333.1
0.8572	1.109761	333.1
0.8794	1.622567	333.1
0.8967	2.25123	333.1
0.9124	3.05903	333.1
0.9277	4.25903	333.1
0.9526	7.583783	333.2
0.9641	10.48325	333.3
