Sample name: 	TL3120
Area [cm²]	0.546

Voc [V]	Jsc [mA/cm²]	Temp [K]

0.8451	0.4791189	122.7
0.8636	0.953046	122.7
0.8716	1.321832	122.7
0.8902	2.945055	122.8
0.897	4.071961	123.4
0.9071	6.476998	123.5
0.914	8.964087	123.3
0.9197	12.00283	123.3
0.926	16.60283	122.9
0.9371	32.75302	122.7
0.9416	45.31364	122.6

0.8359	0.4784552	132.8
0.8543	0.9516242	132.7
0.8626	1.319411	132.6
0.8814	2.940641	132.6
0.8886	4.066538	133.1
0.8993	6.469196	133.2
0.906	8.958965	133.5
0.9121	11.99923	133.7
0.9188	16.60082	133.6
0.9315	32.73845	133.1
0.9368	45.28815	133.2

0.8249	0.4783634	143.2
0.8434	0.9512759	143.3
0.8517	1.318848	143.4
0.8711	2.939251	143.3
0.8783	4.064428	143.8
0.8898	6.460513	143.3
0.8976	8.937581	142.8
0.9037	11.98544	143.3
0.9113	16.57984	142.6
0.9252	32.69456	142.2
0.9306	45.23456	142.9

0.8133	0.4782442	152.9
0.8319	0.95117	152.9
0.8404	1.318951	152.9
0.8598	2.939586	153.5
0.8679	4.065004	153.6
0.8787	6.446734	153.4
0.8867	8.919161	153.3
0.8941	11.98506	152.8
0.9012	16.58035	152.9
0.9165	32.69447	152.6
0.9227	45.25509	152.7

0.8006	0.4789802	162.8
0.8199	0.9528703	162.6
0.8289	1.321237	162.4
0.849	2.945276	162.3
0.8566	4.073615	162.5
0.8677	6.482619	162.8
0.8753	8.975014	163
0.882	12.01876	163.3
0.8895	16.62423	163.5
0.9051	32.79493	163.7
0.9126	45.36192	163.5

0.7843	0.4823326	173.6
0.8038	0.9607326	173.6
0.8126	1.331299	173.6
0.8333	2.965258	173.9
0.8432	4.098672	172.9
0.8553	6.516828	172.6
0.8634	9.018795	172.6
0.8706	12.08587	172.5
0.8779	16.71987	173
0.8942	32.97317	173.1
0.9011	45.62194	173.5

0.7681	0.4837707	183.6
0.7882	0.9627848	183.6
0.7975	1.3345	183.6
0.8204	2.971927	182.6
0.8292	4.107421	182.4
0.8414	6.484225	182.2
0.85	8.975079	182
0.8571	12.11653	182.1
0.865	16.76384	182.4
0.8816	33.055	182.8
0.8894	45.73075	183.1

0.7504	0.4854108	193.8
0.7717	0.9655679	193.5
0.7819	1.338376	193.1
0.8059	2.980201	191.9
0.8146	4.119392	191.9
0.8264	6.538703	192.1
0.8344	9.051847	192.4
0.8417	12.15148	192.9
0.8502	16.81221	193
0.8672	33.14934	193.4
0.8752	45.85936	193.6

0.7332	0.4857656	202
0.7551	0.9671116	202
0.765	1.340366	202
0.7878	2.985592	202.2
0.7969	4.127511	202.1
0.8091	6.568874	202.8
0.818	9.090062	202.9
0.8258	12.18003	202.8
0.8339	16.84807	203.4
0.8522	33.21595	203.3
0.8604	45.95875	203.6

0.7107	0.4870839	213.1
0.7337	0.969622	213.2
0.7441	1.344043	213.2
0.7681	2.993619	213.4
0.778	4.138308	212.7
0.792	6.584863	212.3
0.8011	9.112211	212.4
0.8091	12.20644	212.7
0.8182	16.8874	212.6
0.8365	33.3	213
0.8451	46.07978	213.1

0.6933	0.4880764	223.1
0.7173	0.9718838	223
0.7281	1.346743	223
0.7526	3.00026	223.1
0.7624	4.146872	223.2
0.7777	6.599661	222.1
0.7873	9.132132	222
0.7953	12.23304	222.4
0.8046	16.91935	222.3
0.8233	33.3694	222.8
0.8324	46.16039	223.1

0.6729	0.488913	233.3
0.6982	0.9736893	233.2
0.7097	1.349657	233.1
0.7363	3.006352	232.4
0.7465	4.154706	232.5
0.7606	6.613945	232.5
0.77	9.155714	232.6
0.7784	12.2657	233
0.7879	16.96684	233.1
0.8079	33.44945	233.1
0.817	46.29104	233.3

0.6528	0.4903945	242.4
0.6792	0.9759248	242.4
0.691	1.352803	242.4
0.717	3.014143	242.8
0.7273	4.166996	243
0.7417	6.599821	243.1
0.7515	9.131979	243.3
0.7607	12.29962	243.2
0.7701	17.01673	243.6
0.7909	33.54729	243.6
0.801	46.40595	243.6

0.6283	0.4920282	253.6
0.6565	0.9792446	253.6
0.6691	1.357169	253.5
0.6979	3.022255	253
0.7084	4.178456	253
0.7234	6.637641	253.1
0.7341	9.184892	253.2
0.7437	12.33094	253.1
0.7538	17.05832	253
0.7747	33.64427	253.2
0.785	46.527	253.4

0.6078	0.4933588	262.6
0.6377	0.9817705	262.3
0.6511	1.360182	262.2
0.68	3.031359	262
0.6905	4.190053	262.3
0.7058	6.658525	262.5
0.7161	9.212667	262.8
0.7254	12.36711	263
0.7357	17.10884	263.2
0.7572	33.74476	263.3
0.7673	46.68154	263.6

0.5841	0.4948423	273
0.615	0.9846975	273
0.6285	1.364359	273
0.6581	3.039994	273
0.6697	4.201826	273
0.6858	6.682013	273
0.697	9.244906	273
0.7072	12.40337	273
0.7183	17.15674	273
0.7407	33.84044	273
0.7511	46.80789	273

0.5615	0.4963083	282.9
0.5938	0.9872398	282.9
0.6078	1.368165	282.9
0.6381	3.049016	282.9
0.6499	4.214969	282.9
0.6665	6.714346	282.9
0.6777	9.289088	283
0.6882	12.44	283.2
0.6999	17.2055	283.1
0.7228	33.93998	283
0.7335	46.935	283.1

0.5381	0.4974003	292.9
0.5718	0.9896195	292.9
0.5863	1.371564	292.9
0.6172	3.057914	292.9
0.6293	4.226399	293.1
0.6467	6.729802	293.2
0.6588	9.312608	293.1
0.6692	12.47671	293.1
0.6808	17.25963	293.1
0.7045	34.03346	293.1
0.716	47.07441	293.1

0.5147	0.49912	303.2
0.5496	0.9929959	303.2
0.5648	1.37615	303.1
0.5971	3.06659	303
0.6093	4.238751	303
0.6265	6.700474	303.1
0.6387	9.270811	303
0.6495	12.51256	302.9
0.6611	17.30679	303.2
0.686	34.13183	303.2
0.6977	47.21379	303.1

0.493	0.500794	312.9
0.5287	0.9960034	312.9
0.5441	1.380036	312.8
0.5764	3.07637	312.8
0.5889	4.252873	312.9
0.6067	6.740766	312.9
0.6189	9.32719	312.9
0.6299	12.55246	312.9
0.6419	17.36059	313
0.6669	34.24795	313.1
0.6789	47.36844	313.1

0.4703	0.5022095	323
0.5068	0.9990112	323
0.5226	1.38422	322.9
0.5559	3.086899	322.8
0.5686	4.265574	322.8
0.5867	6.798262	322.9
0.5993	9.403878	322.8
0.6102	12.59647	323
0.6226	17.422	323.2
0.6486	34.36551	323.2
0.6607	47.52386	323.1
