Excitation Wavelength[nm]	crv[0] [Cnts.]
950.00	2327.00
951.00	2366.00
952.00	2428.00
953.00	2521.00
954.00	2459.00
955.00	2520.00
956.00	2565.00
957.00	2672.00
958.00	2529.00
959.00	2547.00
960.00	2583.00
961.00	2589.00
962.00	2684.00
963.00	2818.00
964.00	2711.00
965.00	2837.00
966.00	2725.00
967.00	2798.00
968.00	2878.00
969.00	2934.00
970.00	3025.00
971.00	3031.00
972.00	3044.00
973.00	3125.00
974.00	3105.00
975.00	3157.00
976.00	3226.00
977.00	3284.00
978.00	3319.00
979.00	3362.00
980.00	3309.00
981.00	3458.00
982.00	3471.00
983.00	3545.00
984.00	3619.00
985.00	3740.00
986.00	3863.00
987.00	3836.00
988.00	3897.00
989.00	3976.00
990.00	4087.00
991.00	4211.00
992.00	4329.00
993.00	4360.00
994.00	4494.00
995.00	4580.00
996.00	4686.00
997.00	4925.00
998.00	4868.00
999.00	5177.00
1000.00	5241.00
1001.00	5467.00
1002.00	5728.00
1003.00	5948.00
1004.00	6135.00
1005.00	6353.00
1006.00	6365.00
1007.00	6567.00
1008.00	6802.00
1009.00	7128.00
1010.00	7278.00
1011.00	7526.00
1012.00	7967.00
1013.00	8089.00
1014.00	8414.00
1015.00	8445.00
1016.00	8952.00
1017.00	9189.00
1018.00	9476.00
1019.00	10094.00
1020.00	10137.00
1021.00	10583.00
1022.00	10731.00
1023.00	11334.00
1024.00	11818.00
1025.00	12304.00
1026.00	12652.00
1027.00	12808.00
1028.00	13285.00
1029.00	13567.00
1030.00	14106.00
1031.00	14569.00
1032.00	14765.00
1033.00	15237.00
1034.00	15650.00
1035.00	15939.00
1036.00	16747.00
1037.00	17008.00
1038.00	17605.00
1039.00	17837.00
1040.00	18050.00
1041.00	18072.00
1042.00	18700.00
1043.00	19154.00
1044.00	19487.00
1045.00	19836.00
1046.00	20264.00
1047.00	20469.00
1048.00	21053.00
1049.00	21064.00
1050.00	21644.00
1051.00	21687.00
1052.00	22029.00
1053.00	21949.00
1054.00	23149.00
1055.00	22660.00
1056.00	23564.00
1057.00	23354.00
1058.00	23216.00
1059.00	24283.00
1060.00	24146.00
1061.00	24441.00
1062.00	25008.00
1063.00	24598.00
1064.00	25116.00
1065.00	25626.00
1066.00	26098.00
1067.00	26665.00
1068.00	27348.00
1069.00	27314.00
1070.00	27685.00
1071.00	28520.00
1072.00	28618.00
1073.00	29990.00
1074.00	30021.00
1075.00	30273.00
1076.00	31053.00
1077.00	31765.00
1078.00	32093.00
1079.00	33067.00
1080.00	33283.00
1081.00	33699.00
1082.00	34867.00
1083.00	35240.00
1084.00	36153.00
1085.00	36423.00
1086.00	37916.00
1087.00	38291.00
1088.00	38827.00
1089.00	40119.00
1090.00	40138.00
1091.00	41557.00
1092.00	41665.00
1093.00	41897.00
1094.00	43285.00
1095.00	43166.00
1096.00	44338.00
1097.00	44694.00
1098.00	45124.00
1099.00	45578.00
1100.00	46798.00
1101.00	45948.00
1102.00	47023.00
1103.00	46685.00
1104.00	46637.00
1105.00	47080.00
1106.00	47758.00
1107.00	47123.00
1108.00	46871.00
1109.00	46434.00
1110.00	46824.00
1111.00	46069.00
1112.00	45116.00
1113.00	44771.00
1114.00	44968.00
1115.00	43648.00
1116.00	42487.00
1117.00	42610.00
1118.00	41304.00
1119.00	39954.00
1120.00	39584.00
1121.00	38141.00
1122.00	35869.00
1123.00	36052.00
1124.00	35179.00
1125.00	33354.00
1126.00	32744.00
1127.00	31258.00
1128.00	30399.00
1129.00	29816.00
1130.00	27808.00
1131.00	26507.00
1132.00	25179.00
1133.00	24379.00
1134.00	23255.00
1135.00	22991.00
1136.00	21987.00
1137.00	21426.00
1138.00	19964.00
1139.00	19647.00
1140.00	18434.00
1141.00	18108.00
1142.00	17218.00
1143.00	16932.00
1144.00	15923.00
1145.00	15518.00
1146.00	14569.00
1147.00	14633.00
1148.00	13886.00
1149.00	12903.00
1150.00	12928.00
1151.00	12477.00
1152.00	12065.00
1153.00	11833.00
1154.00	11324.00
1155.00	11253.00
1156.00	10865.00
1157.00	10544.00
1158.00	10477.00
1159.00	9995.00
1160.00	9729.00
1161.00	9535.00
1162.00	9518.00
1163.00	9134.00
1164.00	9085.00
1165.00	8935.00
1166.00	8646.00
1167.00	8652.00
1168.00	8358.00
1169.00	8292.00
1170.00	8009.00
1171.00	7918.00
1172.00	7917.00
1173.00	7660.00
1174.00	7781.00
1175.00	7494.00
1176.00	7409.00
1177.00	7326.00
1178.00	7211.00
1179.00	7088.00
1180.00	6936.00
1181.00	7053.00
1182.00	6915.00
1183.00	6819.00
1184.00	6924.00
1185.00	6627.00
1186.00	6785.00
1187.00	6554.00
1188.00	6632.00
1189.00	6475.00
1190.00	6340.00
1191.00	6385.00
1192.00	6295.00
1193.00	6243.00
1194.00	6255.00
1195.00	6049.00
1196.00	6175.00
1197.00	6209.00
1198.00	5893.00
1199.00	5946.00
1200.00	5774.00
1201.00	5891.00
1202.00	5697.00
1203.00	5522.00
1204.00	5786.00
1205.00	5367.00
1206.00	5454.00
1207.00	5412.00
1208.00	5363.00
1209.00	5242.00
1210.00	5338.00
1211.00	5153.00
1212.00	5082.00
1213.00	5047.00
1214.00	4955.00
1215.00	4812.00
1216.00	4885.00
1217.00	4586.00
1218.00	4636.00
1219.00	4566.00
1220.00	4531.00
1221.00	4405.00
1222.00	4436.00
1223.00	4313.00
1224.00	4251.00
1225.00	4112.00
1226.00	3974.00
1227.00	4008.00
1228.00	3794.00
1229.00	3787.00
1230.00	3725.00
1231.00	3852.00
1232.00	3653.00
1233.00	3652.00
1234.00	3523.00
1235.00	3404.00
1236.00	3496.00
1237.00	3418.00
1238.00	3365.00
1239.00	3276.00
1240.00	3112.00
1241.00	3256.00
1242.00	3083.00
1243.00	3053.00
1244.00	3044.00
1245.00	2960.00
1246.00	2983.00
1247.00	2900.00
1248.00	2762.00
1249.00	2869.00
1250.00	2782.00
1251.00	2805.00
1252.00	2748.00
1253.00	2719.00
1254.00	2757.00
1255.00	2755.00
1256.00	2649.00
1257.00	2657.00
1258.00	2575.00
1259.00	2587.00
1260.00	2670.00
1261.00	2635.00
1262.00	2549.00
1263.00	2568.00
1264.00	2546.00
1265.00	2516.00
1266.00	2500.00
1267.00	2588.00
1268.00	2449.00
1269.00	2427.00
1270.00	2427.00
1271.00	2536.00
1272.00	2439.00
1273.00	2501.00
1274.00	2471.00
1275.00	2379.00
1276.00	2469.00
1277.00	2452.00
1278.00	2461.00
1279.00	2454.00
1280.00	2329.00
1281.00	2378.00
1282.00	2449.00
1283.00	2417.00
1284.00	2386.00
1285.00	2435.00
1286.00	2419.00
1287.00	2469.00
1288.00	2435.00
1289.00	2393.00
1290.00	2275.00
1291.00	2276.00
1292.00	2402.00
1293.00	2352.00
1294.00	2260.00
1295.00	2382.00
1296.00	2329.00
1297.00	2500.00
1298.00	2405.00
1299.00	2232.00
1300.00	2261.00
