"CdS32nm_on_SLG_T"
"Wavelength nm."	"T%"
300.00000	17.97903
302.00000	19.06688
304.00000	20.63120
306.00000	22.08022
308.00000	23.43841
310.00000	24.75461
312.00000	25.99912
314.00000	27.15516
316.00000	28.18596
318.00000	29.15961
320.00000	30.05888
322.00000	30.88935
324.00000	31.63848
326.00000	32.34044
328.00000	32.99153
330.00000	33.57188
332.00000	34.11449
334.00000	34.63096
336.00000	35.11002
338.00000	35.52309
340.00000	35.90550
342.00000	36.27039
344.00000	36.63397
346.00000	36.96711
348.00000	37.29450
350.00000	37.58959
352.00000	37.88407
354.00000	38.13211
356.00000	38.38749
358.00000	38.60891
360.00000	38.88643
362.00000	39.10212
364.00000	39.33347
366.00000	39.49639
368.00000	39.72546
370.00000	39.93819
372.00000	40.16831
374.00000	40.36861
376.00000	40.57259
378.00000	40.76176
380.00000	40.97877
382.00000	41.17958
384.00000	41.39532
386.00000	41.58442
388.00000	41.76602
390.00000	41.95221
392.00000	42.14168
394.00000	42.33892
396.00000	42.53186
398.00000	42.70627
400.00000	42.88654
402.00000	43.05268
404.00000	43.24649
406.00000	43.40910
408.00000	43.57899
410.00000	43.72183
412.00000	43.88472
414.00000	44.03988
416.00000	44.20652
418.00000	44.36755
420.00000	44.54142
422.00000	44.70277
424.00000	44.87814
426.00000	45.04107
428.00000	45.19543
430.00000	45.35870
432.00000	45.51529
434.00000	45.68314
436.00000	45.82970
438.00000	45.97922
440.00000	46.12973
442.00000	46.28342
444.00000	46.43607
446.00000	46.59536
448.00000	46.75398
450.00000	46.91353
452.00000	47.06533
454.00000	47.22305
456.00000	47.39114
458.00000	47.55832
460.00000	47.70394
462.00000	47.85916
464.00000	48.00858
466.00000	48.18328
468.00000	48.35135
470.00000	48.52814
472.00000	48.71617
474.00000	48.91638
476.00000	49.13497
478.00000	49.36558
480.00000	49.61618
482.00000	49.88697
484.00000	50.17095
486.00000	50.48229
488.00000	50.83050
490.00000	51.21901
492.00000	51.63322
494.00000	52.06492
496.00000	52.52682
498.00000	53.02112
500.00000	53.55682
502.00000	54.12495
504.00000	54.74061
506.00000	55.37446
508.00000	56.03062
510.00000	56.69230
512.00000	57.38203
514.00000	58.07514
516.00000	58.79338
518.00000	59.49324
520.00000	60.20594
522.00000	60.88672
524.00000	61.54982
526.00000	62.20505
528.00000	62.83467
530.00000	63.48624
532.00000	64.10804
534.00000	64.67642
536.00000	65.18363
538.00000	65.63381
540.00000	66.09828
542.00000	66.54330
544.00000	66.95541
546.00000	67.32784
548.00000	67.67287
550.00000	68.03749
552.00000	68.37127
554.00000	68.69745
556.00000	68.99402
558.00000	69.27328
560.00000	69.53401
562.00000	69.77393
564.00000	70.03929
566.00000	70.26928
568.00000	70.49208
570.00000	70.69648
572.00000	70.92129
574.00000	71.14528
576.00000	71.35560
578.00000	71.55032
580.00000	71.73828
582.00000	71.92061
584.00000	72.09458
586.00000	72.27802
588.00000	72.46681
590.00000	72.64214
592.00000	72.79764
594.00000	72.96030
596.00000	73.11020
598.00000	73.27511
600.00000	73.39583
602.00000	73.56431
604.00000	73.68492
606.00000	73.82684
608.00000	73.93476
610.00000	74.10771
612.00000	74.23425
614.00000	74.37279
616.00000	74.47338
618.00000	74.61021
620.00000	74.76323
622.00000	74.90754
624.00000	75.03086
626.00000	75.15337
628.00000	75.25658
630.00000	75.38102
632.00000	75.45498
634.00000	75.57037
636.00000	75.67693
638.00000	75.79787
640.00000	75.91090
642.00000	76.02913
644.00000	76.14488
646.00000	76.23964
648.00000	76.32816
650.00000	76.41914
652.00000	76.51153
654.00000	76.62420
656.00000	76.72843
658.00000	76.84467
660.00000	76.92398
662.00000	77.00939
664.00000	77.07677
666.00000	77.16144
668.00000	77.24019
670.00000	77.33229
672.00000	77.44002
674.00000	77.53603
676.00000	77.64652
678.00000	77.70278
680.00000	77.75916
682.00000	77.83300
684.00000	77.94578
