Sample name: 	SAMPLE_F
Cell name: 	a3
Cell area [cm²]: 	0.518
Temperature [K]: 	243
Voc (V)= 	0
Jsc (mA/cm²)= 	0
FF (%)= 	0
Eff (%)= 	0
Vmpp (V)= 	0
Jmpp (mA/cm²)= 	0
Pmpp (mW/cm²)= 	0
Rp (Ohmcm²)= 	0
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)

-0.49	-0.2608384
-0.48	-0.2550251
-0.47	-0.2492508
-0.46	-0.2434587
-0.45	-0.2376191
-0.44	-0.2319734
-0.43	-0.2262012
-0.42	-0.2205077
-0.41	-0.2148577
-0.4	-0.2091458
-0.39	-0.2034346
-0.38	-0.1977921
-0.37	-0.1919344
-0.36	-0.186422
-0.35	-0.1807489
-0.34	-0.1752438
-0.33	-0.1695866
-0.32	-0.1641498
-0.31	-0.1586651
-0.3	-0.153213
-0.29	-0.147836
-0.28	-0.1423541
-0.27	-0.1370085
-0.26	-0.131767
-0.25	-0.1263656
-0.24	-0.1210865
-0.23	-0.1158303
-0.22	-0.1105939
-0.21	-0.1053447
-0.2	-0.1001171
-0.19	-0.09485787
-0.18	-0.08971079
-0.17	-0.08459054
-0.16	-0.07942263
-0.15	-0.07437415
-0.14	-0.06930482
-0.13	-0.0642771
-0.12	-0.05920413
-0.11	-0.05422535
-0.1	-0.04924241
-0.09	-0.04426765
-0.08	-0.03932678
-0.07	-0.03439406
-0.06	-0.02946261
-0.05	-0.02456268
-0.04	-0.01964861
-0.03	-0.01476074
-0.02	-0.009851133
-0.01	-0.004952797
0	-3.501442E-05
0.01	0.004902795
0.02	0.009816716
0.03	0.01476295
0.04	0.01971875
0.05	0.0246634
0.06	0.0297182
0.07	0.03475872
0.08	0.03986774
0.09	0.04503651
0.1	0.05025129
0.11	0.05552577
0.12	0.06092569
0.13	0.06633049
0.14	0.07188073
0.15	0.07761361
0.16	0.08336011
0.17	0.08932845
0.18	0.09534199
0.19	0.1015968
0.2	0.1080531
0.21	0.1146421
0.22	0.1215287
0.23	0.1286143
0.24	0.135934
0.25	0.1435844
0.26	0.1513342
0.27	0.1594986
0.28	0.1681212
0.29	0.1768856
0.3	0.1860991
0.31	0.1955307
0.32	0.2049193
0.33	0.2150232
0.34	0.2255286
0.35	0.2364668
0.36	0.247683
0.37	0.2593504
0.38	0.2713425
0.39	0.2838755
0.4	0.2967042
0.41	0.3100075
0.42	0.3238367
0.43	0.3382187
0.44	0.3531338
0.45	0.3687296
0.46	0.385151
0.47	0.4023633
0.48	0.4204541
0.49	0.4398264
0.5	0.4604436
0.51	0.4827747
0.52	0.5072852
0.53	0.5342647
0.54	0.5644591
0.55	0.5989979
0.56	0.6386049
0.57	0.6851159
0.58	0.7404033
0.59	0.8077431
0.6	0.8905455
0.61	0.9934766
0.62	1.124769
0.63	1.292466
0.64	1.510671
0.65	1.795394
0.66	2.154598
0.67	2.65105
0.68	3.303554
0.69	4.171618
0.7	5.318287
0.71	6.830686
0.72	8.823035
0.73	11.40182
0.74	14.72102
0.75	18.95237
0.76	24.18042
0.77	30.69039
0.78	38.56687
0.79	47.97581
0.8	59.07903
0.81	71.95284
0.82	86.78352
0.83	103.5388
0.84	122.3437
0.85	143.2258
0.86	166.2406
0.87	191.6609
0.88	223.9409
0.89	252.7284
0.9	285.9544
0.91	288.9851
0.92	288.9865
0.93	288.9921
0.94	288.9956
0.95	288.9979
0.96	288.9871
0.97	288.9954
0.98	288.9971
0.99	288.9936
1	289.0004
1.01	289.0035
1.02	289.011
1.03	289.0085
1.04	289.0183
1.05	289.0226
1.06	288.9633
1.07	288.9724
