Sample name: 	SAMPLE_F
Cell name: 	a3
Cell area [cm²]: 	0.518
Temperature= 	303
Voc (V)= 	0.6359
Jsc (mA/cm²)= 	32.53
FF (%)= 	70.38
Eff (%)= 	14.56
Vmpp (V)= 	0.52
Jmpp (mA/cm²)= 	28
Pmpp (mW/cm²)= 	14.56
Rp (Ohmcm²)= 	720.9
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)
-0.5	-33.21045
-0.48	-33.18583
-0.46	-33.16154
-0.44	-33.13485
-0.42	-33.11145
-0.4	-33.08527
-0.38	-33.05448
-0.36	-33.02766
-0.34	-32.99855
-0.32	-32.96851
-0.3	-32.94332
-0.28	-32.91112
-0.26	-32.88237
-0.24	-32.85214
-0.22	-32.82259
-0.2	-32.79722
-0.18	-32.76782
-0.16	-32.74041
-0.14	-32.7127
-0.12	-32.68392
-0.1	-32.6545
-0.08	-32.62421
-0.06	-32.59344
-0.04	-32.56324
-0.02	-32.53054
0	-32.49959
0.02	-32.46776
0.04	-32.43106
0.06	-32.39626
0.08	-32.35583
0.1	-32.31521
0.12	-32.27519
0.14	-32.23072
0.16	-32.18417
0.18	-32.13212
0.2	-32.07353
0.22	-32.01152
0.24	-31.945
0.26	-31.87562
0.28	-31.79826
0.3	-31.71245
0.32	-31.61868
0.34	-31.51349
0.36	-31.3933
0.38	-31.25178
0.4	-31.08253
0.42	-30.87189
0.44	-30.59734
0.46	-30.23268
0.48	-29.73543
0.5	-29.0261
0.52	-27.99988
0.54	-26.47934
0.56	-24.19886
0.58	-20.78724
0.6	-15.73695
0.62	-8.340077
0.64	2.126967
0.66	16.42716
0.68	35.6894
0.7	59.68168
0.72	90.09002
0.74	127.7171
0.76	174.1241
0.78	236.3776
0.8	288.9886
0.82	288.9886
0.84	288.9911
0.86	288.9959
0.88	288.9977
0.9	289.0033
0.92	289.0058
0.94	289.0164
0.96	289.0172
0.98	289.0199
1	289.0222
1.02	289.0238
1.04	289.0311
1.06	289.0318
1.08	289.0394
1.1	289.0392
1.12	289.0483
1.14	289.0515
1.16	289.0515
1.18	289.0473
