subplots_adjust	0.15
fontsize	10.0
title	Tabulated values of the Shockley-Queisser limit for single junction solar cells, Table S1
xlabel	Energy [eV]
ylabel	Quantity
xlim	['', '']
ylim	['', '']
meastype	Graph
[ev]	[nm]	[mA/cm2]	[mA/cm2]	[mA/cm2]	[V]	[V]	[%]	[%]
authors	Sven Ruehle
caption	Detailed balance limit for a single junction solar cell at a cell temperature Tc of 25 °C illuminated by the AM 1.5G spectral irradiance (ASTM G173-03) as a function of the energy band gap Eg and band gap wavelength lambda_g considering radiative emission from the front and rear side of the solar cell as shown in Fig. 2a.
comment	SI, table S1 (no reflector: unfavorable case)
doi	10.1016/j.solener.2016.02.015
label	$\\lambda$g [nm]	Jmax [mA/cm2]	Jsc [mA/cm2]	Jmpp [mA/cm2]	Voc [V]	Vmpp [V]	FF [%]	$\\eta$ [%]
linestyle	none
publication	Solar Energy 130 (2016) 139-147
url	http://dx.doi.org/10.1016/j.solener.2016.02.015
0.31	3999.5	68.98	68.45	53.24	0.125	0.087	54.2	4.64
0.32	3874.5	68.69	68.31	53.93	0.133	0.094	55.6	5.06
0.33	3757.1	68.38	68.1	54.49	0.142	0.101	56.9	5.5
0.34	3646.6	68.06	67.87	54.98	0.15	0.108	58.2	5.93
0.35	3542.4	67.76	67.62	55.41	0.159	0.115	59.4	6.38
0.36	3444.0	67.45	67.35	55.75	0.167	0.122	60.5	6.82
0.37	3350.9	67.25	67.18	56.14	0.176	0.13	61.6	7.28
0.38	3262.7	67.15	67.1	56.56	0.185	0.137	62.6	7.76
0.39	3179.1	67.08	67.05	56.98	0.193	0.145	63.6	8.25
0.4	3099.6	66.95	66.93	57.29	0.202	0.152	64.5	8.73
0.41	3024.0	66.89	66.87	57.64	0.211	0.16	65.4	9.22
0.42	2952.0	66.81	66.8	57.94	0.22	0.168	66.3	9.72
0.43	2883.4	66.77	66.77	58.26	0.229	0.176	67.1	10.23
0.44	2817.8	66.77	66.77	58.56	0.237	0.184	67.8	10.75
0.45	2755.2	66.77	66.77	58.88	0.246	0.192	68.6	11.27
0.46	2695.3	66.77	66.77	59.15	0.255	0.2	69.2	11.8
0.47	2638.0	66.77	66.77	59.42	0.264	0.208	69.9	12.33
0.48	2583.0	66.77	66.77	59.66	0.273	0.216	70.5	12.86
0.49	2530.3	66.77	66.77	59.89	0.282	0.224	71.1	13.4
0.5	2479.7	66.75	66.74	60.08	0.291	0.232	71.7	13.94
0.51	2431.1	66.52	66.52	60.1	0.3	0.24	72.3	14.43
0.52	2384.3	66.2	66.2	59.99	0.309	0.248	72.8	14.89
0.53	2339.3	65.83	65.82	59.83	0.318	0.256	73.3	15.34
0.54	2296.0	65.36	65.36	59.57	0.327	0.265	73.8	15.76
0.55	2254.3	64.86	64.86	59.28	0.336	0.273	74.2	16.17
0.56	2214.0	64.32	64.32	58.94	0.345	0.281	74.7	16.56
0.57	2175.2	63.79	63.79	58.59	0.354	0.289	75.1	16.94
0.58	2137.7	63.24	63.24	58.22	0.363	0.298	75.5	17.32
0.59	2101.4	62.69	62.69	57.83	0.372	0.306	75.9	17.68
