Source	https://xdb.lbl.gov/Section1/Table_1-3.pdf
Caption	X-Ray Data Booklet Table 1-3. Photon energies and relative intensities of K-, L-, and M-shell lines shown in Fig. 1-1, arranged by increasing energy. An intensity of 100 is assigned to the strongest line in each shell for each element.
Energy (eV)	Z	Element	Line	Relative intensity
54.3	3	Li	Ka1,2	150
108.5	4	Be	Ka1,2	150
183.3	5	B	Ka1,2	151
277	6	C	Ka1,2	147
348.3	21	Sc	Ll	21
392.4	7	N	Ka1,2	150
395.3	22	Ti	Ll	46
395.4	21	Sc	La1,2	111
399.6	21	Sc	Lb1	77
446.5	23	V	Ll	28
452.2	22	Ti	La1,2	111
458.4	22	Ti	Lb1	79
500.3	24	Cr	Ll	17
511.3	23	V	La1,2	111
519.2	23	V	Lb1	80
524.9	8	O	Ka1,2	151
556.3	25	Mn	Ll	15
572.8	24	Cr	La1,2	111
582.8	24	Cr	Lb1	79
615.2	26	Fe	Ll	10
637.4	25	Mn	La1,2	111
648.8	25	Mn	Lb1	77
676.8	9	F	Ka1,2	148
677.8	27	Co	Ll	10
705	26	Fe	La1,2	111
718.5	26	Fe	Lb1	66
742.7	28	Ni	Ll	9
776.2	27	Co	La1,2	111
791.4	27	Co	Lb1	76
811.1	29	Cu	Ll	8
833	57	La	Ma1	100
848.6	10	Ne	Ka1,2	150
851.5	28	Ni	La1,2	111
868.8	28	Ni	Lb1	68
883	58	Ce	Ma1	100
884	30	Zn	Ll	7
929.2	59	Pr	Ma1	100
929.7	29	Cu	La1,2	111
949.8	29	Cu	Lb1	65
957.2	31	Ga	Ll	7
978	60	Nd	Ma1	100
1011.7	30	Zn	La1,2	111
1034.7	30	Zn	Lb1	65
1036.2	32	Ge	Ll	6
1041	11	Na	Ka1,2	150
1081	62	Sm	Ma1	100
1097.9	31	Ga	La1,2	111
1120	33	As	Ll	6
1124.8	31	Ga	Lb1	66
1131	63	Eu	Ma1	100
1185	64	Gd	Ma1	100
1188	32	Ge	La1,2	111
1204.4	34	Se	Ll	6
1218.5	32	Ge	Lb1	60
1240	65	Tb	Ma1	100
1253.6	12	Mg	Ka1,2	150
1282	33	As	La1,2	111
1293	66	Dy	Ma1	100
1293.5	35	Br	Ll	5
1317	33	As	Lb1	60
1348	67	Ho	Ma1	100
1379.1	34	Se	La1,2	111
1386	36	Kr	Ll	5
1406	68	Er	Ma1	100
1419.2	34	Se	Lb1	59
1462	69	Tm	Ma1	100
1480.4	35	Br	La1,2	111
1482.4	37	Rb	Ll	5
1486.3	13	Al	Ka2	50
1486.7	13	Al	Ka1	100
1521.4	70	Yb	Ma1	100
1525.9	35	Br	Lb1	59
1557.4	13	Al	Kb1	1
1581.3	71	Lu	Ma1	100
1582.2	38	Sr	Ll	5
1586	36	Kr	La1,2	111
1636.6	36	Kr	Lb1	57
1644.6	72	Hf	Ma1	100
1685.4	39	Y	Ll	5
1692.6	37	Rb	La2	11
1694.1	37	Rb	La1	100
1709.6	73	Ta	Ma1	100
1739.4	14	Si	Ka2	50
1740	14	Si	Ka1	100
1752.2	37	Rb	Lb1	58
1775.4	74	W	Ma1	100
1792	40	Zr	Ll	5
1804.7	38	Sr	La2	11
1806.6	38	Sr	La1	100
1835.9	14	Si	Kb1	2
1842.5	75	Re	Ma1	100
1871.7	38	Sr	Lb1	58
1902.2	41	Nb	Ll	5
1910.2	76	Os	Ma1	100
1920.5	39	Y	La2	11
1922.6	39	Y	La1	100
1979.9	77	Ir	Ma1	100
1995.8	39	Y	Lb1	57
2012.7	15	P	Ka2	50
2013.7	15	P	Ka1	100
2015.7	42	Mo	Ll	5
2039.9	40	Zr	La2	11
2042.4	40	Zr	La1	100
2050.5	78	Pt	Ma1	100
2122	43	Tc	Ll	5
2122.9	79	Au	Ma1	100
2124.4	40	Zr	Lb1	54
2139.1	15	P	Kb1	3
2163	41	Nb	La2	11
2165.9	41	Nb	La1	100
2195.3	80	Hg	Ma1	100
2219.4	40	Zr	Lb2,15	1
2252.8	44	Ru	Ll	4
2257.4	41	Nb	Lb1	52
2270.6	81	Tl	Ma1	100
