comment0	Data must be within [0,1] and NOT in %.
comment1	Feel free to add the reflectance and transmittance spectra of your substrates. Set labels as '<substrate> R' and '<substrate> T'
ylabel	Transmittance, Reflectance [%]
xlabel	Wavelength [nm]
_spectrumguidark	True	True
_spectrumguioffset	True	True
_spectrumsubclass	CurveSpectrumReflectance	CurveSpectrumTransmittance
curve	Curve Spectrum	Curve Spectrum
label	SLG R	SLG T
nm	Reflectance [ ]	Transmittance [ ]
200.0	0.1351735	0.012078
202.0	0.127294634	0.0110038
204.0	0.117565556	0.0094311
206.0	0.109434264	0.0084258
208.0	0.101518788	0.0075117
210.0	0.094570963	0.0069039
212.0	0.088722319	0.0063126
214.0	0.083635035	0.0057918
216.0	0.079334028	0.0054315
218.0	0.075696327	0.0051482
220.0	0.073243544	0.004934852
222.0	0.071305321	0.004679467
224.0	0.069337176	0.004418644
226.0	0.067521749	0.004184713
228.0	0.065796782	0.003968837
230.0	0.064255236	0.003752274
232.0	0.062874158	0.00352625
234.0	0.061426898	0.003306782
236.0	0.060135995	0.003078474
238.0	0.058837514	0.002893711
240.0	0.057688241	0.002719046
242.0	0.056194597	0.002619013
244.0	0.05492872	0.00258322
246.0	0.053639193	0.00262763
248.0	0.052623972	0.002794948
250.0	0.051692864	0.00314807
252.0	0.051182459	0.003721927
254.0	0.050686316	0.004638307
256.0	0.050391346	0.005953402
258.0	0.050161256	0.007836068
260.0	0.049963185	0.010357175
262.0	0.049775832	0.013747093
264.0	0.049581497	0.018356068
266.0	0.049331527	0.024485217
268.0	0.049207184	0.032609224
270.0	0.049107664	0.042956435
272.0	0.049022597	0.056039453
274.0	0.048892466	0.072192555
276.0	0.048891125	0.091730774
278.0	0.049041681	0.114894636
280.0	0.04930427	0.141696345
282.0	0.049714117	0.172455215
284.0	0.050146748	0.206677647
286.0	0.050780884	0.244091976
288.0	0.05153468	0.283640312
290.0	0.052629085	0.325148866
292.0	0.053980894	0.367865326
294.0	0.055554207	0.410975466
296.0	0.05728022	0.453617617
298.0	0.059084714	0.495427071
300.0	0.061398227	0.53996276
302.0	0.063636915	0.582049072
304.0	0.065994445	0.622497783
306.0	0.067992935	0.656545962
308.0	0.069990971	0.688516777
310.0	0.071776659	0.716746305
312.0	0.07335973	0.741713044
314.0	0.074891968	0.764086608
316.0	0.076257062	0.783834542
318.0	0.077468358	0.801974314
320.0	0.078607736	0.818063837
322.0	0.079623774	0.832325198
324.0	0.080535706	0.843996156
326.0	0.081261819	0.854143823
328.0	0.081958759	0.862988351
330.0	0.082469498	0.870808576
332.0	0.082905325	0.877557309
334.0	0.083191308	0.883697001
336.0	0.083598181	0.888704885
338.0	0.083813976	0.892698067
340.0	0.084059049	0.895815806
342.0	0.084159811	0.899088445
344.0	0.084202312	0.901600461
346.0	0.084237131	0.903752527
348.0	0.084265086	0.905200088
350.0	0.084308474	0.906868297
352.0	0.084302214	0.908040719
354.0	0.084260282	0.909433611
356.0	0.084303254	0.910195752
358.0	0.084202134	0.91106852
360.0	0.084121338	0.911664993
362.0	0.084043918	0.91212478
364.0	0.08408314	0.912491775
366.0	0.084076669	0.912668865
368.0	0.084082455	0.913119116
370.0	0.084065203	0.913067478
372.0	0.083979527	0.912959704
374.0	0.08385995	0.912867236
376.0	0.083806579	0.912930036
378.0	0.083788623	0.913071345
380.0	0.083761787	0.913232063
382.0	0.083691758	0.913723034
384.0	0.083596426	0.914113113
386.0	0.083600542	0.914267263
388.0	0.083602472	0.914553208
390.0	0.083669835	0.914685736
392.0	0.083650841	0.915229669
394.0	0.083633711	0.915197745
396.0	0.083561239	0.915515753
398.0	0.083485405	0.91587407
400.0	0.083382673	0.916365573
402.0	0.083275242	0.916566261
404.0	0.083169549	0.91642099
406.0	0.083114606	0.91626879
408.0	0.083117639	0.91635089
410.0	0.083056527	0.916337261
412.0	0.083036261	0.916454892
414.0	0.082989947	0.916116462
416.0	0.083014559	0.916334397
418.0	0.08298448	0.916420953
420.0	0.082931249	0.916648058
422.0	0.082938846	0.916388831
424.0	0.082951189	0.916378744
426.0	0.082986753	0.9164346
428.0	0.082907	0.91665952
430.0	0.082895043	0.916760952
432.0	0.082862344	0.916753619
434.0	0.082880957	0.916600694
436.0	0.082779205	0.916602589
438.0	0.08273292	0.91672678
440.0	0.08268681	0.916977976
442.0	0.082725244	0.916816871
444.0	0.082671161	0.917022228
446.0	0.08263761	0.917132675
448.0	0.082534937	0.91736623
450.0	0.082539875	0.917085084
452.0	0.08248207	0.916953359
454.0	0.082434486	0.916962754
456.0	0.082320537	0.917224162
458.0	0.082232252	0.917342943
460.0	0.082147519	0.917466687
462.0	0.082127384	0.917542412
464.0	0.082041206	0.917601987
466.0	0.082012364	0.917639418
468.0	0.081962392	0.917536053
470.0	0.082044185	0.917543267
472.0	0.082097031	0.91762047
474.0	0.08217444	0.917649355
476.0	0.082229537	0.917697765
478.0	0.082263821	0.917768328
480.0	0.082275225	0.917936483
482.0	0.082299459	0.917974141
484.0	0.082373614	0.917917262
486.0	0.082424107	0.917920684
488.0	0.082470076	0.917906539
490.0	0.082511737	0.918083039
492.0	0.082551065	0.918243824
494.0	0.082563614	0.91858813
496.0	0.082564085	0.918555997
498.0	0.082564949	0.918519086
500.0	0.083188283	0.918543223
502.0	0.083117453	0.918632727
504.0	0.083091316	0.918629921
506.0	0.083072202	0.918273885
508.0	0.083087061	0.918169542
510.0	0.083074777	0.918152268
512.0	0.083032935	0.918330467
514.0	0.082973871	0.918518858
516.0	0.082985238	0.918500462
518.0	0.083002425	0.918612143
520.0	0.083026581	0.918611615
522.0	0.08298403	0.918889862
524.0	0.082958551	0.918853227
526.0	0.082941377	0.918864225
528.0	0.08289804	0.918664421
530.0	0.08288087	0.918585466
532.0	0.082851692	0.918469061
534.0	0.082998178	0.91844589
536.0	0.082932152	0.918358878
538.0	0.082886291	0.918519791
540.0	0.082866463	0.91874565
542.0	0.082791023	0.919102004
544.0	0.082698808	0.919248513
546.0	0.082663583	0.91913221
548.0	0.082642587	0.91906325
550.0	0.082623626	0.918913404
552.0	0.08246442	0.919033224
554.0	0.082334172	0.919056616
556.0	0.08219287	0.91918484
558.0	0.082076819	0.919035961
560.0	0.082008324	0.919169039
562.0	0.081942584	0.919196969
564.0	0.081853611	0.919426306
566.0	0.08168269	0.919056278
568.0	0.081627403	0.918864365
570.0	0.081595682	0.918717639
572.0	0.081600459	0.919027785
574.0	0.081522216	0.919014116
576.0	0.081484146	0.918937838
578.0	0.081423448	0.918887311
580.0	0.081401283	0.919154858
582.0	0.081400842	0.919475695
584.0	0.081474477	0.919435527
586.0	0.081515187	0.9192198
588.0	0.081507327	0.91897558
590.0	0.081521425	0.918698141
592.0	0.081523819	0.918704838
594.0	0.081569375	0.918596998
596.0	0.081560614	0.918792364
598.0	0.081546258	0.918920683
600.0	0.081567942	0.919091105
602.0	0.081582188	0.919180456
604.0	0.081643217	0.918842235
606.0	0.081617904	0.918913634
608.0	0.081615021	0.918934464
610.0	0.081655562	0.919126973
612.0	0.081651413	0.91902753
614.0	0.081678539	0.919012999
616.0	0.081613409	0.919159134
618.0	0.081660009	0.919090781
620.0	0.08163745	0.918861055
622.0	0.081670697	0.918688683
624.0	0.081715539	0.918649103
626.0	0.081767947	0.918603389
628.0	0.081745557	0.918530275
630.0	0.08167677	0.918443711
632.0	0.081651917	0.918707689
634.0	0.081645646	0.918678628
636.0	0.081708349	0.918728172
638.0	0.081754941	0.918610613
640.0	0.08176302	0.918693904
