Sample name: 	SAMPLE
Cell name: 	f1
Cell Area (cm²) 	0.57
Oscillation Level [V]: 	0.030
Temperature [K]: 	133
Step Delay [sec]: 	1
ALC: 	ON
Cable Correction: 	ON
Bias: 	OFF
# of Averaging points: 	2

Frequency [Hz]	C [nF]	Temperature [K]	Rp [Ohm]

200	25.01198	133.2	368425
239	25.03699	133.3	374679.2
278	25.05576	133.3	304045.4
317	24.97491	133.3	314090.8
356	24.93119	133.3	298986
394	24.92363	133.3	292882.4
433	24.91201	133.3	281623.9
472	24.94049	133.3	280023.6
511	24.87703	133.3	260051.4
550	24.9039	133.3	251532.1
589	24.87144	133.3	231668.7
628	24.87407	133.3	227416.9
667	24.8477	133.3	215600.5
706	24.82282	133.3	209563.2
744	24.81363	133.3	204434.2
783	24.77864	133.3	189958.5
822	24.79151	133.3	184670.9
861	24.79343	133.3	174068.7
1000	24.75815	133.3	157897.5
1421	24.66092	133.3	104775.1
1842	24.57905	133.3	74082.07
2263	24.49717	133.3	55800.73
2684	24.41636	133.3	43278.56
3105	24.34311	133.3	34725.54
3526	24.27175	133.3	28325.71
3947	24.2025	133.3	23706.83
4368	24.13951	133.3	20145.01
4789	24.06344	133.3	17339.24
5211	23.9907	133.3	15051.4
5632	23.91342	133.3	13228.1
6053	23.83738	133.3	11717.87
6474	23.76291	133.3	10483.84
6895	23.69172	133.3	9465.314
7316	23.62008	133.3	8591.575
7737	23.54396	133.3	7833.67
8158	23.4704	133.4	7171.131
8579	23.38883	133.4	6593.16
9000	23.3039	133.3	6081.527
10000	23.1088	133.3	5113.723
14210	22.29281	133.3	2944.473
18420	21.49049	133.3	2017.498
22630	20.7228	133.3	1530.599
26840	20.0095	133.3	1240.97
31050	19.36136	133.3	1053.96
35260	18.79255	133.2	925.1711
39470	18.30246	133.2	831.5925
43680	17.86809	133.2	761.1636
47890	17.483	133.1	706.4161
52110	17.15076	133	662.0455
56320	16.86547	133	625.1285
60530	16.61685	133	593.8052
64740	16.40614	133	566.0394
68950	16.2247	133	541.1376
73160	16.0551	133	519.5539
77370	15.89795	133	500.4959
81580	15.75635	132.9	483.1699
85790	15.62907	132.9	467.1462
90000	15.52063	132.9	451.5823
100000	15.29393	132.9	418.9858
142100	14.64336	132.9	320.588
184200	14.23133	132.9	255.0647
226300	13.91319	132.9	208.1969
268400	13.64078	132.9	173.5105
310500	13.39425	132.8	147.2371
352600	13.16527	132.8	126.8879
394700	12.95247	132.8	110.7831
436800	12.74998	132.9	97.8885
478900	12.5534	132.9	87.40398
521100	12.3612	132.9	78.74341
563200	12.1764	132.9	71.51629
605300	11.99739	132.9	65.40177
647400	11.82609	132.9	60.16688
689500	11.66297	133	55.64622
731600	11.50466	133.1	51.71751
773700	11.34817	133.1	48.28578
815800	11.19409	133.2	45.26061
857900	11.04093	133.2	42.58463
900000	10.89102	133.2	40.2078
1000000	10.53239	133.2	35.6376
1250000	9.793945	133.1	27.37386
1500000	9.125665	133.1	22.34416
1750000	8.526661	133.1	18.9716
2000000	7.982593	133.1	16.55285
