"Time";"Temperature [°C]";"Illumination [mV]";"Humidity [%RH]"
01:22:30:10;82.97;5.773;0.206
"V [mV]";"J [mA/cm^2]"
-300;-42.7978516666667
-288;-42.7917481666667
-276;-42.7185058333333
-264;-42.7307128333333
-252;-42.6940918333333
-240;-42.6208496666667
-228;-42.6635741666667
-216;-42.5842285
-204;-42.5354005
-192;-42.5598145
-180;-42.5231935
-168;-42.4316406666667
-156;-42.3828125
-144;-42.3400878333333
-132;-42.3095701666667
-120;-42.1752928333333
-108;-42.1813965
-96;-42.1081541666667
-84;-41.9799803333333
-72;-41.8762206666667
-60;-41.7358398333333
-48;-41.607666
-36;-41.3574218333333
-24;-41.1743163333333
-12;-40.8691406666667
0;-40.5151366666667
12;-40.1306151666667
24;-39.5690918333333
36;-39.074707
48;-38.482666
60;-37.5976563333333
72;-36.6760253333333
84;-35.6689453333333
96;-34.5458983333333
108;-33.26416015
120;-31.7443847666667
132;-30.1513671833333
144;-28.4240722666667
156;-26.5869140666667
168;-24.54833985
180;-22.63793945
192;-20.4345703166667
204;-18.2067871166667
216;-16.1987304666667
228;-14.23950195
240;-12.3168945333333
252;-10.6567382833333
264;-8.94165038333333
276;-7.421875
288;-6.2133789
300;-5.2307129
312;-4.31518555
324;-3.58886718333333
336;-2.935791015
348;-2.42919922
360;-2.03857422
372;-1.68457031166667
384;-1.45263671833333
396;-1.19628906333333
408;-0.970458985
420;-0.909423828333333
432;-0.738525391666667
444;-0.604248046666667
456;-0.512695313333333
468;-0.451660155
480;-0.396728516666667
492;-0.360107421666667
504;-0.29296875
516;-0.29296875
528;-0.244140625
540;-0.244140625
552;-0.213623046833333
564;-0.1708984375
576;-0.158691406333333
588;-0.109863281333333
600;-0.0183105469166667
612;-0.0183105468666667
624;0.0244140625
636;0.0976562499666667
648;0.152587890666667
660;0.146484375
672;0.170898437666667
684;0.244140625
696;0.329589843666667
708;0.329589844666667
720;0.421142578333333
732;0.463867188333333
744;0.622558593333333
756;0.68359375
768;0.842285155
780;0.98876953
792;1.14746093833333
804;1.275634765
816;1.5625
828;1.83715820333333
840;2.20336914
852;2.69165039
864;3.26538086
876;4.0222168
888;4.80957031666667
900;5.84716796666667
