"HLS80_500mBarN2"
"Start of Experiment";"User";"Cell No";"Label";"Operation Mode";"Cell Area [cm^2]"
2017-04-04 16:52:37;TF;52;Oct1143;1;0.3
"Measurement No";"Time";"Pmp [mW/cm^2]";"Vmp [mV]";"Jmp [mA/cm^2]";"Voc [mV]";"Jsc [mA/cm^2]";"FF";"Stability";"Temperature [°C]";"Illumination";"Humidity [%]"
1;00:00:00:00;5.177;186;27.835;643.2;41.229;0.195;1;82.778;5.777;0.269
1;00:00:30:01;4.462;169.44;26.333;619.636;40.9;0.176;0.82;82.974;5.773;0.215
2;00:01:00:00;4.41;169.68;25.989;616.615;40.912;0.175;0.81;82.958;5.776;0.218
3;00:01:30:00;4.399;168.48;26.11;646.286;40.82;0.167;0.808;82.988;5.772;0.219
4;00:02:00:00;4.394;168.36;26.098;627;40.814;0.172;0.807;82.917;5.773;0.224
5;00:02:30:01;4.418;167.64;26.357;621.6;40.79;0.174;0.812;82.968;5.775;0.221
6;00:03:00:01;4.401;166.56;26.425;612;40.912;0.176;0.809;83.127;5.771;0.22
7;00:03:30:02;4.473;168.36;26.567;616.615;40.869;0.177;0.822;82.974;5.774;0.22
8;00:04:00:02;4.416;170.76;25.859;618;40.857;0.175;0.811;82.968;5.771;0.215
9;00:04:30:02;4.414;167.76;26.313;615;40.875;0.176;0.811;83.023;5.773;0.219
10;00:05:00:02;4.407;169.2;26.049;630;40.875;0.171;0.81;83.045;5.775;0.218
11;00:05:30:02;4.396;169.92;25.872;616;40.912;0.174;0.808;82.976;5.771;0.216
12;00:06:00:02;4.391;167.52;26.21;617.143;40.79;0.174;0.807;82.965;5.775;0.216
13;00:06:30:02;3.866;158.28;24.424;625.2;36.45;0.17;0.71;82.964;5.776;0.22
14;00:07:00:02;4.449;171.12;25.997;618;40.875;0.176;0.818;82.972;5.771;0.219
15;00:07:30:02;4.765;177.96;26.776;624;41.107;0.186;0.876;83.031;5.771;0.224
16;00:08:00:01;4.429;168.96;26.212;621.818;40.961;0.174;0.814;82.994;5.775;0.214
17;00:08:30:02;4.503;173.88;25.898;599.333;40.906;0.184;0.827;82.966;5.777;0.217
18;00:09:00:02;4.395;168.72;26.049;588;40.863;0.183;0.808;82.959;5.776;0.215
19;00:09:30:01;4.353;165.36;26.323;610;40.875;0.175;0.8;82.96;5.774;0.213
20;00:10:00:02;4.366;167.28;26.101;651;40.863;0.164;0.802;82.958;5.775;0.216
21;00:10:30:02;4.357;166.92;26.103;618;40.857;0.173;0.801;83.025;5.777;0.215
22;00:11:00:01;4.334;163.44;26.516;624;40.863;0.17;0.796;82.915;5.775;0.212
23;00:11:30:03;4.353;166.92;26.079;612;40.833;0.174;0.8;82.977;5.775;0.215
24;00:12:00:01;4.328;165.72;26.117;620.667;40.845;0.171;0.795;82.926;5.777;0.212
25;00:12:30:01;4.321;164.88;26.21;625.6;40.863;0.169;0.794;82.975;5.773;0.212
26;00:13:00:03;4.345;161.28;26.94;648;40.735;0.165;0.798;82.965;5.774;0.209
27;00:13:30:02;4.313;166.2;25.948;619.2;40.723;0.171;0.793;82.973;5.775;0.208
28;00:14:00:03;4.33;166.44;26.013;637.5;40.771;0.167;0.796;82.967;5.774;0.212
29;00:14:30:03;4.301;164.64;26.121;636;40.784;0.166;0.79;83.041;5.773;0.212
30;00:15:00:03;4.325;167.76;25.782;608.471;40.814;0.174;0.795;82.972;5.777;0.208
31;00:15:30:02;4.287;163.68;26.193;576;40.778;0.183;0.788;82.966;5.776;0.209
32;00:16:00:02;4.274;162.84;26.245;613.636;40.692;0.171;0.785;83.024;5.773;0.207
33;00:16:30:04;4.292;165.84;25.88;624.667;40.802;0.168;0.789;82.89;5.773;0.207
34;00:17:00:04;4.295;161.88;26.534;624;40.784;0.169;0.789;82.982;5.776;0.205
35;00:17:30:04;4.286;165.48;25.901;618;40.82;0.17;0.788;82.963;5.773;0.209
36;00:18:00:04;4.284;165;25.964;696;40.778;0.151;0.787;82.988;5.773;0.208
37;00:18:30:04;4.281;164.4;26.038;612;40.802;0.171;0.787;82.901;5.773;0.208
38;00:19:00:04;4.283;161.76;26.478;633;40.717;0.166;0.787;82.971;5.774;0.206
39;00:19:30:04;4.268;163.68;26.077;625.143;40.765;0.167;0.784;82.949;5.772;0.205
40;00:20:00:04;4.272;160.8;26.565;622.5;40.753;0.168;0.785;83.01;5.772;0.204
41;00:20:30:04;4.251;162.84;26.108;582;40.741;0.179;0.781;82.893;5.774;0.205
42;00:21:00:04;4.236;162.36;26.089;620.727;40.735;0.168;0.778;82.974;5.771;0.205
43;00:21:30:04;4.246;161.76;26.248;596.571;40.747;0.175;0.78;83.043;5.772;0.206
44;00:22:00:04;4.235;159.6;26.535;640.5;40.723;0.162;0.778;82.92;5.774;0.206
45;00:22:30:05;4.217;163.44;25.802;621.6;40.704;0.167;0.775;82.931;5.772;0.207
46;00:23:00:04;4.198;164.52;25.519;631.2;40.649;0.164;0.771;82.938;5.772;0.208
47;00:23:30:05;4.217;162.84;25.898;603.273;40.643;0.172;0.775;82.976;5.77;0.207
48;01:00:00:03;4.178;161.76;25.826;597;40.619;0.172;0.768;83;5.773;0.207
49;01:00:30:03;4.168;163.56;25.483;612;40.619;0.168;0.766;82.972;5.77;0.207
50;01:01:00:04;4.169;159.84;26.085;626.667;40.674;0.164;0.766;82.968;5.774;0.207
51;01:01:30:04;4.176;162.72;25.665;619.2;40.717;0.166;0.767;82.966;5.776;0.206
52;01:02:00:04;4.174;160.08;26.071;624;40.662;0.165;0.767;82.977;5.769;0.204
53;01:02:30:05;4.184;161.88;25.845;621.6;40.662;0.166;0.769;82.96;5.774;0.204
54;01:03:00:05;4.459;172.2;25.896;613.846;40.814;0.178;0.819;83.005;5.775;0.215
55;01:03:30:05;4.523;171.24;26.413;611;40.936;0.181;0.831;83.014;5.772;0.213
56;01:04:00:01;4.161;160.44;25.932;583.2;40.637;0.176;0.765;82.976;5.772;0.206
57;01:04:30:05;4.359;167.28;26.058;625.333;40.747;0.171;0.801;83.029;5.772;0.212
58;01:05:00:05;4.257;163.92;25.969;628;40.68;0.167;0.782;82.969;5.773;0.209
59;01:05:30:06;4.179;159.48;26.207;684;40.668;0.15;0.768;82.964;5.774;0.204
60;01:06:00:05;4.188;159.72;26.219;621.231;40.625;0.166;0.77;82.944;5.771;0.209
61;01:06:30:06;4.1;157.8;25.981;611.333;40.472;0.166;0.753;83.001;5.773;0.204
62;01:07:00:06;4.145;159.12;26.049;588;40.582;0.174;0.762;82.967;5.771;0.207
63;01:07:30:06;4.137;157.8;26.218;696;40.649;0.146;0.76;82.971;5.774;0.204
64;01:08:00:06;4.14;160.44;25.805;600;40.582;0.17;0.761;83.018;5.771;0.206
65;01:08:30:07;4.122;158.28;26.043;624;40.613;0.163;0.757;82.962;5.777;0.207
66;01:09:00:07;4.126;158.76;25.986;638.4;40.57;0.159;0.758;82.962;5.775;0.205
67;01:09:30:07;4.128;160.68;25.692;720;40.576;0.141;0.759;82.971;5.773;0.207
68;01:10:00:07;4.288;163.44;26.235;622.286;40.649;0.17;0.788;82.97;5.775;0.208
69;01:10:30:07;4.409;168;26.245;624;40.833;0.173;0.81;82.958;5.775;0.211
70;01:11:00:07;4.45;169.92;26.187;624;40.784;0.175;0.818;82.968;5.775;0.214
71;01:11:30:07;4.45;169.8;26.205;588;40.778;0.186;0.818;82.946;5.773;0.213
72;01:12:00:08;4.761;177.84;26.77;603.692;41.003;0.192;0.875;82.963;5.771;0.218
73;01:12:30:08;4.733;188.88;25.056;625.2;40.723;0.186;0.87;83.03;5.777;0.213
74;01:13:00:08;4.617;174.36;26.48;624;40.9;0.181;0.848;82.896;5.777;0.215
75;01:13:30:08;4.215;159.36;26.447;648;40.704;0.16;0.775;82.972;5.775;0.205
76;01:14:00:08;4.478;169.8;26.375;616;40.845;0.178;0.823;82.968;5.773;0.213
77;01:14:30:08;4.503;172.8;26.06;632;40.802;0.175;0.827;83.069;5.773;0.214
78;01:15:00:08;4.702;175.2;26.838;618.6;40.967;0.186;0.864;82.976;5.775;0.205
79;01:15:30:09;4.446;167.52;26.541;637.5;40.79;0.171;0.817;83.01;5.777;0.212
80;01:16:00:09;4.451;169.68;26.229;597.333;40.771;0.183;0.818;82.96;5.776;0.213
81;01:16:30:09;2.773;161.16;17.208;625.2;34.644;0.128;0.51;82.997;5.776;0.213
82;01:17:00:09;2.74;166.32;16.475;612.857;32.05;0.139;0.503;82.921;5.777;0.211
83;01:17:30:09;4.244;161.52;26.278;624;40.674;0.167;0.78;82.961;5.776;0.207
84;01:18:00:09;4.072;157.92;25.787;624.632;40.527;0.161;0.748;82.963;5.777;0.206
85;01:18:30:09;2.401;168.96;14.213;598.286;28.485;0.141;0.441;83.029;5.774;0.214
86;01:19:00:09;4.713;176.16;26.756;612;40.918;0.188;0.866;82.927;5.772;0.212
87;01:19:30:09;4.537;172.08;26.368;603.429;40.826;0.184;0.834;82.877;5.774;0.215
