SAMPLE_B_3LayerMo_a3__V	SAMPLE_B_3LayerMo_a3__J	SAMPLE_B_3LayerMo_a3__I	SAMPLE_B_3LayerMo_a3__Param	SAMPLE_B_3LayerMo_a3__ParamDescr
-0.3	-32.11563	-18.30591	0.7164	Voc (V)
-0.2798	-32.12486	-18.31117	32.11	Jsc (mA/cm²)
-0.25965	-32.14238	-18.32116	75.22	FF(%)
-0.23945	-32.16674	-18.33504	17.3	Eff (%)
-0.2193	-32.1517	-18.32647	0.57	Cell Area (cm²)
-0.199125	-32.1344	-18.31661	0.5877	Vmpp (V)
-0.178945	-32.12995	-18.31407	29.44	Jmpp (mA/cm²)
-0.15877	-32.14495	-18.32262	17.3	Pmpp (mW/cm²)
-0.138595	-32.13888	-18.31916	-184418.7	Rp (Ohmcm²)
-0.11842	-32.11491	-18.3055	1.62	Rs (Ohmcm²)
-0.098245	-32.10824	-18.3017	03.10.2016 10:08:34	Measurement date and time
-0.07807	-32.10883	-18.30203	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.11156	-18.30359	1	Illumination correction factor
-0.03772	-32.11469	-18.30537		(Cell Comment)
-0.017545	-32.10519	-18.29996		(Global Comment)
0.00263	-32.09642	-18.29496		
0.022805	-32.09191	-18.29239		
0.04298	-32.08309	-18.28736		
0.06316	-32.07142	-18.28071		
0.083335	-32.06602	-18.27763		
0.10351	-32.06597	-18.2776		
0.123685	-32.05939	-18.27385		
0.14386	-32.0604	-18.27443		
0.164035	-32.04263	-18.2643		
0.18421	-32.04832	-18.26754		
0.204385	-32.03607	-18.26056		
0.22455	-32.02004	-18.25142		
0.24475	-32.00984	-18.24561		
0.2649	-32.00033	-18.24019		
0.2851	-31.97688	-18.22682		
0.30525	-31.97086	-18.22339		
0.32545	-31.95262	-18.21299		
0.3456	-31.94228	-18.2071		
0.3658	-31.91967	-18.19421		
0.38595	-31.90126	-18.18372		
0.40615	-31.85447	-18.15705		
0.4263	-31.82709	-18.14144		
0.4465	-31.77339	-18.11083		
0.46665	-31.72221	-18.08166		
0.48685	-31.63081	-18.02956		
0.507	-31.49133	-17.95006		
0.5272	-31.28546	-17.83271		
0.54735	-30.96733	-17.65138		
0.56755	-30.36335	-17.30711		
0.5877	-29.43563	-16.77831		
0.6079	-27.90477	-15.90572		
0.62805	-25.54349	-14.55979		
0.64825	-22.07551	-12.58304		
0.6684	-17.41545	-9.926805		
0.6886	-11.12392	-6.340634		
0.70875	-3.430783	-1.955546		
0.72895	5.666094	3.229674		
0.7491	15.9379	9.084602		
0.7693	27.14363	15.47187		
0.78945	39.10513	22.28992		
0.80965	51.5433	29.37968		
0.8298	64.11879	36.54771		
0.85	76.69626	43.71687		
