SAMPLE_B_3LayerMo_b2__V	SAMPLE_B_3LayerMo_b2__J	SAMPLE_B_3LayerMo_b2__I	SAMPLE_B_3LayerMo_b2__Param	SAMPLE_B_3LayerMo_b2__ParamDescr
-0.3	-33.09519	-18.86426	0.7139	Voc (V)
-0.2798	-33.12991	-18.88405	33.09	Jsc (mA/cm²)
-0.25965	-33.12118	-18.87907	75.57	FF(%)
-0.23945	-33.12653	-18.88212	17.86	Eff (%)
-0.2193	-33.13002	-18.88411	0.57	Cell Area (cm²)
-0.199125	-33.11238	-18.87406	0.5877	Vmpp (V)
-0.178945	-33.10084	-18.86748	30.38	Jmpp (mA/cm²)
-0.15877	-33.09452	-18.86388	17.86	Pmpp (mW/cm²)
-0.138595	-33.11562	-18.8759	3508.6	Rp (Ohmcm²)
-0.11842	-33.10635	-18.87062	1.53	Rs (Ohmcm²)
-0.098245	-33.10121	-18.86769	03.10.2016 10:06:52	Measurement date and time
-0.07807	-33.09972	-18.86684	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-33.09439	-18.8638	1	Illumination correction factor
-0.03772	-33.11589	-18.87606		(Cell Comment)
-0.017545	-33.09275	-18.86287		(Global Comment)
0.00263	-33.07744	-18.85414		
0.022805	-33.07112	-18.85054		
0.04298	-33.06261	-18.84569		
0.06316	-33.07188	-18.85097		
0.083335	-33.0704	-18.85013		
0.10351	-33.04916	-18.83802		
0.123685	-33.04091	-18.83332		
0.14386	-33.04889	-18.83787		
0.164035	-33.03221	-18.82836		
0.18421	-33.01889	-18.82077		
0.204385	-33.02232	-18.82272		
0.22455	-32.99049	-18.80458		
0.24475	-32.9867	-18.80242		
0.2649	-32.97579	-18.7962		
0.2851	-32.95696	-18.78547		
0.30525	-32.95604	-18.78494		
0.32545	-32.9557	-18.78475		
0.3456	-32.93597	-18.7735		
0.3658	-32.91019	-18.75881		
0.38595	-32.89084	-18.74778		
0.40615	-32.87217	-18.73714		
0.4263	-32.8179	-18.7062		
0.4465	-32.76328	-18.67507		
0.46665	-32.70567	-18.64223		
0.48685	-32.62707	-18.59743		
0.507	-32.49181	-18.52033		
0.5272	-32.25863	-18.38742		
0.54735	-31.91614	-18.1922		
0.56755	-31.34856	-17.86868		
0.5877	-30.38159	-17.31751		
0.6079	-28.78834	-16.40935		
0.62805	-26.30297	-14.99269		
0.64825	-22.60042	-12.88224		
0.6684	-17.58154	-10.02148		
0.6886	-10.80774	-6.160411		
0.70875	-2.510189	-1.430808		
0.72895	7.272537	4.145346		
0.7491	18.28261	10.42109		
0.7693	30.2579	17.247		
0.78945	42.98148	24.49944		
0.80965	56.16389	32.01342		
0.8298	69.41821	39.56837		
0.85	82.58105	47.0712		
