SAMPLE_B_3LayerMo_c2__V	SAMPLE_B_3LayerMo_c2__J	SAMPLE_B_3LayerMo_c2__I	SAMPLE_B_3LayerMo_c2__Param	SAMPLE_B_3LayerMo_c2__ParamDescr
-0.3	-31.84723	-18.15292	0.7122	Voc (V)
-0.2798	-31.87488	-18.16868	31.86	Jsc (mA/cm²)
-0.25965	-31.87346	-18.16787	75.76	FF(%)
-0.23945	-31.86767	-18.16457	17.19	Eff (%)
-0.2193	-31.8687	-18.16516	0.57	Cell Area (cm²)
-0.199125	-31.87407	-18.16822	0.5877	Vmpp (V)
-0.178945	-31.8717	-18.16687	29.25	Jmpp (mA/cm²)
-0.15877	-31.86426	-18.16263	17.19	Pmpp (mW/cm²)
-0.138595	-31.87612	-18.16939	19511.9	Rp (Ohmcm²)
-0.11842	-31.87066	-18.16628	1.48	Rs (Ohmcm²)
-0.098245	-31.88193	-18.1727	03.10.2016 10:07:09	Measurement date and time
-0.07807	-31.8607	-18.1606	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-31.85851	-18.15935	1	Illumination correction factor
-0.03772	-31.86142	-18.16101		(Cell Comment)
-0.017545	-31.85774	-18.15891		(Global Comment)
0.00263	-31.84705	-18.15282		
0.022805	-31.8284	-18.14219		
0.04298	-31.83872	-18.14807		
0.06316	-31.8421	-18.15		
0.083335	-31.82726	-18.14154		
0.10351	-31.81326	-18.13356		
0.123685	-31.81393	-18.13394		
0.14386	-31.80607	-18.12946		
0.164035	-31.78118	-18.11527		
0.18421	-31.77886	-18.11395		
0.204385	-31.77837	-18.11367		
0.22455	-31.76877	-18.1082		
0.24475	-31.76989	-18.10884		
0.2649	-31.74547	-18.09492		
0.2851	-31.72784	-18.08487		
0.30525	-31.73307	-18.08785		
0.32545	-31.71262	-18.07619		
0.3456	-31.69225	-18.06458		
0.3658	-31.66207	-18.04738		
0.38595	-31.63839	-18.03388		
0.40615	-31.61012	-18.01777		
0.4263	-31.59138	-18.00709		
0.4465	-31.53398	-17.97437		
0.46665	-31.45544	-17.9296		
0.48685	-31.39231	-17.89362		
0.507	-31.24416	-17.80917		
0.5272	-31.04448	-17.69535		
0.54735	-30.71004	-17.50472		
0.56755	-30.15389	-17.18772		
0.5877	-29.25051	-16.67279		
0.6079	-27.73316	-15.8079		
0.62805	-25.37039	-14.46112		
0.64825	-21.78479	-12.41733		
0.6684	-16.84239	-9.600163		
0.6886	-10.04102	-5.723382		
0.70875	-1.726667	-0.9842003		
0.72895	8.256288	4.706084		
0.7491	19.6371	11.19315		
0.7693	32.17037	18.33711		
0.78945	45.39244	25.87369		
0.80965	59.04983	33.6584		
0.8298	72.74146	41.46263		
0.85	86.22411	49.14774		
