SAMPLE_B_3LayerMo_d2__V	SAMPLE_B_3LayerMo_d2__J	SAMPLE_B_3LayerMo_d2__I	SAMPLE_B_3LayerMo_d2__Param	SAMPLE_B_3LayerMo_d2__ParamDescr
-0.3	-31.78437	-18.11709	0.7125	Voc (V)
-0.2798	-31.80544	-18.1291	31.78	Jsc (mA/cm²)
-0.25965	-31.78549	-18.11773	76.15	FF(%)
-0.23945	-31.79803	-18.12488	17.24	Eff (%)
-0.2193	-31.79498	-18.12314	0.57	Cell Area (cm²)
-0.199125	-31.80291	-18.12766	0.5877	Vmpp (V)
-0.178945	-31.8003	-18.12617	29.34	Jmpp (mA/cm²)
-0.15877	-31.7884	-18.11939	17.24	Pmpp (mW/cm²)
-0.138595	-31.76618	-18.10672	34003.1	Rp (Ohmcm²)
-0.11842	-31.79123	-18.121	1.48	Rs (Ohmcm²)
-0.098245	-31.79402	-18.12259	03.10.2016 10:07:30	Measurement date and time
-0.07807	-31.78362	-18.11666	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-31.77121	-18.10959	1	Illumination correction factor
-0.03772	-31.76546	-18.10631		(Cell Comment)
-0.017545	-31.77768	-18.11328		(Global Comment)
0.00263	-31.77923	-18.11416		
0.022805	-31.76147	-18.10404		
0.04298	-31.77846	-18.11372		
0.06316	-31.75802	-18.10207		
0.083335	-31.76742	-18.10743		
0.10351	-31.75602	-18.10093		
0.123685	-31.73389	-18.08832		
0.14386	-31.72053	-18.0807		
0.164035	-31.73572	-18.08936		
0.18421	-31.71465	-18.07735		
0.204385	-31.69714	-18.06737		
0.22455	-31.69735	-18.06749		
0.24475	-31.69365	-18.06538		
0.2649	-31.69419	-18.06569		
0.2851	-31.67679	-18.05577		
0.30525	-31.65065	-18.04087		
0.32545	-31.64012	-18.03487		
0.3456	-31.6266	-18.02716		
0.3658	-31.5924	-18.00767		
0.38595	-31.58646	-18.00428		
0.40615	-31.55672	-17.98733		
0.4263	-31.52361	-17.96846		
0.4465	-31.48421	-17.946		
0.46665	-31.42514	-17.91233		
0.48685	-31.34998	-17.86949		
0.507	-31.21586	-17.79304		
0.5272	-31.03235	-17.68844		
0.54735	-30.70524	-17.50199		
0.56755	-30.2046	-17.21662		
0.5877	-29.33619	-16.72163		
0.6079	-27.8754	-15.88898		
0.62805	-25.55993	-14.56916		
0.64825	-22.02886	-12.55645		
0.6684	-17.13649	-9.7678		
0.6886	-10.34401	-5.896084		
0.70875	-1.862412	-1.061575		
0.72895	8.268399	4.712987		
0.7491	19.66693	11.21015		
0.7693	32.29797	18.40984		
0.78945	45.5776	25.97923		
0.80965	59.24139	33.76759		
0.8298	72.82474	41.5101		
0.85	86.1137	49.08481		
