SAMPLE_B_3LayerMo_e3__V	SAMPLE_B_3LayerMo_e3__J	SAMPLE_B_3LayerMo_e3__I	SAMPLE_B_3LayerMo_e3__Param	SAMPLE_B_3LayerMo_e3__ParamDescr
-0.3	-32.5841	-18.57294	0.7135	Voc (V)
-0.2798	-32.60425	-18.58442	32.56	Jsc (mA/cm²)
-0.25965	-32.61391	-18.58993	76.23	FF(%)
-0.23945	-32.61993	-18.59336	17.71	Eff (%)
-0.2193	-32.61812	-18.59233	0.57	Cell Area (cm²)
-0.199125	-32.61312	-18.58948	0.5877	Vmpp (V)
-0.178945	-32.61039	-18.58792	30.14	Jmpp (mA/cm²)
-0.15877	-32.6087	-18.58696	17.71	Pmpp (mW/cm²)
-0.138595	-32.60465	-18.58465	1123646	Rp (Ohmcm²)
-0.11842	-32.5873	-18.57476	1.39	Rs (Ohmcm²)
-0.098245	-32.61198	-18.58883	03.10.2016 10:09:52	Measurement date and time
-0.07807	-32.59943	-18.58168	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.59593	-18.57968	1	Illumination correction factor
-0.03772	-32.58295	-18.57228		(Cell Comment)
-0.017545	-32.56279	-18.56079		(Global Comment)
0.00263	-32.56149	-18.56005		
0.022805	-32.56398	-18.56147		
0.04298	-32.58914	-18.57581		
0.06316	-32.56667	-18.563		
0.083335	-32.54419	-18.55019		
0.10351	-32.56174	-18.56019		
0.123685	-32.56312	-18.56098		
0.14386	-32.53198	-18.54323		
0.164035	-32.51367	-18.53279		
0.18421	-32.53151	-18.54296		
0.204385	-32.52612	-18.53989		
0.22455	-32.50489	-18.52779		
0.24475	-32.47444	-18.51043		
0.2649	-32.46344	-18.50416		
0.2851	-32.46433	-18.50467		
0.30525	-32.45047	-18.49677		
0.32545	-32.44807	-18.4954		
0.3456	-32.40921	-18.47325		
0.3658	-32.40365	-18.47008		
0.38595	-32.38558	-18.45978		
0.40615	-32.36268	-18.44673		
0.4263	-32.3301	-18.42816		
0.4465	-32.27558	-18.39708		
0.46665	-32.23319	-18.37292		
0.48685	-32.14972	-18.32534		
0.507	-32.022	-18.25254		
0.5272	-31.81128	-18.13243		
0.54735	-31.48886	-17.94865		
0.56755	-30.97606	-17.65635		
0.5877	-30.13565	-17.17732		
0.6079	-28.70393	-16.36124		
0.62805	-26.41791	-15.05821		
0.64825	-22.94649	-13.0795		
0.6684	-17.91007	-10.20874		
0.6886	-11.2436	-6.408854		
0.70875	-2.49262	-1.420793		
0.72895	8.03191	4.578188		
0.7491	19.98856	11.39348		
0.7693	33.35651	19.01321		
0.78945	47.48037	27.06381		
0.80965	62.04553	35.36595		
0.8298	76.57737	43.6491		
0.85	90.71965	51.7102		
