SAMPLE_B_3LayerMo_f3__V	SAMPLE_B_3LayerMo_f3__J	SAMPLE_B_3LayerMo_f3__I	SAMPLE_B_3LayerMo_f3__Param	SAMPLE_B_3LayerMo_f3__ParamDescr
-0.3	-31.55983	-17.9891	0.714	Voc (V)
-0.2798	-31.58823	-18.00529	31.57	Jsc (mA/cm²)
-0.25965	-31.59412	-18.00865	76.4	FF(%)
-0.23945	-31.58291	-18.00226	17.22	Eff (%)
-0.2193	-31.58742	-18.00483	0.57	Cell Area (cm²)
-0.199125	-31.59358	-18.00834	0.5877	Vmpp (V)
-0.178945	-31.59802	-18.01087	29.31	Jmpp (mA/cm²)
-0.15877	-31.59054	-18.00661	17.22	Pmpp (mW/cm²)
-0.138595	-31.58361	-18.00266	-22240.3	Rp (Ohmcm²)
-0.11842	-31.57947	-18.0003	1.39	Rs (Ohmcm²)
-0.098245	-31.57977	-18.00047	03.10.2016 10:10:10	Measurement date and time
-0.07807	-31.5963	-18.00989	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-31.57898	-18.00002	1	Illumination correction factor
-0.03772	-31.56065	-17.98957		(Cell Comment)
-0.017545	-31.57319	-17.99672		(Global Comment)
0.00263	-31.54691	-17.98174		
0.022805	-31.56618	-17.99272		
0.04298	-31.55861	-17.98841		
0.06316	-31.53665	-17.97589		
0.083335	-31.53679	-17.97597		
0.10351	-31.53905	-17.97726		
0.123685	-31.53209	-17.97329		
0.14386	-31.52451	-17.96897		
0.164035	-31.51886	-17.96575		
0.18421	-31.52688	-17.97032		
0.204385	-31.49772	-17.9537		
0.22455	-31.491	-17.94987		
0.24475	-31.48033	-17.94379		
0.2649	-31.47602	-17.94133		
0.2851	-31.4564	-17.93015		
0.30525	-31.45616	-17.93001		
0.32545	-31.45151	-17.92736		
0.3456	-31.44283	-17.92241		
0.3658	-31.40637	-17.90163		
0.38595	-31.38326	-17.88846		
0.40615	-31.3624	-17.87657		
0.4263	-31.35104	-17.87009		
0.4465	-31.31046	-17.84696		
0.46665	-31.23248	-17.80251		
0.48685	-31.14765	-17.75416		
0.507	-31.05044	-17.69875		
0.5272	-30.88107	-17.60221		
0.54735	-30.59049	-17.43658		
0.56755	-30.10391	-17.15923		
0.5877	-29.30612	-16.70449		
0.6079	-27.98761	-15.95294		
0.62805	-25.84947	-14.7342		
0.64825	-22.50405	-12.82731		
0.6684	-17.70097	-10.08955		
0.6886	-11.2511	-6.413126		
0.70875	-2.703409	-1.540943		
0.72895	7.677842	4.37637		
0.7491	19.54174	11.13879		
0.7693	32.86414	18.73256		
0.78945	46.97298	26.7746		
0.80965	61.51346	35.06267		
0.8298	75.98044	43.30885		
0.85	90.02412	51.31375		
