Sample name: SAMPLE_B_5LayerMo
Cell	Voc_V	Jsc_mApcm2	FF_pc	Eff_pc	Area_cm2	Vmpp_V	Jmpp_mApcm2	Pmpp_mWpcm2	Rp_Ohmcm2	Rs_Ohmcm2	MeasTime	Temp_DegC	IllumCorr	CellCommt	GlobalCommt	FileName
a1	0.712	31.5	76.2	17.1	0.57	0.588	29.1	17.1	-24307	1.2	03.10.2016 10:18:06	25	1			
b1	0.712	32.6	76.6	17.8	0.57	0.588	30.3	17.8	-61447	1.1	03.10.2016 10:18:38	25	1			
c1	0.711	33.2	76.1	18	0.57	0.588	30.5	18	-293759	1.3	03.10.2016 10:18:56	25	1			
d1	0.711	32	75.5	17.2	0.57	0.588	29.2	17.2	-27402	1.6	03.10.2016 10:19:14	25	1			
e1	0.713	32.4	75.3	17.4	0.57	0.588	29.6	17.4	5652	1.8	03.10.2016 10:19:33	25	1			
f1	0.716	33	75.4	17.8	0.57	0.588	30.3	17.8	11854	1.8	03.10.2016 10:19:51	25	1			
a2	0.712	32.4	76.3	17.6	0.57	0.588	29.9	17.6	29640	1.2	03.10.2016 10:20:11	25	1			
b2	0.711	31.8	76.8	17.4	0.57	0.588	29.6	17.4	-8374	1.1	03.10.2016 10:20:31	25	1			
c2	0.711	33.2	76.5	18	0.57	0.588	30.7	18	5454	1.1	03.10.2016 10:20:54	25	1			
d2	0.711	31.8	76.3	17.2	0.57	0.588	29.3	17.2	16656	1.3	03.10.2016 10:21:16	25	1			
e2	0.712	32	72.3	16.5	0.57	0.568	29.1	16.5	6208	1.9	03.10.2016 10:21:34	25	1			
f2	0.715	32.3	75	17.3	0.57	0.588	29.5	17.3	8855	1.9	03.10.2016 10:21:52	25	1			
a3	0.713	33.4	75.3	18	0.57	0.588	30.5	18	6566	1.3	03.10.2016 10:22:35	25	1			
b3	0.712	31.7	76.2	17.2	0.57	0.588	29.3	17.2	6897	1.1	03.10.2016 10:22:59	25	1			
c3	0.712	33.4	76.1	18.1	0.57	0.588	30.8	18.1	11664	1.1	03.10.2016 10:23:21	25	1			
d3	0.712	32.8	75.9	17.7	0.57	0.588	30.1	17.7	8753	1.2	03.10.2016 10:23:46	25	1			
e3	0.712	32.4	75.3	17.3	0.57	0.588	29.5	17.3	-19537	1.5	03.10.2016 10:24:07	25	1			
f3	0.714	32.3	74.8	17.3	0.57	0.586	29.5	17.3	6288	1.7	03.10.2016 10:24:27	25	1			
b2_dark	0	0	0	0	0.57	0	0	0	193461	0	03.10.2016 10:25:45	25	1	Error: Could not determine Voc and/or FF(MPP)		
