SAMPLE_B_5LayerMo_a1__V	SAMPLE_B_5LayerMo_a1__J	SAMPLE_B_5LayerMo_a1__I	SAMPLE_B_5LayerMo_a1__Param	SAMPLE_B_5LayerMo_a1__ParamDescr
-0.3	-31.54105	-17.9784	0.7119	Voc (V)
-0.2798	-31.55682	-17.98739	31.54	Jsc (mA/cm²)
-0.25965	-31.56107	-17.98981	76.18	FF(%)
-0.23945	-31.54596	-17.9812	17.1	Eff (%)
-0.2193	-31.54554	-17.98096	0.57	Cell Area (cm²)
-0.199125	-31.55995	-17.98917	0.5877	Vmpp (V)
-0.178945	-31.56667	-17.993	29.1	Jmpp (mA/cm²)
-0.15877	-31.55618	-17.98702	17.1	Pmpp (mW/cm²)
-0.138595	-31.54882	-17.98283	-24306.9	Rp (Ohmcm²)
-0.11842	-31.53393	-17.97434	1.17	Rs (Ohmcm²)
-0.098245	-31.54735	-17.98199	03.10.2016 10:18:06	Measurement date and time
-0.07807	-31.55991	-17.98915	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-31.55305	-17.98524	1	Illumination correction factor
-0.03772	-31.53621	-17.97564		(Cell Comment)
-0.017545	-31.53509	-17.975		(Global Comment)
0.00263	-31.53368	-17.9742		
0.022805	-31.53731	-17.97627		
0.04298	-31.51281	-17.9623		
0.06316	-31.52951	-17.97182		
0.083335	-31.52912	-17.9716		
0.10351	-31.51972	-17.96624		
0.123685	-31.52319	-17.96822		
0.14386	-31.50293	-17.95667		
0.164035	-31.4847	-17.94628		
0.18421	-31.49119	-17.94998		
0.204385	-31.49721	-17.95341		
0.22455	-31.48693	-17.94755		
0.24475	-31.46777	-17.93663		
0.2649	-31.47249	-17.93932		
0.2851	-31.47121	-17.93859		
0.30525	-31.45146	-17.92733		
0.32545	-31.44588	-17.92415		
0.3456	-31.4257	-17.91265		
0.3658	-31.40149	-17.89885		
0.38595	-31.39479	-17.89503		
0.40615	-31.38084	-17.88708		
0.4263	-31.354	-17.87178		
0.4465	-31.30221	-17.84226		
0.46665	-31.27598	-17.82731		
0.48685	-31.18354	-17.77462		
0.507	-31.07202	-17.71105		
0.5272	-30.86842	-17.595		
0.54735	-30.55493	-17.41631		
0.56755	-30.02126	-17.11212		
0.5877	-29.10196	-16.58812		
0.6079	-27.64633	-15.75841		
0.62805	-25.3351	-14.44101		
0.64825	-21.82625	-12.44096		
0.6684	-16.96068	-9.667586		
0.6886	-10.1553	-5.78852		
0.70875	-1.649174	-0.9400294		
0.72895	8.833437	5.035059		
0.7491	21.26888	12.12326		
0.7693	35.59144	20.28712		
0.78945	51.39932	29.29761		
0.80965	68.60371	39.10412		
0.8298	86.85136	49.50528		
0.85	105.9713	60.40365		
