SAMPLE_B_5LayerMo_b3__V	SAMPLE_B_5LayerMo_b3__J	SAMPLE_B_5LayerMo_b3__I	SAMPLE_B_5LayerMo_b3__Param	SAMPLE_B_5LayerMo_b3__ParamDescr
-0.3	-31.73988	-18.09173	0.712	Voc (V)
-0.2798	-31.75581	-18.10081	31.72	Jsc (mA/cm²)
-0.25965	-31.74095	-18.09234	76.18	FF(%)
-0.23945	-31.73488	-18.08888	17.2	Eff (%)
-0.2193	-31.72781	-18.08485	0.57	Cell Area (cm²)
-0.199125	-31.74589	-18.09516	0.5877	Vmpp (V)
-0.178945	-31.7416	-18.09271	29.27	Jmpp (mA/cm²)
-0.15877	-31.7244	-18.08291	17.2	Pmpp (mW/cm²)
-0.138595	-31.73661	-18.08987	6896.9	Rp (Ohmcm²)
-0.11842	-31.728	-18.08496	1.15	Rs (Ohmcm²)
-0.098245	-31.73351	-18.0881	03.10.2016 10:22:59	Measurement date and time
-0.07807	-31.72865	-18.08533	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-31.70635	-18.07262	1	Illumination correction factor
-0.03772	-31.70096	-18.06955		(Cell Comment)
-0.017545	-31.71711	-18.07875		(Global Comment)
0.00263	-31.71276	-18.07627		
0.022805	-31.69619	-18.06683		
0.04298	-31.71525	-18.07769		
0.06316	-31.70904	-18.07415		
0.083335	-31.68181	-18.05863		
0.10351	-31.68621	-18.06114		
0.123685	-31.68105	-18.0582		
0.14386	-31.68442	-18.06012		
0.164035	-31.68917	-18.06283		
0.18421	-31.67361	-18.05396		
0.204385	-31.66137	-18.04698		
0.22455	-31.6596	-18.04597		
0.24475	-31.64826	-18.03951		
0.2649	-31.64051	-18.03509		
0.2851	-31.62874	-18.02838		
0.30525	-31.63651	-18.03281		
0.32545	-31.60212	-18.01321		
0.3456	-31.59195	-18.00741		
0.3658	-31.56477	-17.99192		
0.38595	-31.54974	-17.98335		
0.40615	-31.52488	-17.96918		
0.4263	-31.50242	-17.95638		
0.4465	-31.47351	-17.9399		
0.46665	-31.39237	-17.89365		
0.48685	-31.31844	-17.85151		
0.507	-31.18198	-17.77373		
0.5272	-30.987	-17.66259		
0.54735	-30.65768	-17.47488		
0.56755	-30.12893	-17.17349		
0.5877	-29.27212	-16.68511		
0.6079	-27.84844	-15.87361		
0.62805	-25.60284	-14.59362		
0.64825	-22.16581	-12.63451		
0.6684	-17.33132	-9.878853		
0.6886	-10.46685	-5.966104		
0.70875	-1.73757	-0.990415		
0.72895	9.178417	5.231698		
0.7491	22.13511	12.61701		
0.7693	37.01033	21.09589		
0.78945	53.35137	30.41028		
0.80965	70.92088	40.4249		
0.8298	89.23684	50.865		
0.85	108.0397	61.58262		
