SAMPLE_B_5LayerMo_c3__V	SAMPLE_B_5LayerMo_c3__J	SAMPLE_B_5LayerMo_c3__I	SAMPLE_B_5LayerMo_c3__Param	SAMPLE_B_5LayerMo_c3__ParamDescr
-0.3	-33.43281	-19.0567	0.7121	Voc (V)
-0.2798	-33.45649	-19.0702	33.43	Jsc (mA/cm²)
-0.25965	-33.45174	-19.06749	76.06	FF(%)
-0.23945	-33.44402	-19.06309	18.11	Eff (%)
-0.2193	-33.46972	-19.07774	0.57	Cell Area (cm²)
-0.199125	-33.44954	-19.06624	0.5877	Vmpp (V)
-0.178945	-33.44847	-19.06563	30.81	Jmpp (mA/cm²)
-0.15877	-33.44069	-19.06119	18.11	Pmpp (mW/cm²)
-0.138595	-33.43431	-19.05756	11663.8	Rp (Ohmcm²)
-0.11842	-33.45786	-19.07098	1.11	Rs (Ohmcm²)
-0.098245	-33.44865	-19.06573	03.10.2016 10:23:21	Measurement date and time
-0.07807	-33.4491	-19.06599	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-33.4403	-19.06097	1	Illumination correction factor
-0.03772	-33.42197	-19.05052		(Cell Comment)
-0.017545	-33.43144	-19.05592		(Global Comment)
0.00263	-33.40988	-19.04363		
0.022805	-33.42767	-19.05377		
0.04298	-33.42104	-19.04999		
0.06316	-33.41405	-19.04601		
0.083335	-33.41505	-19.04658		
0.10351	-33.41886	-19.04875		
0.123685	-33.40274	-19.03956		
0.14386	-33.39511	-19.03521		
0.164035	-33.39135	-19.03307		
0.18421	-33.39212	-19.03351		
0.204385	-33.3574	-19.01372		
0.22455	-33.35854	-19.01437		
0.24475	-33.35804	-19.01408		
0.2649	-33.35572	-19.01276		
0.2851	-33.33628	-19.00168		
0.30525	-33.32555	-18.99556		
0.32545	-33.31209	-18.98789		
0.3456	-33.29249	-18.97672		
0.3658	-33.27328	-18.96577		
0.38595	-33.25986	-18.95812		
0.40615	-33.21358	-18.93174		
0.4263	-33.18514	-18.91553		
0.4465	-33.14588	-18.89315		
0.46665	-33.09149	-18.86215		
0.48685	-32.99139	-18.80509		
0.507	-32.84395	-18.72105		
0.5272	-32.6511	-18.61113		
0.54735	-32.30175	-18.412		
0.56755	-31.7333	-18.08798		
0.5877	-30.81281	-17.5633		
0.6079	-29.293	-16.69701		
0.62805	-26.91312	-15.34048		
0.64825	-23.27546	-13.26701		
0.6684	-18.06019	-10.29431		
0.6886	-11.00061	-6.270349		
0.70875	-1.925432	-1.097496		
0.72895	9.598072	5.470901		
0.7491	23.04475	13.13551		
0.7693	38.47579	21.9312		
0.78945	55.40723	31.58212		
0.80965	73.62298	41.9651		
0.8298	92.66286	52.81783		
0.85	112.2203	63.96556		
