SAMPLE_B_5LayerMo_d1__V	SAMPLE_B_5LayerMo_d1__J	SAMPLE_B_5LayerMo_d1__I	SAMPLE_B_5LayerMo_d1__Param	SAMPLE_B_5LayerMo_d1__ParamDescr
-0.3	-31.987	-18.23259	0.711	Voc (V)
-0.2798	-31.98358	-18.23064	31.98	Jsc (mA/cm²)
-0.25965	-31.98016	-18.22869	75.52	FF(%)
-0.23945	-31.99602	-18.23773	17.17	Eff (%)
-0.2193	-31.98649	-18.2323	0.57	Cell Area (cm²)
-0.199125	-31.99102	-18.23488	0.5877	Vmpp (V)
-0.178945	-31.97761	-18.22724	29.22	Jmpp (mA/cm²)
-0.15877	-31.9938	-18.23647	17.17	Pmpp (mW/cm²)
-0.138595	-32.00351	-18.242	-27402.3	Rp (Ohmcm²)
-0.11842	-31.9863	-18.23219	1.64	Rs (Ohmcm²)
-0.098245	-31.98618	-18.23212	03.10.2016 10:19:14	Measurement date and time
-0.07807	-31.96586	-18.22054	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-31.97897	-18.22801	1	Illumination correction factor
-0.03772	-31.98014	-18.22868		(Cell Comment)
-0.017545	-31.97991	-18.22855		(Global Comment)
0.00263	-31.97079	-18.22335		
0.022805	-31.95298	-18.2132		
0.04298	-31.95321	-18.21333		
0.06316	-31.94349	-18.20779		
0.083335	-31.94006	-18.20583		
0.10351	-31.93649	-18.2038		
0.123685	-31.92877	-18.1994		
0.14386	-31.92868	-18.19935		
0.164035	-31.91154	-18.18958		
0.18421	-31.92033	-18.19459		
0.204385	-31.90765	-18.18736		
0.22455	-31.90112	-18.18364		
0.24475	-31.89851	-18.18215		
0.2649	-31.87458	-18.16851		
0.2851	-31.86197	-18.16132		
0.30525	-31.85758	-18.15882		
0.32545	-31.84126	-18.14952		
0.3456	-31.82116	-18.13806		
0.3658	-31.78184	-18.11565		
0.38595	-31.7966	-18.12406		
0.40615	-31.76884	-18.10824		
0.4263	-31.73328	-18.08797		
0.4465	-31.6746	-18.05452		
0.46665	-31.59749	-18.01057		
0.48685	-31.51853	-17.96556		
0.507	-31.39231	-17.89362		
0.5272	-31.15921	-17.76075		
0.54735	-30.80653	-17.55972		
0.56755	-30.19579	-17.2116		
0.5877	-29.21942	-16.65507		
0.6079	-27.61097	-15.73825		
0.62805	-25.12053	-14.3187		
0.64825	-21.40349	-12.19999		
0.6684	-16.3131	-9.298468		
0.6886	-9.452394	-5.387865		
0.70875	-1.116762	-0.6365545		
0.72895	8.74271	4.983345		
0.7491	19.77367	11.27099		
0.7693	31.64184	18.03585		
0.78945	43.85398	24.99677		
0.80965	56.13826	31.99881		
0.8298	68.13302	38.83582		
0.85	79.71409	45.43703		
