SAMPLE_B_5LayerMo_e1__V	SAMPLE_B_5LayerMo_e1__J	SAMPLE_B_5LayerMo_e1__I	SAMPLE_B_5LayerMo_e1__Param	SAMPLE_B_5LayerMo_e1__ParamDescr
-0.3	-32.38663	-18.46038	0.713	Voc (V)
-0.2798	-32.40179	-18.46902	32.36	Jsc (mA/cm²)
-0.25965	-32.39503	-18.46517	75.3	FF(%)
-0.23945	-32.39874	-18.46728	17.37	Eff (%)
-0.2193	-32.39842	-18.4671	0.57	Cell Area (cm²)
-0.199125	-32.40461	-18.47063	0.5877	Vmpp (V)
-0.178945	-32.37142	-18.45171	29.56	Jmpp (mA/cm²)
-0.15877	-32.38226	-18.45789	17.37	Pmpp (mW/cm²)
-0.138595	-32.39056	-18.46262	5652	Rp (Ohmcm²)
-0.11842	-32.37532	-18.45393	1.8	Rs (Ohmcm²)
-0.098245	-32.37735	-18.45509	03.10.2016 10:19:33	Measurement date and time
-0.07807	-32.37453	-18.45348	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.37607	-18.45436	1	Illumination correction factor
-0.03772	-32.37858	-18.45579		(Cell Comment)
-0.017545	-32.35832	-18.44424		(Global Comment)
0.00263	-32.34656	-18.43754		
0.022805	-32.35565	-18.44272		
0.04298	-32.33674	-18.43194		
0.06316	-32.34549	-18.43693		
0.083335	-32.32823	-18.42709		
0.10351	-32.3193	-18.422		
0.123685	-32.31467	-18.41936		
0.14386	-32.30261	-18.41249		
0.164035	-32.30742	-18.41523		
0.18421	-32.29396	-18.40756		
0.204385	-32.2863	-18.40319		
0.22455	-32.26761	-18.39254		
0.24475	-32.25128	-18.38323		
0.2649	-32.26006	-18.38823		
0.2851	-32.24997	-18.38248		
0.30525	-32.23503	-18.37397		
0.32545	-32.21812	-18.36433		
0.3456	-32.21884	-18.36474		
0.3658	-32.18947	-18.348		
0.38595	-32.1563	-18.32909		
0.40615	-32.14045	-18.32006		
0.4263	-32.09281	-18.2929		
0.4465	-32.03184	-18.25815		
0.46665	-31.98704	-18.23261		
0.48685	-31.87742	-18.17013		
0.507	-31.75532	-18.10053		
0.5272	-31.50416	-17.95737		
0.54735	-31.16619	-17.76473		
0.56755	-30.547	-17.41179		
0.5877	-29.56272	-16.85075		
0.6079	-27.96002	-15.93721		
0.62805	-25.47137	-14.51868		
0.64825	-21.81091	-12.43222		
0.6684	-16.80068	-9.576387		
0.6886	-10.11572	-5.765962		
0.70875	-2.001551	-1.140884		
0.72895	7.479416	4.263267		
0.7491	17.94773	10.23021		
0.7693	29.00519	16.53296		
0.78945	40.3127	22.97824		
0.80965	51.55463	29.38614		
0.8298	62.40205	35.56917		
0.85	72.80083	41.49647		
