SAMPLE_B_5LayerMo_f2__V	SAMPLE_B_5LayerMo_f2__J	SAMPLE_B_5LayerMo_f2__I	SAMPLE_B_5LayerMo_f2__Param	SAMPLE_B_5LayerMo_f2__ParamDescr
-0.3	-32.3563	-18.44309	0.7146	Voc (V)
-0.2798	-32.34077	-18.43424	32.31	Jsc (mA/cm²)
-0.25965	-32.36533	-18.44824	75.02	FF(%)
-0.23945	-32.34607	-18.43726	17.32	Eff (%)
-0.2193	-32.35381	-18.44167	0.57	Cell Area (cm²)
-0.199125	-32.32832	-18.42714	0.5877	Vmpp (V)
-0.178945	-32.33237	-18.42945	29.48	Jmpp (mA/cm²)
-0.15877	-32.3474	-18.43802	17.32	Pmpp (mW/cm²)
-0.138595	-32.32404	-18.4247	8854.6	Rp (Ohmcm²)
-0.11842	-32.33318	-18.42991	1.93	Rs (Ohmcm²)
-0.098245	-32.34261	-18.43529	03.10.2016 10:21:52	Measurement date and time
-0.07807	-32.31409	-18.41903	25	Approx. cell temperature (set: 24.0) (°C)
-0.057895	-32.3409	-18.43431	1	Illumination correction factor
-0.03772	-32.31768	-18.42108		(Cell Comment)
-0.017545	-32.31212	-18.41791		(Global Comment)
0.00263	-32.301	-18.41157		
0.022805	-32.29416	-18.40767		
0.04298	-32.29332	-18.40719		
0.06316	-32.28475	-18.40231		
0.083335	-32.28611	-18.40308		
0.10351	-32.27288	-18.39554		
0.123685	-32.26576	-18.39148		
0.14386	-32.25893	-18.38759		
0.164035	-32.26505	-18.39108		
0.18421	-32.24784	-18.38127		
0.204385	-32.2294	-18.37076		
0.22455	-32.2307	-18.3715		
0.24475	-32.21012	-18.35977		
0.2649	-32.19225	-18.34958		
0.2851	-32.19183	-18.34934		
0.30525	-32.16658	-18.33495		
0.32545	-32.15695	-18.32946		
0.3456	-32.14128	-18.32053		
0.3658	-32.12331	-18.31029		
0.38595	-32.09066	-18.29168		
0.40615	-32.05179	-18.26952		
0.4263	-32.0347	-18.25978		
0.4465	-31.97232	-18.22422		
0.46665	-31.93344	-18.20206		
0.48685	-31.83207	-18.14428		
0.507	-31.66867	-18.05114		
0.5272	-31.44144	-17.92162		
0.54735	-31.0557	-17.70175		
0.56755	-30.46918	-17.36743		
0.5877	-29.47568	-16.80114		
0.6079	-27.88349	-15.89359		
0.62805	-25.458	-14.51106		
0.64825	-21.87488	-12.46868		
0.6684	-17.01212	-9.696909		
0.6886	-10.55347	-6.015478		
0.70875	-2.672274	-1.523196		
0.72895	6.484763	3.696315		
0.7491	16.48104	9.394196		
0.7693	27.00228	15.3913		
0.78945	37.63317	21.45091		
0.80965	48.11572	27.42596		
0.8298	58.1693	33.1565		
0.85	67.81976	38.65726		
