TL3347_d2__V	TL3347_d2__J	TL3347_d2__I	TL3347_d2__Param	TL3347_d2__ParamDescr
-0.9999663	-0.2227033	-0.12026	0	Voc (V)
-0.9499867	-0.2094152	-0.1130844	0	Jsc (mA/cm²)
-0.9000193	-0.1959209	-0.1057975	0	FF(%)
-0.8501073	-0.1810072	-0.09774406	0	Eff (%)
-0.8000637	-0.166617	-0.08997332	0.540001	Cell Area (cm²)
-0.7500285	-0.1521538	-0.08216321	0	Vmpp (V)
-0.6999502	-0.1377362	-0.0743777	0	Jmpp (mA/cm²)
-0.6500077	-0.1242592	-0.06710007	0	Pmpp (mW/cm²)
-0.6000399	-0.1112623	-0.06008174	3640.2	Rp (Ohmcm²)
-0.5500503	-0.09903245	-0.05347762	0	Rs (Ohmcm²)
-0.5000122	-0.08741812	-0.04720587	15.04.2025 13:52:42	Measurement date and time
-0.4499475	-0.0766641	-0.04139869	25	Approx. cell temperature (set: 24.0) (°C)
-0.3999374	-0.06601575	-0.03564857	1	Illumination correction factor
-0.3499653	-0.05659875	-0.03056338	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
-0.300036	-0.04723141	-0.02550501		(Global Comment)
-0.2500165	-0.03866376	-0.02087847		
-0.2000311	-0.03026678	-0.01634409		
-0.1500285	-0.02221868	-0.01199811		
-0.1000364	-0.01466495	-0.007919086		
-0.05004764	-0.007323576	-0.003954738		
-4.171298E-05	-0.0001647238	-8.8951E-05		
0.02001584	0.002835904	0.001531391		
0.0400114	0.005710051	0.003083433		
0.06001954	0.008465839	0.004571561		
0.08002782	0.01138519	0.006148016		
0.1000391	0.01438566	0.007768271		
0.1200147	0.01752784	0.009465051		
0.1400114	0.02052715	0.01108468		
0.1600184	0.02375696	0.01282878		
0.180008	0.02682573	0.01448592		
0.200016	0.03014457	0.0162781		
0.2199612	0.03338292	0.01802681		
0.2399932	0.03690001	0.01992604		
0.2600144	0.0405592	0.02190201		
0.2799995	0.04434477	0.02394622		
0.2999823	0.04801417	0.0259277		
0.3199731	0.05233244	0.02825957		
0.3399548	0.05643553	0.03047524		
0.359938	0.06072482	0.03279146		
0.379925	0.06565675	0.03545471		
0.3999048	0.07078879	0.03822601		
0.4199062	0.07633066	0.04121863		
0.4399016	0.08253439	0.04456865		
0.4599291	0.08950239	0.04833138		
0.4799567	0.09729712	0.05254054		
0.4999785	0.106473	0.05749555		
0.5200011	0.1177082	0.06356254		
0.540031	0.1314745	0.07099633		
0.560055	0.1493769	0.08066367		
0.580008	0.1727754	0.09329891		
0.599981	0.203853	0.1100808		
0.6199691	0.2467155	0.1332266		
0.6399339	0.3066294	0.1655802		
0.6599318	0.3905687	0.2109075		
0.6799235	0.5098711	0.2753309		
0.6999188	0.6798517	0.3671206		
0.7199548	0.9220965	0.497933		
0.7399512	1.263415	0.6822454		
0.7599854	1.743165	0.9413108		
0.7799789	2.407338	1.299965		
0.8000036	3.313535	1.789312		
0.8200287	4.522846	2.442341		
0.8400562	6.100196	3.294112		
0.8600476	8.101486	4.37481		
0.8800012	10.57248	5.70915		
0.8999848	13.55271	7.318477		
0.9199699	17.04838	9.206143		
0.9399361	21.09033	11.3888		
0.9599229	25.57879	13.81257		
0.9799172	30.52281	16.48235		
0.9999428	35.89632	19.38405		
1.019976	41.66144	22.49722		
1.039968	47.73104	25.77481		
1.059991	54.11055	29.21975		
1.080017	60.76234	32.81172		
1.100044	67.65665	36.53466		
1.120073	74.76272	40.37194		
1.140056	82.04567	44.30474		
1.160045	89.50604	48.33335		
1.179992	97.10727	52.43802		
1.199969	104.8615	56.6253		
1.19997	105.2434	56.83152		
