TL3347_e3__V	TL3347_e3__J	TL3347_e3__I	TL3347_e3__Param	TL3347_e3__ParamDescr
-1	-18.68981	-10.0925	0.8439	Voc (V)
-0.98	-18.56872	-10.02711	16.88	Jsc (mA/cm²)
-0.96	-18.51932	-10.00043	58.36	FF(%)
-0.94	-18.48365	-9.981173	8.31	Eff (%)
-0.92	-18.44893	-9.962419	0.54	Cell Area (cm²)
-0.9	-18.41295	-9.94299	0.659	Vmpp (V)
-0.88	-18.37662	-9.923375	12.62	Jmpp (mA/cm²)
-0.86	-18.35574	-9.912101	8.31	Pmpp (mW/cm²)
-0.84	-18.32912	-9.897724	682.6	Rp (Ohmcm²)
-0.82	-18.30404	-9.884178	1.83	Rs (Ohmcm²)
-0.8	-18.26924	-9.86539	15.04.2025 14:00:49	Measurement date and time
-0.78	-18.23545	-9.847143	25	Approx. cell temperature (set: 24.0) (°C)
-0.76	-18.21598	-9.836629	1	Illumination correction factor
-0.74	-18.18428	-9.819509		(Cell Comment)
-0.72	-18.14995	-9.800972		(Global Comment)
-0.7	-18.13023	-9.790321		
-0.68	-18.08946	-9.768308		
-0.66	-18.08143	-9.763973		
-0.64	-18.04741	-9.745599		
-0.62	-18.01672	-9.72903		
-0.6	-17.98203	-9.710297		
-0.58	-17.96426	-9.700701		
-0.56	-17.93621	-9.685553		
-0.54	-17.89961	-9.665788		
-0.52	-17.85718	-9.642878		
-0.5	-17.83138	-9.628947		
-0.48	-17.80427	-9.614307		
-0.46	-17.76259	-9.591796		
-0.44	-17.73696	-9.577955		
-0.42	-17.70701	-9.561784		
-0.4	-17.67375	-9.543824		
-0.38	-17.64181	-9.526576		
-0.36	-17.60151	-9.504812		
-0.34	-17.57307	-9.489458		
-0.32	-17.55005	-9.477027		
-0.3	-17.48867	-9.443879		
-0.28	-17.46265	-9.42983		
-0.26	-17.42602	-9.410052		
-0.24	-17.3883	-9.389681		
-0.22	-17.34521	-9.366412		
-0.2	-17.29466	-9.339114		
-0.18	-17.26313	-9.322087		
-0.16	-17.2178	-9.297609		
-0.14	-17.178	-9.27612		
-0.12	-17.12901	-9.249666		
-0.1	-17.07762	-9.221916		
-0.08	-17.03786	-9.200445		
-0.06	-16.98274	-9.170678		
-0.04	-16.93481	-9.144795		
-0.02	-16.8787	-9.114496		
0	-16.83841	-9.092739		
0.02	-16.77499	-9.058493		
0.04	-16.70861	-9.022648		
0.06	-16.64451	-8.988036		
0.08	-16.60514	-8.966773		
0.1	-16.53275	-8.927682		
0.12	-16.46209	-8.889527		
0.14	-16.38625	-8.848577		
0.16	-16.31819	-8.811821		
0.18	-16.2431	-8.771271		
0.2	-16.16342	-8.728244		
0.22	-16.08677	-8.686858		
0.24	-15.99841	-8.639139		
0.26	-15.90461	-8.58849		
0.28	-15.80396	-8.534136		
0.3	-15.70401	-8.480167		
0.32	-15.61009	-8.429447		
0.34	-15.5022	-8.371187		
0.36	-15.38601	-8.308448		
0.38	-15.27075	-8.246202		
0.4	-15.14454	-8.178051		
0.42	-15.01812	-8.109782		
0.44	-14.88935	-8.040251		
0.46	-14.73936	-7.959256		
0.48	-14.60081	-7.884436		
0.5	-14.43951	-7.797334		
0.52	-14.27819	-7.710221		
0.54	-14.10184	-7.614991		
0.56	-13.91156	-7.512245		
0.58	-13.71783	-7.407627		
0.6	-13.50045	-7.290243		
0.62	-13.2396	-7.149384		
0.64	-12.94836	-6.992112		
0.66	-12.5951	-6.801352		
0.68	-12.19261	-6.584009		
0.7	-11.6697	-6.301636		
0.72	-11.02172	-5.95173		
0.74	-10.20076	-5.508409		
0.76	-9.121631	-4.92568		
0.78	-7.716676	-4.167005		
0.8	-5.912115	-3.192542		
0.82	-3.604882	-1.946636		
0.84	-0.7013591	-0.3787339		
0.86	2.877652	1.553932		
0.88	7.198374	3.887122		
0.9	12.30008	6.64204		
0.92	18.15832	9.805491		
0.94	24.76978	13.37568		
0.96	32.04363	17.30356		
0.98	39.93887	21.56699		
1	48.41084	26.14185		
1.02	57.38224	30.98641		
1.04	66.76897	36.05524		
1.06	76.60609	41.36728		
1.08	86.75476	46.84757		
1.1	97.28078	52.53162		
1.12	108.0808	58.36363		
1.14	119.1568	64.34467		
1.16	130.4598	70.4483		
1.18	142.0447	76.70412		
1.2	153.8146	83.0599		
