TL3347_f3__V	TL3347_f3__J	TL3347_f3__I	TL3347_f3__Param	TL3347_f3__ParamDescr
-0.9999689	-0.4960779	-0.2678825	0	Voc (V)
-0.9499878	-0.4309255	-0.2327002	0	Jsc (mA/cm²)
-0.9000276	-0.4002513	-0.2161361	0	FF(%)
-0.85009	-0.3726867	-0.2012512	0	Eff (%)
-0.8000427	-0.3447081	-0.1861427	0.540001	Cell Area (cm²)
-0.7500144	-0.3169163	-0.1711351	0	Vmpp (V)
-0.6999413	-0.2907013	-0.156979	0	Jmpp (mA/cm²)
-0.6499962	-0.2660899	-0.1436888	0	Pmpp (mW/cm²)
-0.6000316	-0.2413297	-0.1303183	1901.2	Rp (Ohmcm²)
-0.5500447	-0.216552	-0.1169383	0	Rs (Ohmcm²)
-0.5000055	-0.1937311	-0.104615	15.04.2025 14:03:03	Measurement date and time
-0.4499621	-0.1697938	-0.0916888	25	Approx. cell temperature (set: 24.0) (°C)
-0.3999456	-0.1462501	-0.07897522	1	Illumination correction factor
-0.3499806	-0.1224726	-0.06613532	Error: Could not determine Voc and/or FF(MPP)	(Cell Comment)
-0.3000507	-0.09819664	-0.05302628		(Global Comment)
-0.2500294	-0.07924148	-0.04279048		
-0.2000395	-0.05954821	-0.03215609		
-0.1500252	-0.04258707	-0.02299706		
-0.1000414	-0.02606768	-0.01407657		
-0.05007108	-0.01165133	-0.006291729		
-0.000598236	0.000161082	8.698447E-05		
0.0199893	0.004899039	0.002645486		
0.0399653	0.008842108	0.004774747		
0.06003603	0.01299971	0.007019857		
0.08003226	0.01874584	0.01012277		
0.1000146	0.02333448	0.01260064		
0.120009	0.02746866	0.0148331		
0.1400221	0.03257089	0.01758831		
0.1600217	0.03616656	0.01952998		
0.1800027	0.04215503	0.02276376		
0.2000086	0.04703073	0.02539664		
0.219967	0.05228813	0.02823564		
0.2399924	0.05765689	0.03113478		
0.2600191	0.06259887	0.03380345		
0.2799995	0.06756971	0.03648771		
0.2999888	0.07482614	0.04040619		
0.3199743	0.08232385	0.04445496		
0.3399667	0.09049913	0.04886962		
0.359943	0.09918553	0.05356029		
0.379923	0.1101593	0.05948614		
0.3999186	0.1203375	0.06498239		
0.4199128	0.1311109	0.07080004		
0.4399025	0.1455561	0.07860041		
0.4599404	0.1617598	0.08735044		
0.4799668	0.1797944	0.09708913		
0.4999713	0.2054482	0.1109422		
0.5199947	0.2319355	0.1252454		
0.5400198	0.2573769	0.1389838		
0.5600404	0.28397	0.1533441		
0.5799927	0.3201359	0.1728737		
0.5999815	0.3573651	0.1929775		
0.6199673	0.4026797	0.2174474		
0.6399467	0.4717521	0.2547466		
0.6599325	0.5569892	0.3007747		
0.6799271	0.6836771	0.3691863		
0.6999225	0.8550294	0.4617167		
0.719954	1.08788	0.5874563		
0.7399483	1.421559	0.7676432		
0.7599825	1.866493	1.007908		
0.7799767	2.48529	1.342059		
0.8000052	3.346057	1.806874		
0.8200291	4.53029	2.446361		
0.8400578	6.143935	3.317731		
0.860046	8.30306	4.48366		
0.8800028	11.14069	6.015981		
0.8999922	14.79756	7.990695		
0.9199501	19.41772	10.48559		
0.9399359	25.05853	13.53163		
0.9599233	31.75389	17.14713		
0.979915	39.54776	21.35583		
0.9999456	48.39665	26.13424		
1.019977	58.23091	31.44475		
1.039968	69.04376	37.2837		
1.059989	80.6927	43.57414		
1.080019	93.21045	50.33373		
1.100047	106.3512	57.42973		
1.120078	120.2148	64.9161		
1.140064	134.7285	72.75351		
1.160048	149.6425	80.80712		
1.179999	165.1274	89.16895		
1.199977	181.241	97.87032		
1.199977	182.3271	98.45683		
