subplots_adjust	0.15
fontsize	10.0
ylim	[-inf, inf]
xlabel	ylim
ylabel	(-inf, inf)
text	[]
textxy	[]
textargs	[]
legendproperties	{'fontsize': 8.0, 'loc': 'best'}
meastype	Undetermined data type
_fitdiode_rsquare_diode	0.9993673482035441	0.9993215251782308	0.9994547653603331	0.9988358708695165	0.9991558822483148	0.9992358988176301			0.9993664958337453			0.9998890406949219			0.9993647873631069			0.9996622468371456			0.999408443852897			0.9997310998918101			0.9993823884130815			0.9999399082823964			0.9993603641598185
_fitdiodeweight	5.0	5.0	5.0	5.0	5.0	5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0
_units	['V', 'mAcm-2']	['V', 'mAcm-2']	['V', 'mAcm-2']	['V', 'mAcm-2']	['V', 'mAcm-2']	['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']
acquis soft (cell comment)												Error: Could not determine Voc and/or FF(MPP)						Error: Could not determine Voc and/or FF(MPP)						Error: Could not determine Voc and/or FF(MPP)						Error: Could not determine Voc and/or FF(MPP)
acquis soft cell area	0.57	0.57	0.57	0.57	0.57	0.57			0.54			0.540001			0.54			0.540001			0.54			0.540001			0.54			0.540001			0.54
acquis soft datetime	03.10.2016 10:16:27	03.10.2016 10:06:34	03.10.2016 10:08:34	03.10.2016 10:04:17	03.10.2016 10:06:52	03.10.2016 10:08:54			15.04.2025 13:52:15			15.04.2025 13:59:05			15.04.2025 13:58:26			15.04.2025 13:48:33			15.04.2025 13:48:02			15.04.2025 13:54:07			15.04.2025 13:53:37			15.04.2025 14:01:23			15.04.2025 14:00:49
acquis soft eff	17.1	17.3	17.3	17.27	17.86	18.14			8.56			0.0			7.96			0.0			8.31			0.0			8.65			0.0			8.31
acquis soft ff(%)	73.88	75.31	75.22	74.61	75.57	75.19			56.55			0.0			57.59			0.0			55.3			0.0			57.63			0.0			58.36
acquis soft illumination correction factor	1.0	1.0	1.0	1.0	1.0	1.0			1.0			1.0			1.0			1.0			1.0			1.0			1.0			1.0			1.0
acquis soft jmpp	29.55	29.44	29.44	30.44	30.38	30.87			12.96			0.0			12.05			0.0			12.59			0.0			13.13			0.0			12.62
acquis soft jsc	32.09	32.06	32.11	32.4	33.09	33.81			17.79			0.0			16.51			0.0			17.72			0.0			17.73			0.0			16.88
acquis soft pmpp	17.1	17.3	17.3	17.27	17.86	18.14			8.56			0.0			7.96			0.0			8.31			0.0			8.65			0.0			8.31
acquis soft rp	-7168.0	-12112.1	-184418.7	-4575.4	3508.6	21051.4			629.6			7585.2			674.7			1329.9			395.9			3524.6			620.0			4273.9			682.6
acquis soft rs	1.96	1.68	1.62	1.9	1.53	1.47			2.69			0.0			2.25			0.0			1.76			0.0			2.1			0.0			1.83
acquis soft temperature	25.0	25.0	25.0	25.0	25.0	25.0			25.0			25.0			25.0			25.0			25.0			25.0			25.0			25.0			25.0
acquis soft vmpp	0.5787	0.5877	0.5877	0.5676	0.5877	0.5877			0.66			0.0			0.66			0.0			0.66			0.0			0.659			0.0			0.659
acquis soft voc	0.7212	0.7165	0.7164	0.7145	0.7139	0.7137			0.8503			0.0			0.8367			0.0			0.8477			0.0			0.8472			0.0			0.8439
area	0.545	0.544	0.536	0.542	0.559	0.574			0.554			0.541			0.541			0.56			0.56			0.564			0.564			0.545			0.545
cell	a1	a2	a3	b1	b2	b3			d2			d3			d3			e1			e1			e2			e2			e3			e3
color	[0.5, 0.0, 0.2699999999999999]	[0.7000000000000001, 0.0, 0.22679999999999884]	[0.9000000000000001, 0.0, 0.0971999999999995]	[0.9999999999999999, 0.19720000000000004, 0.09999999999999998]	[1.0, 0.5268000000000004, 0.30000000000000027]	[1.0, 0.7700000000000002, 0.5]			[0.09999999999999964, 0.0, 0.5]			[0.03124999999999989, 0.0, 0.625]			[0.0, 0.07500000000000023, 0.75]			[0.0, 0.2187499999999998, 0.875]			[0.0, 0.3999999999999999, 1.0]			[0.125, 0.6062500000000001, 1.0]			[0.25, 0.7749999999999997, 1.0]			[0.375, 0.9062499999999998, 1.0]			[0.5, 0.9999999999999999, 1.0]
curve	Curve JV	Curve JV	Curve JV	Curve JV	Curve JV	Curve JV			Curve JV			Curve JV			Curve JV			Curve JV			Curve JV			Curve JV			Curve JV			Curve JV			Curve JV
darkorillum	False	False	False	False	False	False			False			True			False			True			False			True			False			True			False
