	total	Li+	C+	CH+	CH_2+	CH_3+	Na+	Mg+	Al+	Si+	^34S+	K+	^41K+	^29SiO+	Na_2+	Cu+	Zn+	^65Cu+	AlF_2+	^66Zn+	^76Se+	^78Se+	Rb+	^87Rb+	^92Mo+	^96Mo+	Mo+	^110Cd+	^112Cd+	^113Cd+	Cd+	^118Sn+	^119Sn+	Sn+	Cs+
		7,0161	12,0008	13,0073	14,0155	15,0242	22,9873	23,9824	26,9813	27,9791	33,9699	38,9629	40,9608	44,9839	45,9731	62,9227	63,9207	64,9199	64,9691	65,9201	75,9117	77,9091	84,9167	86,9050	91,9018	95,8992	97,8994	109,8931	111,8927	112,8939	113,8930	117,8912	118,8927	119,8916	132,8888
Sputter Time (s)	Intensity (Raw)	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	
0,0000	136696	0	7,00134	11,0029	35,0232	153,47	15682,3	3,00011	19,003	14,0021	0	2401,74	246,508	29,01	8,0007	13606,4	1843,46	5935,18	103,145	981,543	92,0927	280,661	166,219	44,0195	71,0521	108,099	24,0054	8,00064	140,167	68,041	103,088	3264,07	1402,41	4342,9	1571,26	
2,0000	87846	0	5,0005	2,00006	6,00101	41,0391	14040,7	1,00001	3,00007	11,0018	0	2130,51	167,221	4,00031	2,00003	10527,7	1907,15	4521,16	28,9747	1051,55	101,1	242,474	103,086	26,0058	30,0078	128,127	32,0083	0	139,15	70,0396	93,0731	3168,37	1170,65	4372,76	1207,42	
3,9999	85939	0	4,00043	1,00005	4,00055	23,0132	12644,9	0	3,00007	7,0008	0	1946,75	136,15	5,00034	1,00001	11048,9	1872,31	4683,15	18,2853	992,615	90,0873	206,356	79,0512	31,0073	26,0052	112,096	24,0044	3,00013	151,177	67,0353	85,0627	3254,71	1151,4	4325,79	1321,78	
5,9999	84693	0	0	1,00007	6,00082	23,0128	11385,1	1,00002	3,00011	3,00016	0	1811,93	109,094	3,00011	2,00003	11478,5	1904,96	4907,74	20,5055	1028,13	95,0848	250,501	82,0513	26,0056	27,0068	92,0646	23,004	5,00031	126,123	65,0327	98,0798	3244,05	1187,99	4267,97	1194,21	
7,9999	84408	0	3,00011	6,00027	10,0011	23,0118	10448,2	0	1,00002	6,00046	0	1618,93	118,108	6,00037	3,00007	11867,9	1850,41	5136,87	17,3313	997,723	96,0911	233,454	64,0322	25,0048	28,0064	118,108	22,0044	1,00004	155,187	76,0452	90,0632	3211,87	1151,39	4243,21	1271,48	
9,9998	82590	0	2,00024	1,00002	5,0005	19,0074	9536,5	4,00012	3,00007	5,00027	0	1462,31	108,094	10,0012	1,00001	12140,8	1904,99	5201,5	15,1754	1055,6	94,0865	223,411	80,0501	17,0025	25,0048	109,092	21,0037	3,00007	140,158	57,0257	96,0733	3155,72	1111,54	4250,14	1256,46	
11,9998	81922	0	6,00037	4,00018	4,00024	19,0091	8771,55	0	1,00001	3,00016	0	1446,01	105,087	4,00027	2,00003	12379,2	1885,4	5313,12	16,2872	996,6	90,0819	217,384	83,0526	16,002	32,0083	118,107	15,0019	2,00003	117,106	57,0273	107,089	3170,71	1134,96	4090,14	1275,72	
13,9998	79302	0	2,00006	1,00001	4,00024	8,00293	7712,03	1,00002	3,00007	4,00018	0	1408,13	101,079	3,00016	2,00006	12371,8	1866,86	5339,46	14,1219	978,401	70,0571	205,349	81,0538	27,006	22,004	115,101	26,0052	2,00003	121,112	63,0312	96,0703	3012	1037,33	4022,71	1207,63	
15,9997	77589	0	0	0	4,00018	9,0013	7391,27	1,00001	3,00007	3,00021	0	1291,71	95,0703	4,00018	0	12290,4	1785,59	5328,07	15,2053	979,401	98,0991	213,363	92,0688	17,0028	24,0051	122,116	22,004	1,00001	126,124	64,0322	92,0674	2925,15	1062,8	3952,22	1246,14	
17,9997	78249	0	1,00002	2,00006	2,00006	16,0061	6923,58	0	2,00003	4,00012	0	1213,22	82,0542	5,00027	3,00007	12544,1	1748,57	5474,38	11,9763	1031,22	84,0686	209,378	90,0618	17,0022	23,0047	103,081	27,0056	2,00003	138,156	62,0304	91,0646	3011,59	1112,68	3886,04	1232,09	
19,9996	79398	0	4,00024	1,00002	2,00009	9,00199	6457,54	0	0	2,00003	0	1145,03	101,081	3,00011	0	13268,3	1809,24	5627,41	16,3719	986,477	79,0697	221,415	66,0342	16,002	26,0056	118,106	21,0034	1,00001	107,089	50,0206	94,0674	3078,89	1024,18	4197,31	1319,58	
21,9996	79668	0	1,00002	1,00005	3,00011	12,0031	6379,42	1,00001	0	2,00006	0	1146,07	88,0631	1,00001	1,00001	13218,4	1916,33	5796,67	13,1304	1025,15	96,0889	207,349	64,0332	14,0015	30,0069	110,096	22,0037	2,00003	142,158	69,0384	81,0513	3019,59	1136,07	4057,07	1288,02	
23,9996	79805	0	2,00003	0	3,00016	5,00088	6029,55	2,00012	1,00001	0	1,00001	1117,58	88,0591	2,00006	0	13566	1926,62	5902,74	16,4373	1054,57	81,0709	211,36	80,0488	12,0016	28,006	98,0733	22,0037	2,00003	140,154	56,0256	68,0358	3106,54	1093,32	4140,62	1267,68	
25,9995	80385	0	2,00003	2,00003	5,0005	10,0021	5655,93	1,00002	0	0	0	1128,75	79,0512	0	0	14103,2	1957,75	5913,64	14,2491	1052,53	90,0758	200,336	73,0418	13,0015	26,0056	108,089	21,0035	1,00002	138,154	54,0231	91,0658	2972,14	1092,37	4152,07	1308,57	
27,9995	80579	0	1,00002	1,00001	2,00003	7,00155	5423,94	0	0	0	1,00001	1084	73,0407	4,00018	0	14186,5	1948,53	6134,54	18,6958	1095,25	101,103	199,327	80,0537	7,00037	24,0048	109,092	24,0044	1,00002	139,15	55,0256	98,0748	3156,76	1076,05	4008,06	1321,66	
29,9995	80193	0	0	4,00018	3,00011	8,00244	5417,97	1,00002	3,00007	3,00011	0	1002,68	60,0293	1,00002	1,00002	14231,8	1880,57	5820,74	24,082	1079,96	90,0968	185,283	73,0418	8,00061	35,0099	110,092	22,0037	2,00006	139,152	59,0284	78,0488	3040,4	1132,98	4177,46	1308,57	
31,9994	80552	0	1,00002	1,00001	1,00005	5,00072	5276,61	0	0	0	0	1060,57	74,0463	1,00004	1,00001	14444,6	1955,26	6302,46	14,3382	1042,4	80,0688	221,38	66,0342	14,0015	24,0044	113,104	24,0044	2,00003	120,115	47,0169	86,0564	3144,41	1090,33	4123,35	1248,28	
33,9994	80190	0	2,00009	2,00003	3,00016	7,00091	4859,43	0	1,00001	0	0	994,569	57,0291	0	1,00001	14536,3	1891,37	6248,81	13,2209	1057,62	89,0854	224,417	77,0464	13,0015	14,0017	103,081	25,0048	3,00007	125,121	71,0395	86,06	3045,73	1129,99	4123,03	1292,22	
35,9994	80495	0	0	1,00002	2,00006	5,00088	4771,47	0	3,00007	2,00003	1,00001	1036,21	66,0332	0	3,00007	14670,1	1960,66	6219,01	8,80979	1024,02	83,0792	212,361	67,0353	14,0015	24,0048	114,1	20,0031	1,00001	128,133	57,0265	81,0525	3126,43	1115,8	4049,87	1258,58	
37,9993	80486	0	0	0	2,00006	10,0021	4680,17	0	2,00003	4,00018	0	949,895	62,0303	2,00003	3,00007	14865,4	1908,2	6323,48	13,2334	1018,08	80,0729	187,29	72,0396	14,0017	30,0069	99,0748	22,004	0	112,099	67,0342	81,0501	3132,77	1089,12	4144,67	1295,22	
39,9993	80583	0	1,00002	0	2,00006	8,00122	4400,32	0	0	1,00001	0	927,59	55,0264	2,00006	0	15027,2	2006,07	6518,98	17,6999	1072,93	80,069	224,418	75,0429	12,0011	25,0048	111,094	22,0037	1,00002	131,133	76,0471	102,081	3021,78	1058,83	4068,73	1348,33	
41,9993	80709	0	1,00002	0	1,00002	12,0024	4215,53	0	2,00003	4,00012	0	996,584	88,0619	2,00003	0	15170,3	1939,93	6501,68	16,596	1060,68	99,1132	186,287	75,0441	4,00018	17,0022	125,119	22,004	1,00001	136,143	58,0274	84,0564	3034,07	1113,61	4134,82	1380,91	
43,9992	81366	0	1,00002	1,00001	2,00006	5,00042	4070,07	0	1,00001	0	0	960,115	78,05	1,00001	0	15568,4	1986,61	6538,52	14,3873	1075,95	69,0601	203,346	73,0429	8,00049	27,0056	113,097	15,0017	1,00001	159,198	70,0374	88,0591	3186,26	1124,73	4178,19	1357,5	
