"CdS32nm_on_SLG_R"
"Wavelength nm."	"R%"
300.00000	27.44267
302.00000	27.52016
304.00000	27.71770
306.00000	27.90088
308.00000	28.12473
310.00000	28.25880
312.00000	28.39747
314.00000	28.53728
316.00000	28.64758
318.00000	28.76788
320.00000	28.84759
322.00000	28.98219
324.00000	29.11669
326.00000	29.22089
328.00000	29.29602
330.00000	29.37433
332.00000	29.48311
334.00000	29.60730
336.00000	29.66379
338.00000	29.73968
340.00000	29.82198
342.00000	29.92547
344.00000	29.99874
346.00000	30.05854
348.00000	30.12075
350.00000	30.18078
352.00000	30.22892
354.00000	30.28066
356.00000	30.34328
358.00000	30.39901
360.00000	30.45273
362.00000	30.47843
364.00000	30.51942
366.00000	30.55490
368.00000	30.61505
370.00000	30.65606
372.00000	30.70110
374.00000	30.73088
376.00000	30.75245
378.00000	30.79245
380.00000	30.83369
382.00000	30.87552
384.00000	30.90474
386.00000	30.92945
388.00000	30.96399
390.00000	30.99223
392.00000	31.03089
394.00000	31.07353
396.00000	31.12906
398.00000	31.16207
400.00000	31.19197
402.00000	31.20503
404.00000	31.22655
406.00000	31.25040
408.00000	31.27026
410.00000	31.30842
412.00000	31.33312
414.00000	31.36896
416.00000	31.39184
418.00000	31.42978
420.00000	31.46023
422.00000	31.49943
424.00000	31.52435
426.00000	31.55751
428.00000	31.59093
430.00000	31.62193
432.00000	31.64828
434.00000	31.67045
436.00000	31.70977
438.00000	31.74894
440.00000	31.79585
442.00000	31.83511
444.00000	31.86830
446.00000	31.89806
448.00000	31.92775
450.00000	31.97249
452.00000	32.02089
454.00000	32.06423
456.00000	32.10301
458.00000	32.14890
460.00000	32.19718
462.00000	32.25860
464.00000	32.31436
466.00000	32.39842
468.00000	32.48808
470.00000	32.60003
472.00000	32.70571
474.00000	32.81479
476.00000	32.92038
478.00000	33.03555
480.00000	33.14657
482.00000	33.26331
484.00000	33.37895
486.00000	33.49682
488.00000	33.61401
490.00000	33.73204
492.00000	33.84744
494.00000	33.94888
496.00000	34.03469
498.00000	34.11399
500.00000	34.19054
502.00000	34.25917
504.00000	34.30065
506.00000	34.31690
508.00000	34.31049
510.00000	34.28983
512.00000	34.25174
514.00000	34.18514
516.00000	34.10655
518.00000	33.99430
520.00000	33.87252
522.00000	33.71492
524.00000	33.54665
526.00000	33.33936
528.00000	33.13506
530.00000	32.88279
532.00000	32.65517
534.00000	32.40992
536.00000	32.19481
538.00000	31.95687
540.00000	31.71410
542.00000	31.48674
544.00000	31.26310
546.00000	31.05506
548.00000	30.82835
550.00000	30.59417
552.00000	30.36655
554.00000	30.14758
556.00000	29.94435
558.00000	29.73702
560.00000	29.52604
562.00000	29.32122
564.00000	29.10468
566.00000	28.90239
568.00000	28.69894
570.00000	28.51517
572.00000	28.33199
574.00000	28.15038
576.00000	27.96874
578.00000	27.79345
580.00000	27.63248
582.00000	27.47685
584.00000	27.31802
586.00000	27.16361
588.00000	27.01663
590.00000	26.87434
592.00000	26.74020
594.00000	26.59026
596.00000	26.44280
598.00000	26.28919
600.00000	26.13861
602.00000	25.99903
604.00000	25.85908
606.00000	25.72651
608.00000	25.59955
610.00000	25.46428
612.00000	25.33936
614.00000	25.20210
616.00000	25.07221
618.00000	24.93975
620.00000	24.81100
622.00000	24.68588
624.00000	24.56905
626.00000	24.45894
628.00000	24.34641
630.00000	24.22811
632.00000	24.11832
634.00000	24.00780
636.00000	23.91203
638.00000	23.79447
640.00000	23.69138
642.00000	23.57532
644.00000	23.47535
646.00000	23.35567
648.00000	23.25009
650.00000	23.14576
652.00000	23.05238
654.00000	22.93731
656.00000	22.81530
658.00000	22.69374
660.00000	22.60180
662.00000	22.51831
664.00000	22.45242
666.00000	22.37126
668.00000	22.30236
670.00000	22.24299
672.00000	22.18274
674.00000	22.11789
676.00000	22.02912
678.00000	21.95228
680.00000	21.86226
682.00000	21.77604
684.00000	21.68714
686.00000	21.61003
688.00000	21.53348
690.00000	21.45970
692.00000	21.38932
694.00000	21.30785
696.00000	21.22831
698.00000	21.14449
700.00000	21.06318
702.00000	20.97666
704.00000	20.90709
706.00000	20.84184
708.00000	20.77658
710.00000	20.70130
712.00000	20.62773
714.00000	20.56942
716.00000	20.50859
718.00000	20.44381
720.00000	20.37143
722.00000	20.30223
724.00000	20.23822
726.00000	20.16917
728.00000	20.09030
730.00000	20.04203
732.00000	19.99350
734.00000	19.96193
736.00000	19.89330
738.00000	19.82433
740.00000	19.75521
742.00000	19.69207
744.00000	19.62908
746.00000	19.57005
748.00000	19.52155
750.00000	19.46798
752.00000	19.41536
754.00000	19.33894
756.00000	19.27991
758.00000	19.21120
760.00000	19.15535
762.00000	19.08339
764.00000	19.02898
766.00000	18.99399
768.00000	18.92615
770.00000	18.85063
772.00000	18.76370
774.00000	18.73488
776.00000	18.70590
778.00000	18.66667
780.00000	18.61353
782.00000	18.55968
784.00000	18.52917
786.00000	18.50419
788.00000	18.46317
790.00000	18.42321
792.00000	18.34811
794.00000	18.28374
796.00000	18.23069
798.00000	18.19498
800.00000	18.14974
802.00000	18.08129
804.00000	18.03310
806.00000	17.98815
808.00000	17.94182
810.00000	17.88825
812.00000	17.82578
814.00000	17.79135
816.00000	17.74937
818.00000	17.71044
820.00000	17.64299
822.00000	17.56358
824.00000	17.50187
826.00000	17.42628
828.00000	17.40137
830.00000	17.34406
832.00000	17.31378
834.00000	17.23337
836.00000	17.17311
838.00000	17.12827
840.00000	17.11350
842.00000	17.05711
844.00000	16.98489
846.00000	16.90965
848.00000	16.83870
850.00000	16.80346
852.00000	16.75178
854.00000	16.72778
856.00000	16.64460
858.00000	16.62397
860.00000	16.53065
862.00000	16.50868
864.00000	16.46958
866.00000	16.37758
868.00000	16.39234
870.00000	16.29860
872.00000	16.40574
874.00000	15.83458
876.00000	15.78475
878.00000	15.40790
880.00000	15.57551
882.00000	15.25514
884.00000	15.32369
886.00000	15.27236
888.00000	15.34320
890.00000	15.48114
892.00000	15.55649
894.00000	15.39609
896.00000	15.23859
898.00000	15.03702
900.00000	15.27371
902.00000	15.20455
904.00000	15.34291
906.00000	15.09170
908.00000	15.10284
910.00000	14.92711
912.00000	14.96480
914.00000	14.80065
916.00000	14.85035
918.00000	14.78736
920.00000	14.68385
922.00000	14.74885
924.00000	14.67680
926.00000	14.74054
928.00000	14.60251
930.00000	14.76467
932.00000	14.87407
934.00000	14.94232
936.00000	14.73160
938.00000	14.56469
940.00000	14.49485
942.00000	14.53307
944.00000	14.51652
946.00000	14.47894
948.00000	14.44579
950.00000	14.31957
952.00000	14.23838
954.00000	14.11378
956.00000	14.14672
958.00000	14.13413
960.00000	14.15592
962.00000	14.16523
964.00000	14.13943
966.00000	14.15354
968.00000	14.15537
970.00000	14.14872
972.00000	14.09114
974.00000	13.97461
976.00000	13.88677
978.00000	13.79040
980.00000	13.76345
982.00000	13.81514
984.00000	13.85430
986.00000	13.83769
988.00000	13.71532
990.00000	13.67880
992.00000	13.72207
994.00000	13.72332
996.00000	13.73088
998.00000	13.69732
1000.00000	13.66671
1002.00000	13.56622
1004.00000	13.44830
1006.00000	13.41547
1008.00000	13.42388
1010.00000	13.41553
1012.00000	13.39107
1014.00000	13.36028
1016.00000	13.35494
1018.00000	13.37756
1020.00000	13.37804
1022.00000	13.33601
1024.00000	13.29672
1026.00000	13.27302
1028.00000	13.24290
1030.00000	13.24165
1032.00000	13.18490
1034.00000	13.16137
1036.00000	13.11459
1038.00000	13.12541
1040.00000	13.15760
1042.00000	13.11685
1044.00000	13.07092
1046.00000	12.98755
1048.00000	12.97128
1050.00000	12.93699
1052.00000	12.93542
1054.00000	12.90849
1056.00000	12.93882
1058.00000	12.91601
1060.00000	12.93148
1062.00000	12.82508
1064.00000	12.81956
1066.00000	12.73187
1068.00000	12.75368
1070.00000	12.70596
1072.00000	12.66580
1074.00000	12.62214
1076.00000	12.64371
1078.00000	12.65668
1080.00000	12.63981
1082.00000	12.62108
1084.00000	12.56002
1086.00000	12.54579
1088.00000	12.48797
1090.00000	12.49802
1092.00000	12.45166
1094.00000	12.43494
1096.00000	12.42001
1098.00000	12.41621
1100.00000	12.41699
1102.00000	12.38541
1104.00000	12.35102
1106.00000	12.30968
1108.00000	12.28424
1110.00000	12.24028
1112.00000	12.18410
1114.00000	12.14281
1116.00000	12.11610
1118.00000	12.08263
1120.00000	12.06385
1122.00000	12.09766
1124.00000	12.08580
1126.00000	12.08160
1128.00000	12.02719
1130.00000	12.06779
1132.00000	12.03303
1134.00000	12.03267
1136.00000	12.00605
1138.00000	12.03709
1140.00000	12.00802
1142.00000	11.94511
1144.00000	11.90025
1146.00000	11.90118
1148.00000	11.90618
1150.00000	11.87498
1152.00000	11.88194
1154.00000	11.83287
1156.00000	11.81770
1158.00000	11.70766
1160.00000	11.72100
1162.00000	11.74512
1164.00000	11.78101
1166.00000	11.74126
1168.00000	11.63215
1170.00000	11.60643
1172.00000	11.60959
1174.00000	11.64601
1176.00000	11.62496
1178.00000	11.59434
1180.00000	11.57681
1182.00000	11.56530
1184.00000	11.52018
1186.00000	11.50041
1188.00000	11.46597
