Sample name: 	Oct1393_wARC_A
Cell name: 	a2
Cell area [cm²]: 	0.5474
Temperature= 	123
Voc (V)= 	0.9749
Jsc (mA/cm²)= 	35.31
FF (%)= 	69.86
Eff (%)= 	24.05
Vmpp (V)= 	0.72
Jmpp (mA/cm²)= 	33.4
Pmpp (mW/cm²)= 	24.05
Rp (Ohmcm²)= 	8080.7
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)	T stage (K)	T sample (K)
-0.5	-35.4078	122.9	128.8
-0.48	-35.40184	122.9	128.8
-0.46	-35.39309	122.9	128.8
-0.44	-35.39359	122.9	128.8
-0.42	-35.39492	122.9	128.8
-0.4	-35.39024	122.9	128.8
-0.38	-35.38557	122.9	128.8
-0.36	-35.38665	122.9	128.8
-0.34	-35.38287	122.9	128.8
-0.32	-35.37885	122.9	128.8
-0.3	-35.37576	122.9	128.8
-0.28	-35.37428	122.9	128.8
-0.26	-35.37346	122.9	128.8
-0.24	-35.36613	122.9	128.8
-0.22	-35.36264	122.9	128.8
-0.2	-35.3532	122.9	128.8
-0.18	-35.35159	122.9	128.8
-0.16	-35.35241	122.9	128.8
-0.14	-35.34669	122.9	128.8
-0.12	-35.34216	122.9	128.8
-0.1	-35.33897	122.9	128.8
-0.08	-35.33473	122.9	128.8
-0.06	-35.32828	122.9	128.8
-0.04	-35.32346	122.9	128.8
-0.02	-35.31414	122.9	128.8
0	-35.3068	122.9	128.8
0.02	-35.30243	122.9	128.8
0.04	-35.29257	122.9	128.8
0.06	-35.28553	122.9	128.8
0.08	-35.27554	122.9	128.8
0.1	-35.26586	122.9	128.8
0.12	-35.25714	122.9	128.8
0.14	-35.24702	122.9	128.8
0.16	-35.2382	122.9	128.8
0.18	-35.23047	122.9	128.8
0.2	-35.21664	122.9	128.8
0.22	-35.21094	122.9	128.8
0.24	-35.19627	122.9	128.8
0.26	-35.17921	122.9	128.8
0.28	-35.16657	122.9	128.8
0.3	-35.14722	122.9	128.8
0.32	-35.13184	122.9	128.8
0.34	-35.11686	122.9	128.8
0.36	-35.09377	122.9	128.8
0.38	-35.07435	122.9	128.8
0.4	-35.05294	122.9	128.8
0.42	-35.03071	122.9	128.8
0.44	-35.00601	122.9	128.8
0.46	-34.9779	122.9	128.8
0.48	-34.94505	122.9	128.8
0.5	-34.91006	122.9	128.8
0.52	-34.86907	122.9	128.8
0.54	-34.82914	122.9	128.8
0.56	-34.77967	122.9	128.8
0.58	-34.72512	122.9	128.8
0.6	-34.66321	122.9	128.8
0.62	-34.58913	122.9	128.8
0.64	-34.50004	122.9	128.8
0.66	-34.38173	122.9	128.8
0.68	-34.20945	122.9	128.8
0.7	-33.92197	122.9	128.8
0.72	-33.40437	122.9	128.8
0.74	-32.46326	122.9	128.8
0.76	-30.89094	122.9	128.8
0.78	-28.57121	122.9	128.8
0.8	-25.56613	122.9	128.8
0.82	-22.08365	122.9	128.8
0.84	-18.3875	122.9	128.8
0.86	-14.80005	122.9	128.8
0.88	-11.29275	122.9	128.8
0.9	-8.132895	122.9	128.8
0.92	-5.350042	122.9	128.8
0.94	-2.980283	122.9	128.8
0.96	-1.070123	122.9	128.8
0.98	0.3620163	122.9	128.8
1	1.386042	122.9	128.8
1.02	2.261829	122.9	128.8
1.04	3.082899	122.9	128.8
1.06	3.959316	122.9	128.8
1.08	4.902344	122.9	128.8
1.1	5.92363	122.9	128.8
1.12	7.013197	122.9	128.8
1.14	8.180497	122.9	128.8
1.16	9.422123	122.9	128.8
1.18	10.73663	122.9	128.8
