Sample name: 	SAMPLE_F
Cell name: 	a3
Cell area [cm²]: 	0.518
Temperature [K]: 	183
Voc (V)= 	0
Jsc (mA/cm²)= 	0
FF (%)= 	0
Eff (%)= 	0
Vmpp (V)= 	0
Jmpp (mA/cm²)= 	0
Pmpp (mW/cm²)= 	0
Rp (Ohmcm²)= 	0
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)

-0.49	-0.1129136
-0.48	-0.1103295
-0.47	-0.1077522
-0.46	-0.1051667
-0.45	-0.1026151
-0.44	-0.1000935
-0.43	-0.09760983
-0.42	-0.09503809
-0.41	-0.09251606
-0.4	-0.09002944
-0.39	-0.08755708
-0.38	-0.08510129
-0.37	-0.08261938
-0.36	-0.08013641
-0.35	-0.0777093
-0.34	-0.07529118
-0.33	-0.07290174
-0.32	-0.07051353
-0.31	-0.06809469
-0.3	-0.06573123
-0.29	-0.06334858
-0.28	-0.06100292
-0.27	-0.0586432
-0.26	-0.05629601
-0.25	-0.05400174
-0.24	-0.05169808
-0.23	-0.04940384
-0.22	-0.04715345
-0.21	-0.04486631
-0.2	-0.04261936
-0.19	-0.04037048
-0.18	-0.03814311
-0.17	-0.03592118
-0.16	-0.03369612
-0.15	-0.03152708
-0.14	-0.02937274
-0.13	-0.02719365
-0.12	-0.02505554
-0.11	-0.02289747
-0.1	-0.02078963
-0.09	-0.01866009
-0.08	-0.01655547
-0.07	-0.01446503
-0.06	-0.01238729
-0.05	-0.01030843
-0.04	-0.008238158
-0.03	-0.006183085
-0.02	-0.004127959
-0.01	-0.002076151
0	-2.491824E-05
0.01	0.00198807
0.02	0.004080089
0.03	0.006137282
0.04	0.008195724
0.05	0.0102529
0.06	0.01233391
0.07	0.01443168
0.08	0.01653695
0.09	0.01864807
0.1	0.02073068
0.11	0.0228751
0.12	0.02504484
0.13	0.02722276
0.14	0.02940905
0.15	0.03160714
0.16	0.0338591
0.17	0.03611494
0.18	0.03842757
0.19	0.04075707
0.2	0.04314199
0.21	0.04553212
0.22	0.04798413
0.23	0.05049456
0.24	0.05306351
0.25	0.05572183
0.26	0.05842099
0.27	0.06124428
0.28	0.06415123
0.29	0.0671544
0.3	0.07025857
0.31	0.07351261
0.32	0.07687352
0.33	0.08037096
0.34	0.08401629
0.35	0.08782863
0.36	0.09180081
0.37	0.09586646
0.38	0.10018
0.39	0.1046377
0.4	0.1092499
0.41	0.1140337
0.42	0.1189788
0.43	0.1240754
0.44	0.129332
0.45	0.1347895
0.46	0.1404096
0.47	0.146191
0.48	0.1521721
0.49	0.1583335
0.5	0.1647317
0.51	0.1712513
0.52	0.1780547
0.53	0.1850195
0.54	0.1923509
0.55	0.1997743
0.56	0.2071293
0.57	0.2152303
0.58	0.2235848
0.59	0.2324488
0.6	0.2416741
0.61	0.2514378
0.62	0.261757
0.63	0.2729094
0.64	0.2851079
0.65	0.2983811
0.66	0.3132266
0.67	0.3301357
0.68	0.3498108
0.69	0.3734965
0.7	0.4024639
0.71	0.4391716
0.72	0.4871401
0.73	0.5512674
0.74	0.6395482
0.75	0.763878
0.76	0.9413396
0.77	1.197896
0.78	1.569393
0.79	2.09505
0.8	2.869425
0.81	3.962834
0.82	5.482278
0.83	7.51907
0.84	10.16209
0.85	13.47221
0.86	17.42194
0.87	22.14836
0.88	27.15087
0.89	32.51077
0.9	38.15514
0.91	43.91283
0.92	49.8054
0.93	55.87477
0.94	62.03927
0.95	68.42307
0.96	75.07571
0.97	82.09875
0.98	89.53475
0.99	97.84643
1	106.7635
1.01	116.6556
1.02	127.6586
1.03	140.7665
1.04	155.8459
1.05	175.2975
1.06	223.3461
1.07	257.8977
