Sample name: 	Oct1393_wARC_A
Cell name: 	a2
Cell area [cm²]: 	0.5474
Temperature [K]: 	123
Voc (V)= 	0
Jsc (mA/cm²)= 	0
FF (%)= 	0
Eff (%)= 	0
Vmpp (V)= 	0
Jmpp (mA/cm²)= 	0
Pmpp (mW/cm²)= 	0
Rp (Ohmcm²)= 	169779.9
Rs (Ohmcm²)= 	75.6




Voltage (V)	Current (mA/cm²)	T stage (K)	T sample (K)

-0.49	-0.002488504	123	128
-0.48	-0.00241722	123	128
-0.47	-0.002346193	123	128
-0.46	-0.00227774	123	128
-0.45	-0.00220612	123	128
-0.44	-0.002140926	123	128
-0.43	-0.00207354	123	128
-0.42	-0.002008586	123	128
-0.41	-0.001945241	123	128
-0.4	-0.001884551	123	128
-0.39	-0.001821553	123	128
-0.38	-0.001757836	123	128
-0.37	-0.00170225	123	128
-0.36	-0.001643626	123	128
-0.35	-0.001583131	123	128
-0.34	-0.001526205	123	128
-0.33	-0.001475701	123	128
-0.32	-0.001417449	123	128
-0.31	-0.00136428	123	128
-0.3	-0.001317331	123	128
-0.29	-0.001266319	123	128
-0.28	-0.001215266	123	128
-0.27	-0.001169079	123	128
-0.26	-0.001121655	123	128
-0.25	-0.001076334	123	128
-0.24	-0.001031026	123	128
-0.23	-0.0009855946	123	128
-0.22	-0.0009376939	123	128
-0.21	-0.0008949916	123	128
-0.2	-0.0008589959	123	128
-0.19	-0.0008184874	123	128
-0.18	-0.0007784028	123	128
-0.17	-0.0007399326	123	128
-0.16	-0.0006975412	123	128
-0.15	-0.00066593	123	128
-0.14	-0.0006248124	123	128
-0.13	-0.0005972557	123	128
-0.12	-0.0005638652	123	128
-0.11	-0.0005308619	123	128
-0.1	-0.0004924214	123	128
-0.09	-0.0004677163	123	128
-0.08	-0.0004377008	123	128
-0.07	-0.0004092658	123	128
-0.06	-0.0003810833	123	128
-0.05	-0.0003537967	123	128
-0.04	-0.0003202866	123	128
-0.03	-0.0003009266	123	128
-0.02	-0.0002752755	123	128
-0.01	-0.0002502183	123	128
0	-0.0002252424	123	128
0.01	-0.0001998637	123	128
0.02	-0.0001678445	123	128
0.03	-0.0001427213	123	128
0.04	-0.000125663	123	128
0.05	-0.0001000352	123	128
0.06	-7.42346E-05	123	128
0.07	-3.926957E-05	123	128
0.08	-2.120217E-05	123	128
0.09	5.578624E-06	123	128
0.1	3.440342E-05	123	128
0.11	6.195354E-05	123	128
0.12	0.0001008142	123	128
0.13	0.0001300507	123	128
0.14	0.000149725	123	128
0.15	0.0001804982	123	128
0.16	0.0002116156	123	128
0.17	0.000243738	123	128
0.18	0.00028835	123	128
0.19	0.0003212548	123	128
0.2	0.0003432945	123	128
0.21	0.0003778379	123	128
0.22	0.0004138858	123	128
0.23	0.0004520904	123	128
0.24	0.0004897325	123	128
0.25	0.0005434684	123	128
0.26	0.0005690088	123	128
0.27	0.0006113421	123	128
0.28	0.0006530164	123	128
0.29	0.0006971763	123	128
0.3	0.0007435329	123	128
0.31	0.0008071719	123	128
0.32	0.0008382174	123	128
0.33	0.0009060053	123	128
0.34	0.000940209	123	128
0.35	0.00101478	123	128
0.36	0.001051448	123	128
0.37	0.001129837	123	128
0.38	0.001168567	123	128
0.39	0.001229228	123	128
0.4	0.001294325	123	128
0.41	0.001387311	123	128
0.42	0.001431172	123	128
0.43	0.001530755	123	128
0.44	0.001601938	123	128
0.45	0.001649388	123	128
0.46	0.001728559	123	128
0.47	0.001809349	123	128
0.48	0.001889185	123	128
0.49	0.001978805	123	128
0.5	0.002057981	123	128
0.51	0.002161659	123	128
0.52	0.002255504	123	128
0.53	0.002355212	123	128
0.54	0.002445113	123	128
0.55	0.002565838	123	128
0.56	0.002675051	123	128
0.57	0.002786082	123	128
0.58	0.002907116	123	128
0.59	0.003027558	123	128
0.6	0.003144801	123	128
0.61	0.003293438	123	128
0.62	0.003431321	123	128
0.63	0.00358116	123	128
0.64	0.003733111	123	128
0.65	0.00390666	123	128
0.66	0.004083469	123	128
0.67	0.004278929	123	128
0.68	0.004493869	123	128
0.69	0.004734664	123	128
0.7	0.005007609	123	128
0.71	0.005311862	123	128
0.72	0.005704386	123	128
0.73	0.006112347	123	128
0.74	0.006646208	123	128
0.75	0.007314038	123	128
0.76	0.008161166	123	128
0.77	0.009337198	123	128
0.78	0.01080288	123	128
0.79	0.01272402	123	128
0.8	0.01562536	123	128
0.81	0.01926748	123	128
0.82	0.02495892	123	128
0.83	0.03318292	123	128
0.84	0.04521752	123	128
0.85	0.06247344	123	128
0.86	0.08670837	123	128
0.87	0.1195768	123	128
0.88	0.1617835	123	128
0.89	0.2125948	123	128
0.9	0.2726847	123	128
0.91	0.339293	123	128
0.92	0.4100721	123	128
0.93	0.4839849	123	128
0.94	0.55984	123	128
0.95	0.638021	123	128
0.96	0.7184753	123	128
0.97	0.8023881	123	128
0.98	0.8898228	123	128
0.99	0.9815965	123	128
1	1.078515	123	128
1.01	1.180318	123	128
1.02	1.288067	123	128
1.03	1.401334	123	128
1.04	1.521094	123	128
1.05	1.646774	123	128
1.06	1.779455	123	128
1.07	1.916768	123	128
1.08	2.063374	123	128
1.09	2.21639	123	128
