Sample name: 	SAMPLE_F
Cell name: 	a3
Cell area [cm²]: 	0.518
Temperature= 	123
Voc (V)= 	0.9223
Jsc (mA/cm²)= 	31.21
FF (%)= 	74.56
Eff (%)= 	21.47
Vmpp (V)= 	0.76
Jmpp (mA/cm²)= 	28.25
Pmpp (mW/cm²)= 	21.47
Rp (Ohmcm²)= 	16291.8
Rs (Ohmcm²)= 	0




Voltage (V)	Current (mA/cm²)
-0.5	-31.26651
-0.48	-31.26606
-0.46	-31.26743
-0.44	-31.26373
-0.42	-31.26531
-0.4	-31.26521
-0.38	-31.26444
-0.36	-31.26404
-0.34	-31.2633
-0.32	-31.2566
-0.3	-31.25851
-0.28	-31.25347
-0.26	-31.2534
-0.24	-31.25058
-0.22	-31.24655
-0.2	-31.24434
-0.18	-31.23965
-0.16	-31.23722
-0.14	-31.2355
-0.12	-31.23236
-0.1	-31.22878
-0.08	-31.22589
-0.06	-31.22189
-0.04	-31.21969
-0.02	-31.2138
0	-31.21079
0.02	-31.20405
0.04	-31.20141
0.06	-31.19674
0.08	-31.19272
0.1	-31.18845
0.12	-31.18093
0.14	-31.17701
0.16	-31.16946
0.18	-31.16419
0.2	-31.158
0.22	-31.15129
0.24	-31.14405
0.26	-31.13614
0.28	-31.12691
0.3	-31.11934
0.32	-31.10751
0.34	-31.09585
0.36	-31.08361
0.38	-31.06687
0.4	-31.05098
0.42	-31.03151
0.44	-31.00948
0.46	-30.985
0.48	-30.95543
0.5	-30.92104
0.52	-30.88268
0.54	-30.83382
0.56	-30.77907
0.58	-30.71168
0.6	-30.62764
0.62	-30.52363
0.64	-30.38761
0.66	-30.2154
0.68	-29.98954
0.7	-29.69521
0.72	-29.31658
0.74	-28.83865
0.76	-28.24508
0.78	-27.49855
0.8	-26.46608
0.82	-24.79533
0.84	-21.81438
0.86	-16.89046
0.88	-10.39936
0.9	-4.337915
0.92	-0.2829319
0.94	2.143666
0.96	3.88605
0.98	5.688863
1	7.785004
1.02	10.23386
1.04	13.0084
1.06	16.06011
1.08	19.34431
1.1	23.46851
1.12	27.12309
1.14	31.19176
1.16	35.55753
1.18	40.22952
