Parameters:
  Sample : 522
  Solvent : <unspecified>
  Comment : 

  Exc_Wavelength : 639.2 nm
  Exc_Bandpass : 2.0 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Det_Wavelength : 0.0 nm
  Det_Bandpass : 20.0 nm
  Det_Polarisation : undefined
  Det_Lens_Position : 10.0 mm
  Det_Attenuation : 3 %
  Det_Filter : no filter (1)
  Det_Grating : 600gr_1250bl (2)
  Detector : NIR [PMT]
  Meas_Time : 0.0 s
  Meas_BinWidth : 100 ps
  Meas_BaseResolution : 25 ps
  Meas_Stop : 3600.0 s
  Meas_PeakCounts : 439955 counts
  Sync_Frequency : 8888800 Hz
  Sync_Source : PDL 820
  Signal_Rate : 14720 cps
  Start_Date : 23.11.2017
  Start_Time : 14:26:49
  PhotonCounter : TimeHarp 260 P 1028045 0111-0422-01.07
  EasyTau : 1874
  Signal_CFD Level : -100 mV
  Signal_CFD Zero Cross : -10 mV
  Signal_Offset : -60000 ps
  Signal_Enable : true
  Sync_CFD Level : -150 mV
  Sync_CFD Zero Cross : -10 mV
  Sync_Offset : 0 ps
  Sync_SyncDiv : 1 
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.0.1.0 AUX:0.0.0.0
	DEV(SYS):	 SH:1.1.0.0 SW:1.1.7.96 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.6.219 HW:0.0.2.30 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.0 SW:1.1.6.181 HW:0.0.2.30 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.6.219 HW:0.0.1.2 AUX:0.0.0.0
	DEV(SWT):	 SH:1.1.0.0 SW:1.1.6.169 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.6.219 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.6.169 HW:0.2.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.6.219 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.6.169 HW:0.2.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.0.1.2 AUX:0.0.0.0
	DEV(MCR):	 SH:1.1.0.3 SW:1.1.7.67 HW:0.0.2.3 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.6.219 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.6.169 HW:0.0.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:0.0.0.0 HW:0.0.0.0 AUX:0.0.0.0
	DEV(ETC):	 SH:1.1.0.0 SW:1.1.7.96 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:0.0.0.0 HW:0.0.0.0 AUX:0.0.0.0
	DEV(LSC):	 SH:1.1.0.0 SW:1.1.7.96 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:0.0.0.0 HW:0.0.0.0 AUX:0.0.0.0
	DEV(SMP):	 SH:1.1.0.0 SW:1.1.7.96 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.6.219 HW:0.0.2.30 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.0 SW:1.1.6.181 HW:0.0.2.30 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.0.2.0 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.7.121 HW:0.2.2.1 AUX:0.0.0.0

Data:
Time [ns]	Intensity [Cnts.]
0	10582
0.100000001335143	10633
0.200000002670286	10544
0.299999997066536	10473
0.400000005340573	10562
0.499999985859034	10372
0.599999994133071	10664
0.700000002407108	10555
0.800000010681146	10359
0.900000018955183	10339
0.999999971718068	10616
1.09999997999211	10543
1.19999998826614	10329
1.29999999654018	10498
1.40000000481422	10469
1.50000001308825	10364
1.60000002136229	10473
1.70000002963633	10455
1.80000003791037	10516
1.8999999351621	10516
1.99999994343614	10526
2.09999995171017	10583
2.19999995998421	10293
2.29999996825825	10512
2.39999997653229	10598
2.49999998480632	10376
2.59999999308036	10570
2.7000000013544	10716
2.80000000962843	10415
2.90000001790247	10522
3.00000002617651	10636
3.10000003445055	10510
3.20000004272458	10507
3.30000005099862	10465
3.40000005927266	10501
3.50000006754669	10583
3.60000007582073	10422
3.70000008409477	10210
3.7999998703242	10461
3.89999987859824	10354
3.99999988687227	10395
4.09999989514631	10479
4.19999990342035	10484
4.29999991169439	10341
4.39999991996842	10449
4.49999992824246	10495
4.5999999365165	10666
4.69999994479053	10465
4.79999995306457	10608
4.89999996133861	10524
4.99999996961265	10483
5.09999997788668	10512
5.19999998616072	10470
5.29999999443476	10456
5.40000000270879	10344
5.50000001098283	10474
5.60000001925687	10305
5.7000000275309	10365
5.80000003580494	10408
5.90000004407898	10382
6.00000005235302	10296
6.10000006062705	10510
6.20000006890109	10471
6.30000007717513	10491
6.40000008544916	10457
6.5000000937232	10449
6.60000010199724	10525
6.70000011027128	10538
6.80000011854531	10672
6.90000012681935	10280
7.00000013509339	10481
7.10000014336742	10367
7.20000015164146	10305
7.3000001599155	10410
7.40000016818954	10507
7.49999973237436	10380
7.5999997406484	10332
7.69999974892244	10525
7.79999975719647	10578
7.89999976547051	10516
7.99999977374455	10724
8.09999978201859	10727
8.19999979029262	10773
8.29999979856666	10565
8.3999998068407	10537
8.49999981511473	10647
8.59999982338877	10534
8.69999983166281	11414
8.79999983993684	13156
8.89999984821088	19239
8.99999985648492	39107
9.09999986475896	95104
9.19999987303299	199593
9.29999988130703	319908
9.39999988958107	402103
9.49999989785511	434921
9.59999990612914	439955
9.69999991440318	438055
9.79999992267722	431763
9.89999993095125	425122
9.99999993922529	421088
10.0999999474993	413901
10.1999999557734	407891
10.2999999640474	402500
10.3999999723214	396320
10.4999999805955	390888
10.5999999888695	386886
10.6999999971435	381062
10.8000000054176	377663
10.9000000136916	372555
11.0000000219657	370355
11.1000000302397	365738
11.2000000385137	363239
11.3000000467878	362398
11.4000000550618	360937
11.5000000633358	357796
11.6000000716099	352758
11.7000000798839	350741
11.800000088158	347765
11.900000096432	344846
12.000000104706	340365
12.1000001129801	336370
12.2000001212541	332967
12.3000001295281	330667
12.4000001378022	327420
12.5000001460762	324019
12.6000001543503	321038
12.7000001626243	318706
12.8000001708983	315127
12.9000001791724	313141
13.0000001874464	309029
13.1000001957204	306627
13.2000002039945	303529
13.3000002122685	301091
13.4000002205426	298661
13.5000002288166	294942
13.6000002370906	292212
13.7000002453647	290169
13.8000002536387	286545
13.9000002619127	284061
14.0000002701868	281735
14.1000002784608	279749
14.2000002867348	277034
14.3000002950089	274352
14.4000003032829	272327
14.500000311557	268449
14.600000319831	267331
14.700000328105	264520
14.8000003363791	261629
14.9000003446531	259620
14.9999994647487	256150
15.0999994730228	254156
15.1999994812968	252393
15.2999994895708	250155
15.3999994978449	246528
15.4999995061189	245097
15.5999995143929	243375
15.699999522667	240989
15.799999530941	238268
15.8999995392151	236099
15.9999995474891	233442
16.0999995557631	231228
16.1999995640372	228803
16.2999995723112	227393
16.3999995805852	225685
16.4999995888593	222866
16.5999995971333	220893
16.6999996054074	219115
16.7999996136814	216498
16.8999996219554	214823
16.9999996302295	212717
17.0999996385035	211369
17.1999996467775	209597
17.2999996550516	206450
17.3999996633256	205769
17.4999996715997	203952
17.5999996798737	201838
17.6999996881477	199414
17.7999996964218	197289
