Time[ns]	crv[0] [Cnts.]
0.0000	27
0.1000	23
0.2000	21
0.3000	15
0.4000	34
0.5000	27
0.6000	23
0.7000	25
0.8000	21
0.9000	18
1.0000	18
1.1000	31
1.2000	23
1.3000	21
1.4000	26
1.5000	27
1.6000	24
1.7000	17
1.8000	27
1.9000	20
2.0000	25
2.1000	24
2.2000	19
2.3000	19
2.4000	21
2.5000	26
2.6000	11
2.7000	24
2.8000	25
2.9000	25
3.0000	28
3.1000	19
3.2000	26
3.3000	23
3.4000	16
3.5000	15
3.6000	22
3.7000	13
3.8000	12
3.9000	26
4.0000	24
4.1000	20
4.2000	25
4.3000	24
4.4000	19
4.5000	24
4.6000	21
4.7000	26
4.8000	19
4.9000	14
5.0000	30
5.1000	17
5.2000	28
5.3000	16
5.4000	14
5.5000	17
5.6000	14
5.7000	25
5.8000	17
5.9000	19
6.0000	27
6.1000	28
6.2000	14
6.3000	19
6.4000	21
6.5000	26
6.6000	41
6.7000	64
6.8000	190
6.9000	644
7.0000	1691
7.1000	3156
7.2000	4116
7.3000	4086
7.4000	3675
7.5000	3125
7.6000	2622
7.7000	2371
7.8000	2201
7.9000	1947
8.0000	1867
8.1000	1734
8.2000	1622
8.3000	1498
8.4000	1429
8.5000	1363
8.6000	1323
8.7000	1246
8.8000	1156
8.9000	1191
9.0000	1170
9.1000	1161
9.2000	1132
9.3000	1086
9.4000	1053
9.5000	1068
9.6000	1062
9.7000	1022
9.8000	924
9.9000	927
10.0000	969
10.1000	860
10.2000	871
10.3000	807
10.4000	801
10.5000	771
10.6000	836
10.7000	770
10.8000	826
10.9000	766
11.0000	707
11.1000	713
11.2000	720
11.3000	760
11.4000	692
11.5000	733
11.6000	712
11.7000	693
11.8000	674
11.9000	637
12.0000	650
12.1000	618
12.2000	646
12.3000	629
12.4000	629
12.5000	577
12.6000	652
12.7000	600
12.8000	570
12.9000	634
13.0000	571
13.1000	523
13.2000	614
13.3000	562
13.4000	604
13.5000	546
13.6000	531
13.7000	522
13.8000	565
13.9000	530
14.0000	548
14.1000	518
14.2000	541
14.3000	563
14.4000	518
14.5000	480
14.6000	513
14.7000	509
14.8000	486
14.9000	512
15.0000	472
15.1000	499
15.2000	477
15.3000	473
15.4000	513
15.5000	472
15.6000	493
15.7000	472
15.8000	454
15.9000	465
16.0000	480
16.1000	443
16.2000	474
16.3000	480
16.4000	433
16.5000	404
16.6000	467
16.7000	468
16.8000	426
16.9000	450
17.0000	430
17.1000	461
17.2000	389
17.3000	410
17.4000	376
17.5000	428
17.6000	412
17.7000	426
17.8000	400
17.9000	397
18.0000	411
18.1000	425
18.2000	395
18.3000	424
18.4000	412
18.5000	373
18.6000	419
18.7000	409
18.8000	396
18.9000	378
19.0000	336
19.1000	403
19.2000	371
19.3000	376
19.4000	370
19.5000	398
19.6000	357
19.7000	378
19.8000	375
19.9000	365
20.0000	382
20.1000	386
20.2000	356
20.3000	329
20.4000	382
20.5000	370
20.6000	352
20.7000	351
20.8000	363
20.9000	347
21.0000	315
21.1000	379
21.2000	359
21.3000	344
21.4000	360
21.5000	344
21.6000	311
21.7000	335
21.8000	315
21.9000	339
22.0000	318
22.1000	324
22.2000	332
22.3000	334
22.4000	301
22.5000	341
22.6000	297
22.7000	350
22.8000	313
22.9000	309
23.0000	317
23.1000	338
23.2000	320
23.3000	335
23.4000	325
23.5000	341
23.6000	304
23.7000	332
23.8000	317
23.9000	297
24.0000	298
24.1000	270
24.2000	298
24.3000	316
24.4000	320
24.5000	290
24.6000	296
24.7000	312
24.8000	287
24.9000	292
25.0000	283
25.1000	274
25.2000	295
25.3000	271
25.4000	295
25.5000	304
25.6000	285
25.7000	281
25.8000	278
25.9000	300
26.0000	317
26.1000	280
26.2000	288
26.3000	288
26.4000	270
26.5000	271
26.6000	270
26.7000	303
26.8000	313
26.9000	293
27.0000	257
27.1000	308
27.2000	274
27.3000	258
27.4000	299
27.5000	260
27.6000	293
27.7000	273
27.8000	252
27.9000	261
28.0000	256
28.1000	241
28.2000	242
28.3000	277
28.4000	248
28.5000	224
28.6000	251
28.7000	238
28.8000	270
28.9000	235
29.0000	275
29.1000	245
29.2000	254
29.3000	258
29.4000	230
29.5000	232
29.6000	287
29.7000	264
29.8000	226
29.9000	238
30.0000	258
30.1000	235
30.2000	235
30.3000	223
30.4000	231
30.5000	241
30.6000	218
30.7000	224
30.8000	252
30.9000	219
31.0000	207
31.1000	218
31.2000	227
31.3000	215
31.4000	237
31.5000	232
31.6000	217
31.7000	235
31.8000	213
31.9000	234
32.0000	241
32.1000	252
32.2000	226
32.3000	215
32.4000	205
32.5000	213
32.6000	223
32.7000	199
32.8000	220
32.9000	202
33.0000	201
33.1000	223
33.2000	228
33.3000	212
33.4000	206
33.5000	197
33.6000	216
33.7000	210
33.8000	211
33.9000	204
34.0000	215
34.1000	210
34.2000	202
34.3000	226
34.4000	211
34.5000	207
34.6000	203
34.7000	194
34.8000	213
34.9000	218
35.0000	201
35.1000	202
35.2000	202
35.3000	198
35.4000	200
35.5000	198
35.6000	208
35.7000	207
35.8000	194
35.9000	212
36.0000	184
36.1000	184
36.2000	230
36.3000	207
36.4000	179
36.5000	201
36.6000	188
36.7000	177
36.8000	186
36.9000	194
37.0000	192
37.1000	199
37.2000	190
37.3000	202
37.4000	182
37.5000	191
37.6000	186
37.7000	196
37.8000	189
37.9000	174
38.0000	175
38.1000	202
38.2000	172
38.3000	202
38.4000	172
38.5000	181
38.6000	211
38.7000	196
38.8000	167
38.9000	169
39.0000	171
39.1000	154
39.2000	193
39.3000	184
39.4000	225
39.5000	181
39.6000	183
39.7000	193
39.8000	150
39.9000	176
40.0000	168
40.1000	171
40.2000	161
40.3000	162
40.4000	191
40.5000	182
40.6000	178
40.7000	187
40.8000	169
40.9000	189
41.0000	169
41.1000	176
41.2000	167
41.3000	149
41.4000	165
41.5000	173
41.6000	157
41.7000	169
41.8000	171
41.9000	142
42.0000	164
42.1000	169
42.2000	161
42.3000	146
42.4000	153
42.5000	168
42.6000	165
42.7000	153
42.8000	140
42.9000	148
43.0000	158
43.1000	144
43.2000	155
43.3000	136
43.4000	150
43.5000	157
43.6000	170
43.7000	168
43.8000	139
43.9000	159
44.0000	168
44.1000	179
44.2000	150
44.3000	144
44.4000	153
44.5000	132
44.6000	157
44.7000	152
44.8000	126
44.9000	153
45.0000	138
45.1000	170
45.2000	147
45.3000	150
45.4000	124
45.5000	149
45.6000	137
45.7000	155
45.8000	149
45.9000	144
46.0000	163
46.1000	126
46.2000	154
46.3000	159
46.4000	151
46.5000	172
46.6000	150
46.7000	148
46.8000	141
46.9000	139
47.0000	164
47.1000	148
47.2000	127
47.3000	123
47.4000	148
47.5000	134
47.6000	134
47.7000	133
47.8000	150
47.9000	132
48.0000	144
48.1000	129
48.2000	148
48.3000	124
48.4000	153
48.5000	124
48.6000	146
48.7000	140
48.8000	118
48.9000	119
49.0000	124
49.1000	134
49.2000	130
49.3000	125
49.4000	136
49.5000	127
49.6000	121
49.7000	135
49.8000	124
49.9000	115
50.0000	138
50.1000	133
50.2000	128
50.3000	136
50.4000	125
50.5000	120
50.6000	131
50.7000	139
50.8000	143
50.9000	130
51.0000	136
51.1000	123
51.2000	109
51.3000	99
51.4000	122
51.5000	134
51.6000	124
51.7000	118
51.8000	118
51.9000	130
52.0000	126
52.1000	109
52.2000	100
52.3000	112
52.4000	112
52.5000	127
52.6000	139
52.7000	117
52.8000	131
52.9000	116
53.0000	128
53.1000	127
53.2000	127
53.3000	100
53.4000	110
53.5000	119
53.6000	119
53.7000	100
53.8000	106
53.9000	114
54.0000	114
54.1000	103
54.2000	101
54.3000	119
54.4000	130
54.5000	117
54.6000	114
54.7000	108
54.8000	100
54.9000	121
55.0000	106
55.1000	111
55.2000	106
55.3000	110
55.4000	102
55.5000	127
55.6000	115
55.7000	127
55.8000	129
55.9000	122
56.0000	119
56.1000	122
56.2000	121
56.3000	115
56.4000	116
56.5000	108
