subplots_adjust	[0.15, 0.15, 0.85, 0.9]
ylabel	Cell EQE [%]
fontsize	12.0
ylim	[0, 100]
xlabel	Wavelength [nm]
xlim	[300.0, 1200]
meastype	EQE curve
amplificationamp.factor	0.0	0.0
bandgap	1.14706535254	1.14706535254
bandgapslope	7.92804143885	7.92804143885
cmap	[[0.91, 0.25, 1], [1.09, 0.75, 1], 'hls']
colorbar	{'adjust': [1.05, 0, 0.05, 1, 'ax']}
curve	Curve EQE	Curve EQE
filename	examples/_subplots_insets/SAMPLE_A_d1_1.sr	examples/_subplots_insets/SAMPLE_A_d1_1.sr
label	SAMPLE A d1	SAMPLE A d1
lockinfrequency	258.081	258.081
lockinreserve	0.0	0.0
lockinsensitivity	16.0	16.0
lockinslope	3.0	3.0
lockinsync	0.0	0.0
lockintimeconstant	300 & 100 ms (450nm)	300 & 100 ms (450nm)
markeredgewidth	0.0
muloffset	100.0	100.0
type	scatter	scatter_c
vminmax	[0, 100]
365.0	0.286667	0.286667
370.0	0.192356	0.192356
380.0	0.257288	0.257288
390.0	0.351265	0.351265
400.0	0.401134	0.401134
410.0	0.433003	0.433003
420.0	0.461868	0.461868
430.0	0.481817	0.481817
440.0	0.506632	0.506632
450.0	0.524752	0.524752
460.0	0.53832	0.53832
470.0	0.557416	0.557416
480.0	0.58933	0.58933
490.0	0.619057	0.619057
500.0	0.658394	0.658394
510.0	0.721877	0.721877
520.0	0.787648	0.787648
540.0	0.87033	0.87033
560.0	0.893185	0.893185
620.0	0.902881	0.902881
640.0	0.903621	0.903621
660.0	0.904831	0.904831
680.0	0.907368	0.907368
700.0	0.907758	0.907758
760.0	0.906935	0.906935
790.0	0.908739	0.908739
820.0	0.902966	0.902966
850.0	0.894145	0.894145
880.0	0.882262	0.882262
910.0	0.858232	0.858232
940.0	0.834379	0.834379
960.0	0.80297	0.80297
980.0	0.753595	0.753595
990.0	0.71527	0.71527
1000.0	0.691409	0.691409
1010.0	0.664047	0.664047
1020.0	0.601906	0.601906
1030.0	0.53357	0.53357
1040.0	0.487895	0.487895
1050.0	0.444314	0.444314
1060.0	0.365912	0.365912
1070.0	0.271944	0.271944
1080.0	0.205216	0.205216
1090.0	0.168256	0.168256
1100.0	0.124448	0.124448
1110.0	0.0804931	0.0804931
1120.0	0.0493278	0.0493278
1130.0	0.0317038	0.0317038
1140.0	0.0218257	0.0218257
1150.0	0.0150402	0.0150402
1160.0	0.00907431	0.00907431
1170.0	0.00583267	0.00583267
1180.0	0.00607233	0.00607233
